index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
0,1765895459505,0,0,0,0,0,0,0,0
1,1765895459737,0,0,0,0,0,0,0,0
2,1765895459954,0,0,0,0,0,0,0,0
3,1765895460187,0,0,0,0,0,0,0,0
4,1765895460653,0,0,0,0,0,0,0,0
5,1765895461136,0,0,0,0,0,0,0,0
6,1765895461636,0,0,0,0,0,0,0,0
7,1765895462185,0,0,0,0,0,0,0,0
8,1765895462736,0,0,0,0,0,0,0,0
9,1765895463284,0,0,0,0,0,0,0,0
10,1765895463835,0,0,0,0,0,0,0,0
11,1765895467115,0,0,0,0,0,0,0,0
12,1765895468231,0,0,0,0,0,0,0,0
13,1765895469680,0,0,0,0,0,0,0,0
14,1765895470212,0,0,0,0,0,0,0,0
15,1765895470711,0,0,0,0,0,0,0,0
16,1765895471211,0,0,0,0,0,0,0,0
17,1765895473760,0,0,0,0,0,0,0,0
18,1765895474292,0,0,0,0,0,0,0,0
19,1765895474842,0,0,0,0,0,0,0,0
20,1765895475957,0,0,0,0,0,0,0,0
21,1765895477606,0,0,0,0,0,0,0,0
22,1765895478105,0,0,0,0,0,0,0,0
23,1765895478689,0,0,0,0,0,0,0,0
24,1765895479170,0,0,0,0,0,0,0,0
25,1765895479721,0,0,0,0,0,0,0,0
26,1765895480237,0,0,0,0,0,0,0,0
27,1765895481636,0,0,0,0,0,0,0,0
28,1765895482169,0,0,0,0,0,0,0,0
29,1765895482668,0,0,0,0,0,0,0,0
30,1765895483251,0,0,0,0,0,0,0,0
31,1765895483734,0,0,0,0,0,0,0,0
32,1765895484284,0,0,0,0,0,0,0,0
33,1765895485451,0,0,0,0,0,0,0,0
34,1765895485932,0,0,0,0,0,0,0,0
35,1765895487914,0,0,0,0,0,0,0,0
36,1765895488430,0,0,0,0,0,0,0,0
37,1765895489063,0,0,0,0,0,0,0,0
38,1765895489579,0,0,0,0,0,0,0,0
39,1765895490145,0,0,0,0,0,0,0,0
40,1765895490661,0,0,0,0,0,0,0,0
41,1765895491195,0,0,0,0,0,0,0,0
42,1765895491644,0,0,0,0,0,0,0,0
43,1765895492526,0,0,0,0,0,0,0,0
44,1765895493060,0,0,0,0,0,0,0,0
45,1765895493592,0,0,0,0,0,0,0,0
46,1765895497157,0,0,0,0,0,0,0,0
47,1765895498838,0,0,0,0,0,0,0,0
48,1765895499923,0,0,0,0,0,0,0,0
49,1765895500469,0,0,0,0,0,0,0,0
50,1765895500985,0,0,0,0,0,0,0,0
51,1765895501502,0,0,0,0,0,0,0,0
52,1765895502019,0,0,0,0,0,0,0,0
53,1765895502602,0,0,0,0,0,0,0,0
54,1765895503151,0,0,0,0,0,0,0,0
55,1765895503652,0,0,0,0,0,0,0,0
56,1765895504550,0,0,0,0,0,0,0,0
57,1765895505050,0,0,0,0,0,0,0,0
58,1765895505600,0,0,0,0,0,0,0,0
59,1765895506099,0,0,0,0,0,0,0,0
60,1765895506615,0,0,0,0,0,0,0,0
61,1765895506982,0,0,0,0,0,0,0,0
62,1765895507515,0,0,0,0,0,0,0,0
63,1765895508030,0,0,0,0,0,0,0,0
64,1765895508596,0,0,0,0,0,0,0,0
65,1765895509163,0,-1,0,3,0,0,0,0
66,1765895509780,299,48,0,411,0,0,0,0
67,1765895510245,163,295,0,873,0,0,0,0
68,1765895510795,160,396,0,860,0,0,0,0
69,1765895511928,327,444,1,957,0,0,0,0
70,1765895514359,729,364,3,981,0,0,0,0
71,1765895514860,799,339,3,982,0,0,0,0
72,1765895515408,867,326,3,980,0,0,0,0
73,1765895517972,997,207,2,962,0,0,0,0
74,1765895518472,1009,212,2,966,0,0,0,0
75,1765895518955,1018,207,2,967,0,0,0,0
76,1765895519505,1026,209,2,965,0,0,0,0
77,1765895520937,1040,203,2,967,0,0,0,0
78,1765895521454,1044,213,3,966,0,0,0,0
79,1765895521953,1048,212,3,970,0,0,0,0
80,1765895523085,1083,208,3,968,0,0,0,0
81,1765895523618,1102,201,2,965,0,0,0,0
82,1765895524151,1104,192,2,963,0,0,0,0
83,1765895524718,1107,191,2,960,0,0,0,0
84,1765895525218,1095,206,3,964,0,0,0,0
85,1765895525783,1092,211,3,967,0,0,0,0
86,1765895526316,1096,238,3,974,0,0,0,0
87,1765895526849,1085,234,3,972,0,0,0,0
88,1765895527432,1072,243,3,974,0,0,0,0
89,1765895528564,1054,287,4,984,0,0,0,0
90,1765895529097,1042,323,4,1005,0,0,0,0
91,1765895529630,1051,363,5,1015,0,0,0,0
92,1765895530213,1061,339,4,1005,0,0,0,0
93,1765895530745,1068,329,4,1013,0,0,0,0
94,1765895531312,1098,313,4,1000,0,0,0,0
95,1765895531844,1128,276,4,987,0,0,0,0
96,1765895532462,1157,274,4,992,0,0,0,0
97,1765895533810,1215,198,3,982,0,0,0,0
98,1765895534859,1251,205,3,985,0,0,0,0
99,1765895535393,1279,216,3,983,0,0,0,0
100,1765895535873,1290,178,3,975,0,0,0,0
101,1765895536440,1297,194,3,982,0,0,0,0
102,1765895536990,1313,205,3,988,0,0,0,0
103,1765895537557,1326,213,3,987,0,0,0,0
104,1765895538089,1338,217,3,989,0,0,0,0
105,1765895538656,1351,217,3,990,0,0,0,0
106,1765895539206,1363,216,4,990,0,0,0,0
107,1765895539787,1381,206,3,988,0,0,0,0
108,1765895540306,1395,215,4,989,0,0,0,0
109,1765895541403,1418,209,4,990,0,0,0,0
110,1765895541970,1428,203,3,989,0,0,0,0
111,1765895542553,1434,204,3,989,0,0,0,0
112,1765895543086,1441,203,3,992,0,0,0,0
113,1765895543619,1446,205,4,989,0,0,0,0
114,1765895544718,1461,208,4,993,0,0,0,0
115,1765895546867,1486,163,3,984,0,0,0,0
116,1765895547215,1490,182,3,992,0,0,0,0
117,1765895548298,1496,178,3,987,0,0,0,0
118,1765895548798,1476,187,24579,462,0,0,0,0
