timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_RPM,LEFT_MOTOR_TORQUE,LEFT_MOTOR_CURRENT,RIGHT_MOTOR_RPM,RIGHT_MOTOR_TORQUE,RIGHT_MOTOR_CURRENT,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,FRONT_LEFT_WHEEL_SPEED,FRONT_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,ELETROBUILD_TEMPERATURE,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t,VEHICLE_SPEED,TOTAL_VOLTAGE,HODOMETRO
1765896180018,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.1900000000000002,-0.7000000000000001,0.07,25.0,3.29,3.33,3.32,3.29,3.31,3.31,3.31,3.33,3.32,3.32,3.32,3.32,3.31,3.32,3.3,3.31,3.33,3.32,3.31,3.31,3.32,3.32,3.32,3.32,3.33,3.28,24.0,1.0,0.0,1.0,1.0,690006,0.0,79.55999999999997,409.06833220573486
1765896180033,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.1900000000000002,-0.7000000000000001,0.07,25.0,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.32,3.32,3.32,3.32,3.31,3.32,3.3,3.31,3.33,3.32,3.31,3.31,3.32,3.32,3.32,3.32,3.33,3.28,24.0,1.0,0.0,1.0,1.0,690021,0.0,79.60999999999997,409.06833220573486
1765896180049,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.1900000000000002,-0.7000000000000001,0.07,25.0,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.32,3.32,3.32,3.32,3.31,3.32,3.3,3.31,3.33,3.32,3.31,3.31,3.32,3.32,3.32,3.32,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690037,0.0,79.60999999999997,409.06833220573486
1765896180066,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.32,3.32,3.32,3.32,3.31,3.32,3.3,3.31,3.33,3.32,3.31,3.31,3.32,3.32,3.32,3.32,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690054,0.0,79.61999999999998,409.06833220573486
1765896180083,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.32,3.32,3.32,3.32,3.31,3.32,3.3,3.31,3.33,3.32,3.31,3.31,3.32,3.32,3.32,3.32,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690071,0.0,79.61999999999998,409.06833220573486
1765896180099,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.32,3.31,3.31,3.32,3.32,3.32,3.32,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690087,0.0,79.69999999999996,409.06833220573486
1765896180116,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.32,3.32,3.32,3.32,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690104,0.0,79.72999999999996,409.06833220573486
1765896180133,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.32,3.32,3.32,3.32,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690121,0.0,79.72999999999996,409.06833220573486
1765896180150,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690138,0.0,79.76999999999998,409.06833220573486
1765896180167,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690155,0.0,79.76999999999998,409.06833220573486
1765896180183,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690171,0.0,79.76999999999998,409.06833220573486
1765896180200,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690188,0.0,79.76999999999998,409.06833220573486
1765896180216,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690204,0.0,79.76999999999998,409.06833220573486
1765896180233,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690221,0.0,79.76999999999998,409.06833220573486
1765896180249,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.3,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690237,0.0,79.76999999999998,409.06833220573486
1765896180283,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690271,0.0,79.75999999999998,409.06833220573486
1765896180300,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042578,-0.02501,1.029558,1.2600000000000002,-0.77,0.07,25.0,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,690288,0.0,79.75999999999998,409.06833220573486
