timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,LEFT_MOTOR_TORQUE,LEFT_MOTOR_POWER,LEFT_MOTOR_CURRENT,RIGHT_MOTOR_SPEED,RIGHT_MOTOR_TORQUE,RIGHT_MOTOR_POWER,RIGHT_MOTOR_CURRENT,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,FRONT_LEFT_WHEEL_SPEED,FRONT_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,ELETROBUILD_TEMPERATURE,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t
1765896315294,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,13.314395057142859,242.0,3.0,986.0,13.491037114285714,13.314395057142859,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.32,3.32,3.33,3.33,3.33,3.33,3.32,3.32,3.32,3.32,3.32,3.33,3.33,3.33,3.32,3.33,3.33,3.33,3.33,3.33,3.29,0.0,1.0,2.0,0.0,0.0,135276
1765896315303,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,13.491037114285714,13.314395057142859,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,26.0,1.0,0.0,1.0,1.0,135285
1765896315318,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135300
1765896315335,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135317
1765896315351,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135333
1765896315368,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135350
1765896315384,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135366
1765896315418,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135400
1765896315451,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135433
1765896315467,0.0,0.0,0.0,0.0,0.0,0.0,13.491037114285714,241.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061488,-0.047824,1.022604,1.33,-0.77,0.14,24.2578125,3.29,3.33,3.32,3.29,3.32,3.33,3.33,3.33,3.33,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.33,3.32,3.32,3.33,3.33,3.33,3.33,3.33,3.29,24.0,1.0,0.0,1.0,1.0,135449
