timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_RPM,LEFT_MOTOR_TORQUE,LEFT_MOTOR_POWER,LEFT_MOTOR_CURRENT,RIGHT_MOTOR_RPM,RIGHT_MOTOR_TORQUE,RIGHT_MOTOR_POWER,RIGHT_MOTOR_CURRENT,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,FRONT_LEFT_WHEEL_SPEED,FRONT_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,ELETROBUILD_TEMPERATURE,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t,VEHICLE_SPEED,TOTAL_VOLTAGE,HODOMETRO
1765915845002,0.0,0.0,0.0,0.0,0.0,0.0,3559.0,896.0,0.0,0.0,3551.0,889.0,43.0,0.0,80.5,99.9,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.28,0.07,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20354990,39.24765707142858,78.23000000000002,6165.950127197819
1765915845035,0.0,0.0,1.0,10.0,0.0,0.0,3559.0,896.0,0.0,0.0,3551.0,889.0,43.0,0.0,80.5,99.9,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.28,0.07,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355023,39.24765707142858,78.23000000000002,6165.950127197819
1765915845051,0.0,0.0,1.0,10.0,0.0,0.0,3559.0,896.0,0.0,0.0,3551.0,889.0,43.0,0.0,80.5,99.9,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.0,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355039,39.24765707142858,78.23000000000002,6165.950127197819
1765915845068,0.0,0.0,1.0,10.0,0.0,0.0,3559.0,896.0,0.0,0.0,3551.0,889.0,43.0,0.0,0.0,0.0,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.0,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355056,39.24765707142858,78.23000000000002,6165.950127197819
1765915845102,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3551.0,889.0,43.0,0.0,0.0,0.0,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.0,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355090,19.60174827857143,78.23000000000002,6165.950127197819
1765915845118,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3551.0,889.0,43.0,0.0,0.0,0.0,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.0,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355106,19.60174827857143,78.23000000000002,6165.950127197819
1765915845168,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.0,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355156,0.0,78.23000000000002,6165.950127197819
1765915845235,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.0,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355223,0.0,78.23000000000002,6165.950127197819
1765915845252,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.07,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355240,0.0,78.23000000000002,6165.950127197819
1765915845268,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000976,0.000122,0.0,0.6300000000000001,-0.42000000000000004,0.07,25.0,3.24,3.29,3.19,3.22,3.26,3.24,3.26,3.3,3.27,3.28,3.27,3.26,3.26,3.28,3.21,3.25,3.27,3.26,3.27,3.23,3.29,3.28,3.28,3.27,3.3,3.19,0.0,1.0,2.0,0.0,0.0,20355256,0.0,78.23000000000002,6165.950127197819
