index,date,CEL_1,CEL_2,CEL_3,CEL_4,1,2,3,4
0,1765895323972,3.33,3.33,3.33,3.33,0,0,0,0
1,1765895324070,3.33,3.33,3.33,3.33,0,0,0,0
2,1765895324153,3.33,3.33,3.33,3.33,0,0,0,0
3,1765895324236,3.33,3.33,3.34,3.33,0,0,0,0
4,1765895324335,3.33,3.33,3.34,3.33,0,0,0,0
5,1765895324436,3.33,3.33,3.34,3.33,0,0,0,0
6,1765895324469,3.33,3.33,3.34,3.33,0,0,0,0
7,1765895324569,3.33,3.33,3.34,3.33,0,0,0,0
8,1765895324669,3.33,3.33,3.34,3.33,0,0,0,0
9,1765895324768,3.33,3.33,3.34,3.33,0,0,0,0
10,1765895324853,3.33,3.33,3.34,3.33,0,0,0,0
11,1765895324985,3.33,3.33,3.34,3.33,0,0,0,0
12,1765895325085,3.33,3.33,3.34,3.33,0,0,0,0
13,1765895325152,3.33,3.33,3.34,3.33,0,0,0,0
14,1765895325251,3.33,3.33,3.34,3.33,0,0,0,0
15,1765895325352,3.33,3.33,3.34,3.33,0,0,0,0
16,1765895325401,3.33,3.33,3.34,3.33,0,0,0,0
17,1765895325501,3.33,3.33,3.34,3.33,0,0,0,0
18,1765895325601,3.33,3.33,3.34,3.33,0,0,0,0
19,1765895325701,3.33,3.33,3.34,3.33,0,0,0,0
20,1765895325818,3.33,3.33,3.34,3.33,0,0,0,0
21,1765895325885,3.33,3.33,3.34,3.33,0,0,0,0
22,1765895325985,3.33,3.33,3.34,3.33,0,0,0,0
23,1765895326084,3.33,3.33,3.34,3.33,0,0,0,0
24,1765895326134,3.33,3.33,3.34,3.33,0,0,0,0
25,1765895326217,3.33,3.33,3.34,3.33,0,0,0,0
26,1765895326317,3.33,3.33,3.34,3.33,0,0,0,0
27,1765895326417,3.33,3.33,3.34,3.33,0,0,0,0
28,1765895326500,3.33,3.33,3.34,3.33,0,0,0,0
29,1765895326583,3.33,3.33,3.34,3.33,0,0,0,0
30,1765895326684,3.33,3.33,3.34,3.33,0,0,0,0
31,1765895326783,3.33,3.33,3.34,3.33,0,0,0,0
32,1765895326817,3.33,3.33,3.34,3.33,0,0,0,0
33,1765895326934,3.33,3.33,3.34,3.33,0,0,0,0
34,1765895327017,3.33,3.33,3.34,3.33,0,0,0,0
35,1765895327100,3.33,3.33,3.34,3.33,0,0,0,0
36,1765895327200,3.33,3.33,3.34,3.33,0,0,0,0
37,1765895327332,3.33,3.33,3.34,3.33,0,0,0,0
38,1765895460371,3.33,3.33,3.34,3.33,0,0,0,0
39,1765895460471,3.33,3.33,3.34,3.33,0,0,0,0
40,1765895460536,3.33,3.33,3.34,3.33,0,0,0,0
41,1765895460704,3.33,3.33,3.34,3.33,0,0,0,0
42,1765895460820,3.33,3.33,3.34,3.33,0,0,0,0
43,1765895460936,3.33,3.33,3.34,3.33,0,0,0,0
44,1765895461020,3.33,3.33,3.34,3.33,0,0,0,0
45,1765895461120,3.33,3.33,3.34,3.33,0,0,0,0
46,1765895461286,3.33,3.33,3.34,3.33,0,0,0,0
47,1765895461436,3.33,3.33,3.34,3.33,0,0,0,0
48,1765895461552,3.33,3.33,3.34,3.33,0,0,0,0
49,1765895461720,3.33,3.33,3.34,3.33,0,0,0,0
50,1765895461902,3.33,3.33,3.34,3.33,0,0,0,0
51,1765895462002,3.33,3.33,3.34,3.33,0,0,0,0
52,1765895462086,3.33,3.33,3.34,3.33,0,0,0,0
53,1765895462202,3.33,3.33,3.34,3.33,0,0,0,0
54,1765895462419,3.33,3.33,3.34,3.33,0,0,0,0
55,1765895462552,3.33,3.33,3.34,3.33,0,0,0,0
56,1765895462651,3.33,3.33,3.34,3.33,0,0,0,0
57,1765895462718,3.33,3.33,3.34,3.33,0,0,0,0
58,1765895462868,3.33,3.33,3.34,3.33,0,0,0,0
59,1765895462934,3.33,3.33,3.34,3.33,0,0,0,0
60,1765895463052,3.33,3.33,3.34,3.33,0,0,0,0
61,1765895463168,3.33,3.33,3.34,3.33,0,0,0,0
62,1765895463251,3.33,3.33,3.34,3.33,0,0,0,0
63,1765895463385,3.33,3.33,3.34,3.33,0,0,0,0
64,1765895463534,3.33,3.33,3.34,3.33,0,0,0,0
65,1765895463650,3.33,3.33,3.34,3.33,0,0,0,0
66,1765895463753,3.33,3.33,3.34,3.33,0,0,0,0
67,1765895463884,3.33,3.33,3.34,3.33,0,0,0,0
68,1765895464051,3.33,3.33,3.34,3.33,0,0,0,0
69,1765895464183,3.33,3.33,3.34,3.33,0,0,0,0
70,1765895464267,3.33,3.33,3.34,3.33,0,0,0,0
71,1765895464383,3.33,3.33,3.34,3.33,0,0,0,0
72,1765895464517,3.33,3.33,3.34,3.33,0,0,0,0
73,1765895464551,3.33,3.33,3.34,3.33,0,0,0,0
74,1765895464716,3.33,3.33,3.34,3.33,0,0,0,0
75,1765895464783,3.33,3.33,3.34,3.33,0,0,0,0
76,1765895464867,3.33,3.33,3.34,3.33,0,0,0,0
77,1765895465033,3.33,3.33,3.34,3.33,0,0,0,0
78,1765895465200,3.33,3.33,3.34,3.33,0,0,0,0
79,1765895465299,3.33,3.33,3.34,3.33,0,0,0,0
80,1765895465399,3.33,3.33,3.34,3.33,0,0,0,0
81,1765895465499,3.33,3.33,3.34,3.33,0,0,0,0
82,1765895465632,3.33,3.33,3.34,3.33,0,0,0,0
83,1765895465716,3.33,3.33,3.34,3.33,0,0,0,0
84,1765895465917,3.33,3.33,3.34,3.33,0,0,0,0
85,1765895466066,3.33,3.33,3.34,3.33,0,0,0,0
86,1765895466198,3.33,3.33,3.34,3.33,0,0,0,0
87,1765895466232,3.33,3.33,3.34,3.33,0,0,0,0
88,1765895466348,3.33,3.33,3.34,3.33,0,0,0,0
89,1765895466482,3.33,3.33,3.34,3.33,0,0,0,0
90,1765895466565,3.33,3.33,3.34,3.33,0,0,0,0
91,1765895466715,3.33,3.33,3.34,3.33,0,0,0,0
92,1765895466782,3.33,3.33,3.34,3.33,0,0,0,0
93,1765895466915,3.33,3.33,3.34,3.33,0,0,0,0
94,1765895466981,3.33,3.33,3.34,3.33,0,0,0,0
95,1765895467082,3.33,3.33,3.34,3.33,0,0,0,0
96,1765895467233,3.64,3.33,3.34,3.33,0,0,0,0
97,1765895467415,3.33,3.33,3.34,3.33,0,0,0,0
98,1765895467498,3.33,3.33,3.34,3.33,0,0,0,0
99,1765895467598,3.33,3.33,3.34,3.33,0,0,0,0
100,1765895467748,3.33,3.33,3.34,3.33,0,0,0,0
101,1765895467897,3.33,3.33,3.34,3.33,0,0,0,0
102,1765895468047,3.33,3.33,3.34,3.33,0,0,0,0
103,1765895468147,3.33,3.33,3.34,3.33,0,0,0,0
104,1765895468264,3.33,3.33,3.34,3.33,0,0,0,0
105,1765895468380,3.33,3.33,3.34,3.33,0,0,0,0
106,1765895468447,3.33,3.33,3.34,3.33,0,0,0,0
107,1765895468630,3.33,3.33,3.34,3.33,0,0,0,0
108,1765895468714,3.33,3.33,3.34,3.33,0,0,0,0
109,1765895468864,3.33,3.33,3.34,3.33,0,0,0,0
110,1765895469046,3.33,3.33,3.34,3.33,0,0,0,0
111,1765895469247,3.33,3.33,3.34,3.33,0,0,0,0
112,1765895469380,3.33,3.33,3.34,3.33,0,0,0,0
113,1765895469464,3.33,3.33,3.34,3.33,0,0,0,0
114,1765895469546,3.33,3.33,3.34,3.33,0,0,0,0
115,1765895469663,3.33,3.33,3.34,3.33,0,0,0,0
116,1765895469714,3.33,3.33,3.34,3.33,0,0,0,0
117,1765895469814,3.33,3.33,3.34,3.33,0,0,0,0
118,1765895469962,3.33,3.33,3.34,3.33,0,0,0,0
119,1765895470062,3.33,3.33,3.34,3.33,0,0,0,0
120,1765895470146,3.33,3.33,3.34,3.33,0,0,0,0
121,1765895470312,3.33,3.33,3.34,3.33,0,0,0,0
122,1765895470428,3.33,3.33,3.34,3.33,0,0,0,0
123,1765895470445,3.33,3.33,3.34,3.33,0,0,0,0
