index,date,MODE_ID,ERROR_ID,AIR_P,AIR_N,1,2,3,4
0,1765895324302,1,0,0,0,0,0,0,0
1,1765895324385,1,0,0,0,0,0,0,0
2,1765895324719,1,0,0,0,0,0,0,0
3,1765895324902,1,0,0,0,0,0,0,0
4,1765895325035,1,0,0,0,0,0,0,0
5,1765895325235,1,0,0,0,0,0,0,0
6,1765895325567,1,0,0,0,0,0,0,0
7,1765895325935,1,0,0,0,0,0,0,0
8,1765895326267,1,0,0,0,0,0,0,0
9,1765895326650,1,0,0,0,0,0,0,0
10,1765895327050,1,0,0,0,0,0,0,0
11,1765895461502,1,0,0,0,0,0,0,0
12,1765895461602,1,0,0,0,0,0,0,0
13,1765895461836,1,0,0,0,0,0,0,0
14,1765895462319,1,0,0,0,0,0,0,0
15,1765895462519,1,0,0,0,0,0,0,0
16,1765895462603,1,0,0,0,0,0,0,0
17,1765895463001,1,0,0,0,0,0,0,0
18,1765895463601,1,0,0,0,0,0,0,0
19,1765895464317,1,0,0,0,0,0,0,0
20,1765895464984,1,0,0,0,0,0,0,0
21,1765895465350,1,0,0,0,0,0,0,0
22,1765895465799,1,0,0,0,0,0,0,0
23,1765895466015,1,0,0,0,0,0,0,0
24,1765895466432,1,0,0,0,0,0,0,0
25,1765895466965,1,0,0,0,0,0,0,0
26,1765895467166,1,0,0,0,0,0,0,0
27,1765895467364,1,0,0,0,0,0,0,0
28,1765895467548,1,0,0,0,0,0,0,0
29,1765895467814,1,0,0,0,0,0,0,0
30,1765895468113,1,0,0,0,0,0,0,0
31,1765895468197,1,0,0,0,0,0,0,0
32,1765895468930,1,0,0,0,0,0,0,0
33,1765895469297,1,0,0,0,0,0,0,0
34,1765895469913,1,0,0,0,0,0,0,0
35,1765895470528,1,0,0,0,0,0,0,0
36,1765895471078,1,0,0,0,0,0,0,0
37,1765895471295,1,0,0,0,0,0,0,0
38,1765895471694,1,0,0,0,0,0,0,0
39,1765895472144,1,0,0,0,0,0,0,0
40,1765895472376,1,0,0,0,0,0,0,0
41,1765895472761,1,0,0,0,0,0,0,0
42,1765895473709,1,0,0,0,0,0,0,0
43,1765895474109,1,0,0,0,0,0,0,0
44,1765895474542,1,0,0,0,0,0,0,0
45,1765895474675,1,0,0,0,0,0,0,0
46,1765895475091,1,0,0,0,0,0,0,0
47,1765895475258,1,0,0,0,0,0,0,0
48,1765895475457,1,0,0,0,0,0,0,0
49,1765895475907,1,0,0,0,0,0,0,0
50,1765895476607,1,0,0,0,0,0,0,0
51,1765895477240,1,0,0,0,0,0,0,0
52,1765895477906,1,0,0,0,0,0,0,0
53,1765895478039,1,0,0,0,0,0,0,0
54,1765895478172,1,0,0,0,0,0,0,0
55,1765895478988,1,0,0,0,0,0,0,0
56,1765895479605,1,0,0,0,0,0,0,0
57,1765895479972,1,0,0,0,0,0,0,0
58,1765895480070,1,0,0,0,0,0,0,0
59,1765895480254,1,0,0,0,0,0,0,0
60,1765895481353,1,0,0,0,0,0,0,0
61,1765895482718,1,0,0,0,0,0,0,0
62,1765895483084,1,0,0,0,0,0,0,0
63,1765895483501,1,0,0,0,0,0,0,0
64,1765895484050,1,0,0,0,0,0,0,0
65,1765895484233,1,0,0,0,0,0,0,0
66,1765895485367,1,0,0,0,0,0,0,0
67,1765895485383,1,0,0,0,0,0,0,0
68,1765895485732,1,0,0,0,0,0,0,0
69,1765895485817,1,0,0,0,0,0,0,0
70,1765895486383,1,0,0,1,0,0,0,0
71,1765895486648,1,0,0,1,0,0,0,0
72,1765895486833,1,0,0,1,0,0,0,0
73,1765895487264,1,0,0,1,0,0,0,0
74,1765895487964,1,0,0,1,0,0,0,0
75,1765895488230,1,0,0,1,0,0,0,0
76,1765895488346,1,0,0,1,0,0,0,0
77,1765895488580,1,0,0,1,0,0,0,0
78,1765895488813,1,0,0,1,0,0,0,0
79,1765895489179,1,0,0,1,0,0,0,0
80,1765895489246,1,0,0,1,0,0,0,0
81,1765895489679,1,0,1,1,0,0,0,0
82,1765895489879,1,0,1,1,0,0,0,0
83,1765895490228,1,0,1,1,0,0,0,0
84,1765895490495,1,0,1,1,0,0,0,0
85,1765895490661,1,0,1,1,0,0,0,0
86,1765895490844,1,0,1,1,0,0,0,0
87,1765895491061,1,0,1,1,0,0,0,0
88,1765895491627,1,0,1,1,0,0,0,0
89,1765895492177,1,0,1,1,0,0,0,0
90,1765895492676,1,0,1,1,0,0,0,0
91,1765895492960,1,0,1,1,0,0,0,0
92,1765895493858,1,0,1,1,0,0,0,0
93,1765895494025,1,0,1,1,0,0,0,0
94,1765895494691,1,0,1,1,0,0,0,0
95,1765895495157,1,0,1,1,0,0,0,0
96,1765895495357,1,0,1,1,0,0,0,0
97,1765895495591,1,0,1,1,0,0,0,0
98,1765895495824,1,0,1,1,0,0,0,0
99,1765895496307,1,0,1,1,0,0,0,0
100,1765895496507,1,0,1,1,0,0,0,0
101,1765895496673,1,0,1,1,0,0,0,0
102,1765895496790,1,0,1,1,0,0,0,0
103,1765895496974,1,0,1,1,0,0,0,0
104,1765895497090,1,0,1,1,0,0,0,0
105,1765895497290,1,0,1,1,0,0,0,0
106,1765895498073,1,0,1,1,0,0,0,0
107,1765895498422,1,0,1,1,0,0,0,0
108,1765895498522,1,0,1,1,0,0,0,0
109,1765895498855,1,0,1,1,0,0,0,0
110,1765895499088,1,0,1,1,0,0,0,0
111,1765895499371,1,0,1,1,0,0,0,0
112,1765895499471,1,0,1,1,0,0,0,0
113,1765895499721,1,0,1,1,0,0,0,0
114,1765895499905,1,0,1,1,0,0,0,0
115,1765895500752,1,0,1,1,0,0,0,0
116,1765895501120,1,0,1,1,0,0,0,0
117,1765895501336,1,0,1,1,0,0,0,0
118,1765895501719,1,0,1,1,0,0,0,0
119,1765895501952,1,0,1,1,0,0,0,0
120,1765895502235,1,0,1,1,0,0,0,0
121,1765895503068,1,0,1,1,0,0,0,0
122,1765895503068,1,0,1,1,0,0,0,0
123,1765895503500,1,0,1,1,0,0,0,0
124,1765895503618,1,0,1,1,0,0,0,0
125,1765895504285,1,0,1,1,0,0,0,0
126,1765895504618,1,0,1,1,0,0,0,0
127,1765895505116,1,0,1,1,0,0,0,0
128,1765895505316,1,0,1,1,0,0,0,0
129,1765895505699,1,0,1,1,0,0,0,0
130,1765895505983,1,0,1,1,0,0,0,0
131,1765895506298,1,0,1,1,0,0,0,0
132,1765895506732,1,0,1,1,0,0,0,0
133,1765895507049,1,0,1,1,0,0,0,0
134,1765895507497,1,0,1,1,0,0,0,0
135,1765895507630,1,0,1,1,0,0,0,0
136,1765895507814,1,0,1,1,0,0,0,0
137,1765895507897,1,0,1,1,0,0,0,0
138,1765895508119,1,0,1,1,0,0,0,0
139,1765895508414,1,0,1,1,0,0,0,0
140,1765895508614,1,0,1,1,0,0,0,0
141,1765895508814,1,0,1,1,0,0,0,0
142,1765895509463,1,0,1,1,0,0,0,0
143,1765895509780,1,0,1,1,0,0,0,0
144,1765895510196,1,0,1,1,0,0,0,0
145,1765895510595,1,0,1,1,0,0,0,0
146,1765895511011,1,0,1,1,0,0,0,0
147,1765895511045,1,0,1,1,0,0,0,0
148,1765895511345,1,0,1,1,0,0,0,0
149,1765895511444,1,0,1,1,0,0,0,0
150,1765895511677,1,0,1,1,0,0,0,0
151,1765895511913,1,0,1,1,0,0,0,0
152,1765895512046,1,0,1,1,0,0,0,0
153,1765895512127,1,0,1,1,0,0,0,0
154,1765895512743,1,0,1,1,0,0,0,0
155,1765895512827,1,0,1,1,0,0,0,0
156,1765895513243,1,0,1,1,0,0,0,0
157,1765895513659,1,0,1,1,0,0,0,0
158,1765895514127,1,0,1,1,0,0,0,0
159,1765895514326,1,0,1,1,0,0,0,0
160,1765895514842,1,0,1,1,0,0,0,0
161,1765895515059,1,0,1,1,0,0,0,0
162,1765895515258,1,0,1,1,0,0,0,0
163,1765895515508,1,0,1,1,0,0,0,0
164,1765895515692,1,0,1,1,0,0,0,0
165,1765895515924,1,0,1,1,0,0,0,0
166,1765895516126,1,0,1,1,0,0,0,0
167,1765895516357,1,0,1,1,0,0,0,0
168,1765895516440,1,0,1,1,0,0,0,0
169,1765895516857,1,0,1,1,0,0,0,0
170,1765895517040,1,0,1,1,0,0,0,0
171,1765895517356,1,0,1,1,0,0,0,0
172,1765895517757,1,0,1,1,0,0,0,0
173,1765895518090,1,0,1,1,0,0,0,0
174,1765895518306,1,0,1,1,0,0,0,0
175,1765895518705,1,0,1,1,0,0,0,0
176,1765895519288,1,0,1,1,0,0,0,0
177,1765895519522,1,0,1,1,0,0,0,0
178,1765895519904,1,0,1,1,0,0,0,0
179,1765895520089,1,0,1,1,0,0,0,0
180,1765895520270,1,0,1,1,0,0,0,0
181,1765895520806,1,0,1,1,0,0,0,0
182,1765895520887,1,0,1,1,0,0,0,0
183,1765895521087,1,0,1,1,0,0,0,0
184,1765895521303,1,0,1,1,0,0,0,0
185,1765895521687,1,0,1,1,0,0,0,0
186,1765895521720,1,0,1,1,0,0,0,0
187,1765895521986,1,0,1,1,0,0,0,0
188,1765895522071,1,0,1,1,0,0,0,0
189,1765895522286,1,0,1,1,0,0,0,0
190,1765895522653,1,0,1,1,0,0,0,0
191,1765895522919,1,0,1,1,0,0,0,0
192,1765895523136,1,0,1,1,0,0,0,0
193,1765895524118,1,0,1,1,0,0,0,0
194,1765895524385,1,0,1,1,0,0,0,0
195,1765895524568,1,0,1,1,0,0,0,0
196,1765895524967,1,0,1,1,0,0,0,0
197,1765895525633,1,0,1,1,0,0,0,0
198,1765895525716,1,0,1,1,0,0,0,0
199,1765895526100,1,0,1,1,0,0,0,0
200,1765895526349,1,0,1,1,0,0,0,0
201,1765895526968,1,0,1,1,0,0,0,0
202,1765895527383,1,0,1,1,0,0,0,0
203,1765895527798,1,0,1,1,0,0,0,0
204,1765895527998,1,0,1,1,0,0,0,0
205,1765895528880,1,0,1,1,0,0,0,0
206,1765895529249,1,0,1,1,0,0,0,0
207,1765895529713,1,0,1,1,0,0,0,0
208,1765895529880,1,0,1,1,0,0,0,0
209,1765895530047,1,0,1,1,0,0,0,0
210,1765895531078,1,0,1,1,0,0,0,0
211,1765895531678,1,0,1,1,0,0,0,0
212,1765895531861,1,0,1,1,0,0,0,0
213,1765895532451,1,0,1,1,0,0,0,0
214,1765895532462,1,0,1,1,0,0,0,0
215,1765895532478,1,2560,-24405,555,0,0,0,0
216,1765895532627,1,0,1,1,0,0,0,0
217,1765895532861,1,0,1,1,0,0,0,0
218,1765895533077,1,0,1,1,0,0,0,0
219,1765895533494,1,0,1,1,0,0,0,0
220,1765895533828,1,25856,16577,24577,0,0,0,0
221,1765895534593,1,0,1,1,0,0,0,0
222,1765895534676,1,0,1,1,0,0,0,0
223,1765895535344,1,0,1,1,0,0,0,0
224,1765895535741,1,0,1,1,0,0,0,0
225,1765895536656,1,0,1,1,0,0,0,0
226,1765895536907,1,0,1,1,0,0,0,0
227,1765895537324,1,0,1,1,0,0,0,0
228,1765895537540,1,0,1,1,0,0,0,0
229,1765895537939,1,0,1,1,0,0,0,0
230,1765895538356,1,0,1,1,0,0,0,0
231,1765895538523,1,0,1,1,0,0,0,0
232,1765895539887,1,0,1,1,0,0,0,0
233,1765895540055,1,0,1,1,0,0,0,0
234,1765895540087,1,0,1,-24447,0,0,0,0
235,1765895540687,1,0,1,1,0,0,0,0
236,1765895540921,1,0,1,1,0,0,0,0
237,1765895541337,1,0,1,1,0,0,0,0
238,1765895541953,1,0,1,1,0,0,0,0
239,1765895542103,1,0,1,1,0,0,0,0
240,1765895542370,1,0,1,1,0,0,0,0
241,1765895542652,1,0,1,1,0,0,0,0
242,1765895542786,1,0,1,1,0,0,0,0
243,1765895543585,1,0,1,1,0,0,0,0
244,1765895543785,1,0,1,1,0,0,0,0
245,1765895543968,1,0,1,1,0,0,0,0
246,1765895544119,1,0,1,1,0,0,0,0
247,1765895544551,1,0,1,1,0,0,0,0
248,1765895544950,1,0,1,1,0,0,0,0
249,1765895545801,1,0,1,1,0,0,0,0
250,1765895546915,1,0,1,1,0,0,0,0
251,1765895547032,1,0,1,1,0,0,0,0
252,1765895547266,1,0,1,1,0,0,0,0
253,1765895547665,1,0,1,1,0,0,0,0
254,1765895548065,1,0,1,1,0,0,0,0
255,1765895548431,1,0,1,1,0,0,0,0
256,1765895548664,1,0,1,1,0,0,0,0
257,1765895549230,1,0,1,1,0,0,0,0
258,1765895549664,1,0,1,1,0,0,0,0
259,1765895549847,1,0,1,1,0,0,0,0
260,1765895550046,1,0,1,1,0,0,0,0
261,1765895550496,1,0,-16371,13,0,0,0,0
262,1765895550580,1,0,1,1,0,0,0,0
263,1765895550762,1,0,1,1,0,0,0,0
264,1765895550879,1,0,1,1,0,0,0,0
265,1765895551229,1,0,1,1,0,0,0,0
266,1765895552011,1,0,1,1,0,0,0,0
267,1765895552061,1,0,1,1,0,0,0,0
268,1765895552462,1,0,1,1,0,0,0,0
269,1765895552662,1,0,1,1,0,0,0,0
270,1765895552912,1,0,1,1,0,0,0,0
271,1765895553078,1,0,1,1,0,0,0,0
272,1765895553527,1,0,1,1,0,0,0,0
273,1765895553927,1,0,1,1,0,0,0,0
274,1765895554660,1,0,1,1,0,0,0,0
275,1765895555410,1,0,1,1,0,0,0,0
276,1765895555558,1,0,1,1,0,0,0,0
277,1765895555709,1,0,1,1,0,0,0,0
278,1765895555808,1,0,1,1,0,0,0,0
279,1765895556125,1,0,1,1,0,0,0,0
280,1765895556641,1,0,1,1,0,0,0,0
281,1765895557091,1,0,1,1,0,0,0,0
282,1765895557274,1,0,1,1,0,0,0,0
283,1765895557391,1,0,1,1,0,0,0,0
284,1765895557941,1,0,1,1,0,0,0,0
285,1765895558556,1,0,1,1,0,0,0,0
286,1765895559588,1,0,1,1,0,0,0,0
287,1765895559972,1,0,1,1,0,0,0,0
288,1765895560438,1,0,1,1,0,0,0,0
289,1765895560788,1,0,1,1,0,0,0,0
290,1765895561087,1,0,1,1,0,0,0,0
291,1765895561404,4113,0,1,-16383,0,0,0,0
292,1765895561504,1,0,1,1,0,0,0,0
293,1765895561786,1,0,1,1,0,0,0,0
294,1765895562186,1,0,1,1,0,0,0,0
295,1765895562303,1,0,1,1,0,0,0,0
296,1765895562686,1,0,1,1,0,0,0,0
297,1765895563269,1,0,1,1,0,0,0,0
298,1765895564052,1,0,1,1,0,0,0,0
299,1765895564385,1,0,1,1,0,0,0,0
300,1765895564501,1,0,1,1,0,0,0,0
301,1765895564651,1,0,1,1,0,0,0,0
302,1765895564867,1,0,1,1,0,0,0,0
303,1765895565600,1,0,1,1,0,0,0,0
304,1765895565999,1,0,1,1,0,0,0,0
305,1765895566034,1,0,1,1,0,0,0,0
306,1765895566200,1,0,1,1,0,0,0,0
307,1765895566350,1,0,1,1,0,0,0,0
308,1765895566433,1,0,1,1,0,0,0,0
309,1765895567049,1,0,1,1,0,0,0,0
310,1765895567516,1,0,1,1,0,0,0,0
311,1765895567632,1,0,1,1,0,0,0,0
312,1765895568231,1,0,1,1,0,0,0,0
313,1765895568632,1,0,1,1,0,0,0,0
314,1765895568914,1,0,1,1,0,0,0,0
315,1765895569269,1,0,1,1,0,0,0,0
316,1765895569281,1,0,1,1,0,0,0,0
317,1765895569930,1,0,1,1,0,0,0,0
318,1765895570080,1,0,1,1,0,0,0,0
319,1765895570246,1,0,1,1,0,0,0,0
320,1765895570329,1,0,1,1,0,0,0,0
321,1765895570746,1,0,1,1,0,0,0,0
322,1765895570980,1,0,1,1,0,0,0,0
323,1765895571378,1,0,1,1,0,0,0,0
324,1765895571595,1,0,1,1,0,0,0,0
325,1765895571794,1,0,1,1,0,0,0,0
326,1765895572610,1,0,1,1,0,0,0,0
327,1765895572810,1,0,1,1,0,0,0,0
328,1765895573260,1,0,1,1,0,0,0,0
329,1765895573594,1,0,1,1,0,0,0,0
330,1765895573925,1,0,1,1,0,0,0,0
331,1765895574442,1,0,1,1,0,0,0,0
332,1765895575375,1,0,1,1,0,0,0,0
333,1765895577923,1,0,1,1,0,0,0,0
334,1765895578524,1,0,1,1,0,0,0,0
335,1765895578958,1,0,1,1,0,0,0,0
336,1765895579257,1,0,1,-30719,0,0,0,0
337,1765895579356,1,0,1,1,0,0,0,0
338,1765895580172,1,0,1,1,0,0,0,0
339,1765895580389,1,0,1,1,0,0,0,0
340,1765895580856,1,0,1,1,0,0,0,0
341,1765895581270,1,0,1,1,0,0,0,0
342,1765895581688,1,0,1,1,0,0,0,0
343,1765895581888,1,0,1,1,0,0,0,0
344,1765895582055,1,0,1,1,0,0,0,0
345,1765895582536,1,0,1,1,0,0,0,0
346,1765895582970,1,0,1,1,0,0,0,0
347,1765895583437,1,0,1,1,0,0,0,0
348,1765895584036,1,0,1,1,0,0,0,0
349,1765895584486,1,0,1,1,0,0,0,0
350,1765895584635,1,0,1,1,0,0,0,0
351,1765895584885,1,0,1,1,0,0,0,0
352,1765895585302,1,0,1,1,0,0,0,0
353,1765895585667,1,0,1,1,0,0,0,0
354,1765895585934,1,0,1,1,0,0,0,0
355,1765895586167,1,0,1,1,0,0,0,0
356,1765895586534,1,0,1,1,0,0,0,0
357,1765895586833,1,0,1,1,0,0,0,0
358,1765895587266,1,-15104,20749,15275,0,0,0,0
359,1765895587632,1,0,1,1,0,0,0,0
360,1765895587866,1,0,1,1,0,0,0,0
361,1765895588098,1,0,1,1,0,0,0,0
362,1765895588215,1,0,1,1,0,0,0,0
363,1765895588249,1,0,1,1,0,0,0,0
364,1765895588814,1,0,1,1,0,0,0,0
365,1765895588898,1,0,1,1,0,0,0,0
366,1765895589482,1,0,1,1,0,0,0,0
367,1765895589730,1,0,1,1,0,0,0,0
368,1765895589897,1,0,1,1,0,0,0,0
369,1765895590713,1,0,1,1,0,0,0,0
370,1765895591062,1,0,1,1,0,0,0,0
371,1765895591279,1,0,1,1,0,0,0,0
372,1765895591646,1,0,1,1,0,0,0,0
373,1765895592396,1,0,1,1,0,0,0,0
374,1765895592411,1,0,1,1,0,0,0,0
375,1765895592812,1,0,1,1,0,0,0,0
376,1765895593477,1,0,1,1,0,0,0,0
377,1765895593678,1,0,1,1,0,0,0,0
378,1765895594092,1,0,1,1,0,0,0,0
379,1765895594375,1,0,1,1,0,0,0,0
380,1765895594593,1,0,1,1,0,0,0,0
381,1765895594876,1,0,1,1,0,0,0,0
382,1765895594976,1,0,1,1,0,0,0,0
383,1765895595326,1,0,1,1,0,0,0,0
384,1765895595692,1,0,1,1,0,0,0,0
385,1765895596124,1,256,1,1,0,0,0,0
386,1765895596308,1,0,1,1,0,0,0,0
387,1765895596724,1,0,1,1,0,0,0,0
388,1765895597424,1,0,1,1,0,0,0,0
389,1765895597657,1,0,1,1,0,0,0,0
390,1765895598540,1,0,1,-22015,0,0,0,0
391,1765895598773,1,0,1,1,0,0,0,0
392,1765895599239,1,0,1,1,0,0,0,0
393,1765895599622,1,0,1,1,0,0,0,0
394,1765895600104,1,0,1,1,0,0,0,0
395,1765895600438,1,0,1,1,0,0,0,0
396,1765895600871,1,0,1,1,0,0,0,0
397,1765895601237,1,0,1,1,0,0,0,0
398,1765895601470,1,0,1,1,0,0,0,0
399,1765895602536,161,10,1,1,0,0,0,0
400,1765895602619,1,0,1,1,0,0,0,0
401,1765895602886,1,0,1,1,0,0,0,0
402,1765895603604,1,0,1,1,0,0,0,0
403,1765895604185,1,0,1,1,0,0,0,0
404,1765895605670,1,0,1,1,0,0,0,0
405,1765895606399,1,0,1,1,0,0,0,0
406,1765895606617,1,0,1,1,0,0,0,0
407,1765895606832,1,0,1,1,0,0,0,0
408,1765895607415,1,0,1,1,0,0,0,0
409,1765895607633,1,0,1,1,0,0,0,0
410,1765895608131,1,0,1,1,0,0,0,0
411,1765895608347,1,0,1,1,0,0,0,0
412,1765895608548,1,0,1,1,0,0,0,0
413,1765895609031,1,0,1,1,0,0,0,0
414,1765895609365,1,0,1,1,0,0,0,0
415,1765895609747,1,0,1,1,0,0,0,0
416,1765895609963,1,0,1,1,0,0,0,0
417,1765895611013,1,0,1,1,0,0,0,0
418,1765895611397,1,0,1,1,0,0,0,0
419,1765895612079,1,0,1,1,0,0,0,0
420,1765895612278,1,0,1,1,0,0,0,0
421,1765895612912,1,0,1,1,0,0,0,0
422,1765895613010,1,0,1,1,0,0,0,0
423,1765895614609,1,0,1,1,0,0,0,0
424,1765895614826,1,0,1,1,0,0,0,0
425,1765895615225,1,0,1,1,0,0,0,0
426,1765895616292,1,0,1,1,0,0,0,0
427,1765895616491,1,0,1,1,0,0,0,0
428,1765895616741,1,0,1,1,0,0,0,0
429,1765895616857,1,0,1,1,0,0,0,0
430,1765895617090,1,0,1,1,0,0,0,0
431,1765895618107,1,0,1,1,0,0,0,0
432,1765895618339,1,0,1,1,0,0,0,0
433,1765895618638,1,0,1,1,0,0,0,0
434,1765895618755,1,0,1,1,0,0,0,0
435,1765895619072,1,0,1,1,0,0,0,0
436,1765895619257,1,0,1,1,0,0,0,0
437,1765895619539,1,0,1,1,0,0,0,0
438,1765895620344,1,0,1,1,0,0,0,0
439,1765895620638,1,0,1,1,0,0,0,0
440,1765895621004,1,0,1,1,0,0,0,0
441,1765895621255,1,0,1,1,0,0,0,0
442,1765895621404,1,0,1,1,0,0,0,0
443,1765895621837,1,0,1,1,0,0,0,0
444,1765895622553,1,0,1,1,0,0,0,0
445,1765895622771,1,0,1,1,0,0,0,0
446,1765895623236,1,0,1,1,0,0,0,0
447,1765895623502,1,0,1,1,0,0,0,0
448,1765895623836,1,0,1,1,0,0,0,0
449,1765895624052,1,0,1,1,0,0,0,0
450,1765895624235,1,0,1,1,0,0,0,0
