index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1765895459489,0,0,0,0,0,0,0,0
1,1765895459706,0,0,0,0,0,0,0,0
2,1765895459922,0,0,0,0,0,0,0,0
3,1765895460154,0,0,0,0,0,0,0,0
4,1765895460637,0,0,0,0,0,0,0,0
5,1765895461087,0,0,0,0,0,0,0,0
6,1765895464716,0,0,0,0,0,0,0,0
7,1765895465249,0,0,0,0,0,0,0,0
8,1765895465817,0,0,0,0,0,0,0,0
9,1765895466366,0,0,0,0,0,0,0,0
10,1765895468014,0,0,0,0,0,0,0,0
11,1765895468563,0,0,0,0,0,0,0,0
12,1765895469079,0,0,0,0,0,0,0,0
13,1765895469597,0,0,0,0,0,0,0,0
14,1765895470146,0,0,0,0,0,0,0,0
15,1765895470628,0,0,0,0,0,0,0,0
16,1765895471527,0,0,0,0,0,0,0,0
17,1765895472045,0,0,0,0,0,0,0,0
18,1765895472628,0,0,0,0,0,0,0,0
19,1765895473177,0,0,0,0,0,0,0,0
20,1765895473726,0,0,0,0,0,0,0,0
21,1765895474259,0,0,0,0,0,0,0,0
22,1765895474775,0,0,0,0,0,0,0,0
23,1765895475358,0,0,0,0,0,0,0,0
24,1765895475875,0,0,0,0,0,0,0,0
25,1765895476423,0,0,0,0,0,0,0,0
26,1765895476990,0,0,0,0,0,0,0,0
27,1765895477557,0,0,0,0,0,0,0,0
28,1765895478072,0,0,0,0,0,0,0,0
29,1765895478622,0,0,0,0,0,0,0,0
30,1765895479105,0,0,0,0,0,0,0,0
31,1765895481069,0,0,0,0,0,0,0,0
32,1765895481569,0,0,0,0,0,0,0,0
33,1765895482087,0,0,0,0,0,0,0,0
34,1765895483169,0,0,0,0,0,0,0,0
35,1765895486766,0,0,0,0,0,0,0,0
36,1765895487365,0,0,0,0,0,0,0,0
37,1765895487881,0,0,0,0,0,0,0,0
38,1765895488396,0,0,0,0,0,0,0,0
39,1765895488929,0,0,2,0,0,0,0,0
40,1765895489496,0,0,2,0,0,0,0,0
41,1765895490062,0,0,2,0,0,0,0,0
42,1765895490578,0,0,2,0,0,0,0,0
43,1765895491111,0,0,2,0,0,0,0,0
44,1765895491994,0,0,2,0,0,0,0,0
45,1765895492443,0,0,2,0,0,0,0,0
46,1765895493010,0,0,2,0,0,0,0,0
47,1765895493526,0,0,2,0,0,0,0,0
48,1765895494958,0,0,2,0,0,0,0,0
49,1765895496075,0,0,2,0,0,0,0,0
50,1765895497125,0,0,2,0,0,0,0,0
51,1765895497689,0,0,2,0,0,0,0,0
52,1765895498206,0,0,2,0,0,0,0,0
53,1765895498806,0,0,2,0,0,0,0,0
54,1765895499337,0,0,2,0,0,0,0,0
55,1765895499838,0,0,2,0,0,0,0,0
56,1765895500404,0,0,2,0,0,0,0,0
57,1765895500952,0,0,2,0,0,0,0,0
58,1765895501469,0,0,2,0,0,0,0,0
59,1765895502535,0,0,2,0,0,0,0,0
60,1765895504468,0,0,2,0,0,0,0,0
61,1765895504967,0,0,2,0,0,0,0,0
62,1765895505517,0,0,2,0,0,0,0,0
63,1765895506915,0,0,2,0,0,0,0,0
64,1765895507431,0,0,2,0,0,0,0,0
65,1765895507947,0,0,2,0,0,0,0,0
66,1765895508530,0,0,2,0,0,0,0,0
67,1765895509097,0,0,2,0,0,0,0,0
68,1765895510196,0,0,2,0,0,0,0,0
69,1765895510729,0,0,2,0,0,0,0,0
70,1765895511262,0,0,2,0,0,0,0,0
71,1765895511845,0,0,2,0,0,0,0,0
72,1765895512410,0,0,2,0,0,0,0,0
73,1765895512960,0,0,2,0,0,0,0,0
74,1765895513543,0,0,2,0,0,0,0,0
75,1765895517423,0,0,2,0,0,0,0,0
76,1765895517906,0,0,2,0,0,0,0,0
77,1765895518422,0,0,2,0,0,0,0,0
78,1765895520355,0,0,2,0,0,0,0,0
79,1765895520904,0,0,2,0,0,0,0,0
80,1765895521404,0,0,2,0,0,0,0,0
81,1765895521887,0,0,2,0,0,0,0,0
82,1765895522436,0,0,2,0,0,0,0,0
83,1765895522986,0,0,2,0,0,0,0,0
84,1765895524667,0,0,2,0,0,0,0,0
85,1765895527398,0,0,2,0,0,0,0,0
86,1765895529030,0,0,2,0,0,0,0,0
87,1765895529596,0,0,2,0,0,0,0,0
88,1765895530146,0,0,2,0,0,0,0,0
89,1765895532677,0,0,2,0,0,0,0,0
90,1765895533213,0,0,2,0,0,0,0,0
91,1765895533727,0,0,2,0,0,0,0,0
92,1765895534292,0,0,2,0,0,0,0,0
93,1765895534776,0,0,2,0,0,0,0,0
94,1765895535325,0,0,2,0,0,0,0,0
95,1765895539721,0,0,2,0,0,0,0,0
96,1765895540271,0,0,2,0,0,0,0,0
97,1765895540821,0,0,2,0,0,0,0,0
98,1765895541903,0,16384,194,0,0,0,0,0
99,1765895543019,0,0,2,0,0,0,0,0
100,1765895544684,0,0,2,0,0,0,0,0
101,1765895547199,0,0,2,0,0,0,0,0
102,1765895547715,0,0,2,0,0,0,0,0
103,1765895548231,0,0,2,0,0,0,0,0
104,1765895550729,0,0,2,0,0,0,0,0
105,1765895555142,0,0,2,0,0,0,0,0
106,1765895555691,0,0,2,0,0,0,0,0
107,1765895558655,0,0,2,0,0,0,0,0
108,1765895559172,0,0,2,0,0,0,0,0
109,1765895562203,0,0,2,0,0,0,0,0
110,1765895562703,0,0,2,0,0,0,0,0
111,1765895564685,0,0,2,0,0,0,0,0
112,1765895565750,0,0,2,0,0,0,0,0
113,1765895566317,0,0,2,0,0,0,0,0
114,1765895567466,0,0,2,0,0,0,0,0
115,1765895568016,0,0,2,0,0,0,0,0
116,1765895568565,0,0,2,0,0,0,0,0
117,1765895569269,0,0,2,0,0,0,0,0
