index,date,ENERGY,OVERLOAD,TEMPERATURE_1,TEMPERATURE_2,1,2,3,4
0,1765895459523,0,0,0,0,0,0,0,0
1,1765895459737,0,0,0,0,0,0,0,0
2,1765895459971,0,0,0,0,0,0,0,0
3,1765895460187,0,0,0,0,0,0,0,0
4,1765895461187,0,0,0,0,0,0,0,0
5,1765895461685,0,0,0,0,0,0,0,0
6,1765895462219,0,0,0,0,0,0,0,0
7,1765895462768,0,0,0,0,0,0,0,0
8,1765895463319,0,0,0,0,0,0,0,0
9,1765895463851,0,0,0,0,0,0,0,0
10,1765895464367,0,0,0,0,0,0,0,0
11,1765895464916,0,0,0,0,0,0,0,0
12,1765895466049,0,0,0,0,0,0,0,0
13,1765895466598,0,0,0,0,0,0,0,0
14,1765895467148,0,0,0,0,0,0,0,0
15,1765895467714,0,0,0,0,0,0,0,0
16,1765895468231,0,0,0,0,0,0,0,0
17,1765895470246,0,0,0,0,0,0,0,0
18,1765895470728,0,0,0,0,0,0,0,0
19,1765895471245,0,0,0,0,0,0,0,0
20,1765895471762,0,0,0,0,0,0,0,0
21,1765895472844,0,0,0,0,0,0,0,0
22,1765895478140,0,0,0,0,0,0,0,0
23,1765895478722,0,0,0,0,0,0,0,0
24,1765895479221,0,0,0,0,0,0,0,0
25,1765895479754,0,0,0,0,0,0,0,0
26,1765895480770,0,0,0,0,0,0,0,0
27,1765895481686,0,0,0,0,0,0,0,0
28,1765895482202,0,0,0,0,0,0,0,0
29,1765895482718,0,0,0,0,0,0,0,0
30,1765895483267,0,0,0,0,0,0,0,0
31,1765895483750,0,0,0,0,0,0,0,0
32,1765895484317,0,0,0,0,0,0,0,0
33,1765895484850,0,0,0,0,0,0,0,0
34,1765895485416,0,0,0,0,0,0,0,0
35,1765895485982,0,0,0,0,0,0,0,0
36,1765895487948,0,0,0,0,0,0,0,0
37,1765895488463,0,0,0,0,0,0,0,0
38,1765895489046,0,0,0,0,0,0,0,0
39,1765895490695,0,0,7,0,0,0,0,0
40,1765895491211,0,0,49,0,0,0,0,0
41,1765895491660,0,0,49,0,0,0,0,0
42,1765895492576,0,0,49,0,0,0,0,0
43,1765895493109,0,0,83,0,0,0,0,0
44,1765895493609,0,0,83,0,0,0,0,0
45,1765895494075,0,0,83,0,0,0,0,0
46,1765895494658,0,0,83,0,0,0,0,0
47,1765895495208,0,0,110,0,0,0,0,0
48,1765895495741,0,0,110,0,0,0,0,0
49,1765895496290,0,0,110,0,0,0,0,0
50,1765895496824,0,0,110,0,0,0,0,0
51,1765895500469,0,0,150,0,0,0,0,0
52,1765895501019,0,0,150,0,0,0,0,0
53,1765895501537,0,0,165,0,0,0,0,0
54,1765895502053,0,0,165,0,0,0,0,0
55,1765895502652,0,0,165,0,0,0,0,0
56,1765895503184,0,0,177,0,0,0,0,0
57,1765895503685,0,0,177,0,0,0,0,0
58,1765895505100,0,0,186,0,0,0,0,0
59,1765895505648,0,0,186,0,0,0,0,0
60,1765895506132,0,0,186,0,0,0,0,0
61,1765895506632,0,0,186,0,0,0,0,0
62,1765895508065,0,0,194,0,0,0,0,0
63,1765895509180,0,0,200,0,0,0,0,0
64,1765895509780,0,0,200,0,0,0,0,0
65,1765895510279,0,0,200,0,0,0,0,0
66,1765895510813,0,0,200,0,0,0,0,0
67,1765895511378,0,0,205,0,0,0,0,0
68,1765895514344,0,0,211,0,0,0,0,0
69,1765895514875,0,0,211,0,0,0,0,0
70,1765895515424,0,0,217,0,0,0,0,0
71,1765895517075,0,0,223,0,0,0,0,0
72,1765895517972,0,0,223,0,0,0,0,0
73,1765895518490,0,0,223,0,0,0,0,0
74,1765895518989,0,0,223,0,0,0,0,0
75,1765895519538,0,0,227,0,0,0,0,0
76,1765895521471,0,0,231,0,0,0,0,0
77,1765895522536,0,0,231,0,0,0,0,0
78,1765895523118,0,0,235,0,0,0,0,0
79,1765895523652,0,0,235,0,0,0,0,0
80,1765895524167,0,0,235,0,0,0,0,0
81,1765895524735,0,0,235,0,0,0,0,0
82,1765895525250,0,0,239,0,0,0,0,0
83,1765895525800,0,0,239,0,0,0,0,0
84,1765895526365,0,0,239,0,0,0,0,0
85,1765895526881,0,0,239,0,0,0,0,0
86,1765895527465,0,0,243,0,0,0,0,0
87,1765895528015,0,0,243,27136,0,0,0,0
88,1765895528580,0,0,243,0,0,0,0,0
89,1765895529113,0,0,245,0,0,0,0,0
90,1765895529663,0,0,245,0,0,0,0,0
91,1765895530246,0,0,245,0,0,0,0,0
92,1765895530796,0,0,245,0,0,0,0,0
93,1765895531346,0,0,247,0,0,0,0,0
94,1765895534908,0,0,249,0,0,0,0,0
95,1765895535393,0,0,251,0,0,0,0,0
96,1765895535907,0,0,251,0,0,0,0,0
97,1765895536457,0,0,251,0,0,0,0,0
98,1765895537590,0,0,253,0,0,0,0,0
99,1765895538139,0,0,253,0,0,0,0,0
100,1765895538688,0,0,253,0,0,0,0,0
101,1765895539804,0,0,255,0,0,0,0,0
102,1765895540355,0,0,255,0,0,0,0,0
103,1765895540904,0,0,255,0,0,0,0,0
104,1765895541437,0,0,257,0,0,0,0,0
105,1765895542020,0,0,257,0,0,0,0,0
106,1765895542570,0,0,257,0,0,0,0,0
107,1765895543135,0,0,259,0,0,0,0,0
108,1765895543619,0,0,259,0,0,0,0,0
109,1765895544169,0,0,259,0,0,0,0,0
110,1765895544752,0,0,259,0,0,0,0,0
111,1765895545834,0,0,261,0,0,0,0,0
112,1765895546367,0,0,261,0,0,0,0,0
113,1765895546915,0,0,261,0,0,0,0,0
114,1765895547798,0,0,263,0,0,0,0,0
115,1765895548332,0,0,263,0,0,0,0,0
116,1765895548830,0,0,263,0,0,0,0,0
117,1765895549364,0,0,265,0,0,0,0,0
118,1765895549880,0,0,265,0,0,0,0,0
119,1765895550397,0,0,265,0,0,0,0,0
120,1765895550945,0,0,265,0,0,0,0,0
121,1765895551512,0,0,267,0,0,0,0,0
122,1765895552078,0,0,267,0,0,0,0,0
123,1765895552595,0,0,267,0,0,0,0,0
124,1765895553178,0,0,269,0,0,0,0,0
125,1765895555359,0,0,270,0,0,0,0,0
126,1765895555891,0,0,270,0,0,0,0,0
127,1765895556648,0,0,270,0,0,0,0,0
128,1765895557041,0,0,272,0,0,0,0,0
129,1765895558173,0,0,272,0,0,0,0,0
130,1765895558738,0,0,282,0,0,0,0,0
131,1765895559789,0,0,273,0,0,0,0,0
132,1765895560838,0,0,273,0,0,0,0,0
133,1765895562286,0,0,273,0,0,0,0,0
134,1765895562785,0,0,273,0,0,0,0,0
135,1765895564385,0,0,275,0,0,0,0,0
136,1765895567118,0,0,277,0,0,0,0,0
137,1765895568215,0,0,277,0,0,0,0,0
138,1765895568780,0,0,277,0,0,0,0,0
139,1765895570964,0,0,278,0,0,0,0,0
140,1765895572095,0,0,279,0,0,0,0,0
141,1765895573543,0,0,280,0,0,0,0,0
142,1765895575175,0,0,281,0,0,0,0,0
143,1765895575658,0,0,281,0,0,0,0,0
144,1765895577041,0,0,281,0,0,0,0,0
145,1765895578158,0,0,282,0,0,0,0,0
146,1765895578691,0,0,282,0,0,0,0,0
147,1765895579207,0,0,283,0,0,0,0,0
148,1765895580905,0,0,283,0,0,0,0,0
149,1765895581473,0,0,285,0,0,0,0,0
150,1765895583287,0,0,286,0,0,0,0,0
151,1765895583868,0,0,286,0,0,0,0,0
152,1765895584384,0,0,286,0,0,0,0,0
153,1765895585501,0,0,286,0,0,0,0,0
154,1765895586035,0,0,286,0,0,0,0,0
155,1765895586584,0,0,286,0,0,0,0,0
156,1765895587499,0,0,287,0,0,0,0,0
157,1765895588048,0,0,287,0,0,0,0,0
158,1765895588531,0,0,287,0,0,0,0,0
159,1765895589031,0,0,287,0,0,0,0,0
160,1765895590463,0,0,289,0,0,0,0,0
161,1765895590964,0,0,289,0,0,0,0,0
162,1765895591513,0,0,289,0,0,0,0,0
163,1765895592045,0,0,289,0,0,0,0,0
164,1765895592595,0,0,289,0,0,0,0,0
165,1765895593179,0,0,290,0,0,0,0,0
166,1765895593729,0,0,290,0,0,0,0,0
167,1765895594243,0,0,290,0,0,0,0,0
168,1765895594776,0,0,290,0,0,0,0,0
169,1765895596374,0,0,291,0,0,0,0,0
170,1765895597857,0,0,293,0,0,0,0,0
171,1765895600573,0,0,294,0,0,0,0,0
172,1765895601104,0,0,294,0,0,0,0,0
173,1765895601637,0,0,295,0,0,0,0,0
174,1765895602205,0,0,295,0,0,0,0,0
175,1765895602736,0,0,303,0,0,0,0,0
176,1765895603252,0,0,296,0,0,0,0,0
177,1765895603943,0,0,296,0,0,0,0,0
178,1765895604318,16384,0,296,0,0,0,0,0
179,1765895605949,2560,0,297,0,0,0,0,0
180,1765895607032,0,0,297,0,0,0,0,0
181,1765895608698,0,0,297,0,0,0,0,0
182,1765895609264,0,0,299,0,0,0,0,0
183,1765895611447,0,0,299,0,0,0,0,0
184,1765895612046,0,0,299,0,0,0,0,0
185,1765895612611,0,0,299,0,0,0,0,0
186,1765895613143,0,0,299,0,0,0,0,0
187,1765895613644,0,0,299,0,0,0,0,0
188,1765895615659,0,0,299,0,0,0,0,0
189,1765895616658,0,0,299,0,0,0,0,0
190,1765895618840,0,0,299,0,0,0,0,0
191,1765895619389,0,0,299,0,0,0,0,0
192,1765895619939,0,0,299,0,0,0,0,0
193,1765895620489,0,0,299,0,0,0,0,0
194,1765895621055,0,0,299,0,0,0,0,0
195,1765895621587,0,0,299,0,0,0,0,0
196,1765895622171,0,0,299,0,0,0,0,0
197,1765895622688,0,0,299,0,0,0,0,0
198,1765895623303,0,0,299,0,0,0,0,0
199,1765895624402,0,0,299,0,0,0,0,0
200,1765895624918,0,0,283,3,0,0,0,0
201,1765895626567,0,0,299,0,0,0,0,0
202,1765895627746,0,0,299,0,0,0,0,0
203,1765895629614,0,0,299,0,0,0,0,0
204,1765895630096,0,0,299,0,0,0,0,0
205,1765895630646,0,0,299,0,0,0,0,0
206,1765895631179,0,0,299,0,0,0,0,0
207,1765895632278,0,0,299,0,0,0,0,0
208,1765895633911,0,0,299,48,0,0,0,0
209,1765895637190,0,0,299,0,0,0,0,0
210,1765895638623,0,0,299,43520,0,0,0,0
211,1765895639139,0,0,299,0,0,0,0,0
212,1765895639673,0,0,299,0,0,0,0,0
213,1765895640155,0,0,299,0,0,0,0,0
214,1765895641637,0,0,298,0,0,0,0,0
215,1765895642119,0,0,298,0,0,0,0,0
216,1765895643136,0,0,297,0,0,0,0,0
217,1765895645131,0,0,297,0,0,0,0,0
218,1765895645663,0,0,297,0,0,0,0,0
219,1765895646164,0,0,297,0,0,0,0,0
220,1765895646779,0,0,297,0,0,0,0,0
221,1765895647313,0,0,297,0,0,0,0,0
222,1765895647814,0,0,297,0,0,0,0,0
223,1765895648345,0,0,297,0,0,0,0,0
224,1765895648911,0,0,297,0,0,0,0,0
225,1765895649511,0,0,297,0,0,0,0,0
226,1765895650077,0,0,297,0,0,0,0,0
227,1765895651193,0,0,297,0,0,0,0,0
228,1765895651743,0,0,297,0,0,0,0,0
229,1765895652498,0,0,297,0,0,0,0,0
230,1765895653940,0,0,297,0,0,0,0,0
231,1765895654473,0,0,297,0,0,0,0,0
232,1765895655006,0,0,297,0,0,0,0,0
233,1765895655507,0,0,296,0,0,0,0,0
234,1765895657472,0,0,296,0,0,0,0,0
235,1765895657954,0,0,296,0,0,0,0,0
236,1765895658470,0,0,296,0,0,0,0,0
237,1765895659087,0,0,296,0,0,0,0,0
238,1765895659603,0,0,296,0,0,0,0,0
239,1765895660151,0,0,296,0,0,0,0,0
240,1765895660702,0,0,296,0,0,0,0,0
241,1765895661267,0,0,296,0,0,0,0,0
242,1765895661785,0,0,296,0,0,0,0,0
243,1765895662299,0,0,296,0,0,0,0,0
244,1765895664501,0,0,296,0,0,0,0,0
245,1765895665049,0,0,296,0,0,0,0,0
246,1765895665631,0,25088,25423,6,0,0,0,0
247,1765895666166,0,0,296,0,0,0,0,0
248,1765895667799,0,0,296,0,0,0,0,0
249,1765895668679,0,0,296,0,0,0,0,0
250,1765895669181,0,0,296,0,0,0,0,0
251,1765895669680,0,0,296,0,0,0,0,0
252,1765895670196,0,0,296,0,0,0,0,0
253,1765895671597,0,0,296,0,0,0,0,0
254,1765895672191,0,0,296,0,0,0,0,0
255,1765895672741,0,0,296,0,0,0,0,0
256,1765895673857,0,0,296,0,0,0,0,0
257,1765895680984,0,0,296,0,0,0,0,0
258,1765895681517,0,0,296,0,0,0,0,0
259,1765895682553,0,0,296,0,0,0,0,0
260,1765895687166,0,0,296,0,0,0,0,0
261,1765895687716,0,0,296,0,0,0,0,0
262,1765895688314,0,0,296,0,0,0,0,0
263,1765895688881,0,0,296,0,0,0,0,0
264,1765895689448,0,0,296,0,0,0,0,0
265,1765895690514,0,0,296,0,0,0,0,0
266,1765895691180,0,0,296,0,0,0,0,0
267,1765895691579,0,0,296,0,0,0,0,0
268,1765895692147,0,0,296,0,0,0,0,0
269,1765895692730,0,0,296,0,0,0,0,0
270,1765895693311,0,0,296,0,0,0,0,0
271,1765895693843,0,0,296,0,0,0,0,0
272,1765895694343,0,0,296,0,0,0,0,0
273,1765895694876,0,0,296,0,0,0,0,0
274,1765895695376,0,0,296,0,0,0,0,0
275,1765895697341,0,0,295,0,0,0,0,0
276,1765895697840,0,0,295,0,0,0,0,0
277,1765895698905,0,0,295,0,0,0,0,0
278,1765895699439,0,0,294,0,0,0,0,0
279,1765895699988,0,0,294,0,0,0,0,0
280,1765895700554,0,0,294,0,0,0,0,0
281,1765895701637,0,0,294,0,0,0,0,0
282,1765895704401,0,0,294,0,0,0,0,0
283,1765895707132,0,0,294,0,0,0,0,0
284,1765895708031,0,0,294,0,0,0,0,0
285,1765895708582,0,0,294,0,0,0,0,0
286,1765895709615,0,0,294,0,0,0,0,0
287,1765895710114,0,0,294,0,0,0,0,0
288,1765895711562,0,0,294,0,0,0,0,0
289,1765895712060,0,0,294,0,0,0,0,0
290,1765895712560,0,0,294,0,0,0,0,0
291,1765895713144,0,0,294,0,0,0,0,0
292,1765895713693,0,0,294,0,0,0,0,0
293,1765895714245,0,0,294,0,0,0,0,0
294,1765895714743,0,0,294,0,0,0,0,0
295,1765895715293,0,0,294,0,0,0,0,0
296,1765895716376,0,0,294,0,0,0,0,0
297,1765895718040,0,0,294,0,0,0,0,0
298,1765895720239,0,36864,294,0,0,0,0,0
299,1765895721687,0,0,294,0,0,0,0,0
300,1765895722203,0,0,294,0,0,0,0,0
301,1765895723253,0,0,294,0,0,0,0,0
302,1765895724668,0,0,294,0,0,0,0,0
303,1765895725234,0,0,294,0,0,0,0,0
304,1765895725750,0,0,294,0,0,0,0,0
305,1765895727394,0,0,294,0,0,0,0,0
306,1765895727913,0,0,294,0,0,0,0,0
307,1765895728462,0,0,294,0,0,0,0,0
308,1765895729060,0,0,294,0,0,0,0,0
309,1765895729560,0,0,294,0,0,0,0,0
310,1765895730108,0,0,294,0,0,0,0,0
311,1765895730643,0,0,294,0,0,0,0,0
312,1765895731792,0,0,294,0,0,0,0,0
313,1765895733406,0,0,294,0,0,0,0,0
314,1765895733989,0,0,294,0,0,0,0,0
