index,date,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,1765902279375,3902,7400,-424,0,0,0,0,0
1,1765902279809,439,7738,-578,0,0,0,0,0
2,1765902280102,-2014,7920,-318,0,0,0,0,0
3,1765902280607,-2208,7134,-334,0,0,0,0,0
4,1765902280815,-1402,10824,-1338,0,0,0,0,0
5,1765902281279,-54,7954,-700,0,0,0,0,0
6,1765902281760,2137,7260,-1272,0,0,0,0,0
7,1765902282144,2632,8368,-1467,0,0,0,0,0
8,1765902282287,2954,8972,-1420,0,0,0,0,0
9,1765902282750,4472,9387,-1004,0,0,0,0,0
10,1765902283481,4405,12068,-2257,0,0,0,0,0
11,1765902283531,3718,7690,-1728,0,0,0,0,0
12,1765902284763,4179,8830,-1400,0,0,0,0,0
13,1765902286346,-2541,7796,-208,0,0,0,0,0
14,1765902290171,-1870,6953,-5203,0,0,0,0,0
15,1765902290909,159,7668,-220,0,0,0,0,0
16,1765902291376,-349,7725,-374,0,0,0,0,0
17,1765902292941,-283,8348,-435,0,0,0,0,0
18,1765902293424,-297,8334,-457,0,0,0,0,0
19,1765902293674,-317,8367,-534,0,0,0,0,0
20,1765902294123,-383,8365,-636,0,0,0,0,0
21,1765902294491,-86,8021,72,0,0,0,0,0
22,1765902294740,208,8373,82,0,0,0,0,0
23,1765902295223,-208,8172,110,0,0,0,0,0
24,1765902296987,-544,8431,-187,0,0,0,0,0
25,1765902297621,364,8246,-148,0,0,0,0,0
26,1765902297920,498,8705,-223,0,0,0,0,0
27,1765902300485,-171,7940,-2614,0,0,0,0,0
28,1765902301368,-626,8089,-2557,0,0,0,0,0
29,1765902302233,-394,8296,-593,0,0,0,0,0
30,1765902302484,-402,8418,-660,0,0,0,0,0
31,1765902302666,-404,8338,-554,0,0,0,0,0
32,1765902303066,-392,8339,-365,0,0,0,0,0
33,1765902303117,-406,8353,-457,0,0,0,0,0
34,1765902303450,-361,8343,-584,0,0,0,0,0
35,1765902303699,-362,8355,-484,0,0,0,0,0
36,1765902303915,-390,8344,-546,0,0,0,0,0
37,1765902304015,-380,8335,-564,0,0,0,0,0
38,1765902304599,-381,8317,-532,0,0,0,0,0
39,1765902304931,-377,8343,-530,0,0,0,0,0
40,1765902306013,-374,8344,-528,0,0,0,0,0
41,1765902306280,-390,8334,-518,0,0,0,0,0
42,1765902306330,-356,8334,-528,0,0,0,0,0
43,1765902306779,-358,8337,-521,0,0,0,0,0
44,1765902307046,-364,8329,-516,0,0,0,0,0
45,1765902307396,-373,8350,-518,0,0,0,0,0
46,1765902307845,-369,8342,-523,0,0,0,0,0
47,1765902308345,-386,8354,-525,0,0,0,0,0
48,1765902309094,-384,8315,-604,0,0,0,0,0
49,1765902310942,-277,8332,-607,0,0,0,0,0
50,1765902311759,-237,8427,-583,0,0,0,0,0
51,1765902312075,-239,8092,-696,0,0,0,0,0
52,1765902315855,-439,8404,-262,0,0,0,0,0
53,1765902316738,-403,8422,-216,0,0,0,0,0
54,1765902319169,520,8817,161,0,0,0,0,0
55,1765902320218,-266,8404,-162,0,0,0,0,0
56,1765902320368,130,8113,80,0,0,0,0,0
57,1765902320601,-467,8576,-319,0,0,0,0,0
58,1765902320834,-301,7645,-903,0,0,0,0,0
59,1765902321917,-131,8307,-803,0,0,0,0,0
60,1765902323533,282,8363,-1114,0,0,0,0,0
61,1765902325930,868,8351,653,0,0,0,0,0
62,1765902326979,802,7897,650,0,0,0,0,0
63,1765902328844,-861,7984,112,0,0,0,0,0
64,1765902328995,-1106,9564,-500,0,0,0,0,0
65,1765902329544,-1882,9969,-476,0,0,0,0,0
66,1765902330743,-2192,8998,-94,0,0,0,0,0
67,1765902331060,-2750,7785,-596,0,0,0,0,0
68,1765902331193,-2779,8738,-276,0,0,0,0,0
69,1765902331493,-1820,9128,-52,0,0,0,0,0
70,1765902331676,-1962,8404,477,0,0,0,0,0
71,1765902331876,-1315,7941,384,0,0,0,0,0
72,1765902332325,-1186,8031,498,0,0,0,0,0
73,1765902332575,-683,8013,777,0,0,0,0,0
74,1765902332642,-550,8285,890,0,0,0,0,0
75,1765902332925,70,7733,101,0,0,0,0,0
76,1765902333175,-119,7361,153,0,0,0,0,0
77,1765902333541,-814,8121,-188,0,0,0,0,0
78,1765902333591,-307,7009,444,0,0,0,0,0
79,1765902334491,-802,8226,-223,0,0,0,0,0
80,1765902334757,-799,8026,-540,0,0,0,0,0
81,1765902338137,-1841,7647,-899,0,0,0,0,0
82,1765902338170,-2264,6691,-830,0,0,0,0,0
83,1765902338420,-1496,8527,-952,0,0,0,0,0
84,1765902341035,-3548,8921,-539,0,0,0,0,0
85,1765902345814,-897,9765,498,0,0,0,0,0
86,1765902348779,-328,7745,-38,0,0,0,0,0
87,1765902350394,-828,7442,-1037,0,0,0,0,0
88,1765902351260,-1030,7718,-3129,0,0,0,0,0
89,1765902351493,-483,8699,-1212,0,0,0,0,0
90,1765902351909,-4383,8271,-1887,0,0,0,0,0
91,1765902352126,-4967,7024,-1137,0,0,0,0,0
92,1765902352692,3551,8197,-867,0,0,0,0,0
93,1765902355490,2278,6995,-930,0,0,0,0,0
94,1765902357921,-5390,8213,-384,0,0,0,0,0
95,1765902358386,-4222,7925,-699,0,0,0,0,0
96,1765902359153,-4730,8748,-1040,0,0,0,0,0
97,1765902359635,-7084,9818,-1713,0,0,0,0,0
98,1765902360902,-3852,7826,1383,0,0,0,0,0
99,1765902361416,-192,10229,841,0,0,0,0,0
100,1765902361934,1716,8266,-927,0,0,0,0,0
101,1765902363267,-4893,7896,-95,0,0,0,0,0
102,1765902363350,-5126,8254,-832,0,0,0,0,0
103,1765902364232,4999,8700,-1871,0,0,0,0,0
104,1765902364499,4206,8683,-1174,0,0,0,0,0
105,1765902364832,1258,8050,-1259,0,0,0,0,0
106,1765902364881,-96,7836,-1204,0,0,0,0,0
107,1765902365031,-2430,7991,-622,0,0,0,0,0
108,1765902365831,-1488,8043,-336,0,0,0,0,0
109,1765902366130,-514,8889,-655,0,0,0,0,0
110,1765902368413,4490,7701,-692,0,0,0,0,0
111,1765902368697,3755,7591,-1111,0,0,0,0,0
112,1765902369562,-326,7323,-821,0,0,0,0,0
113,1765902374025,604,9192,-306,0,0,0,0,0
114,1765902374909,-189,8813,-1158,0,0,0,0,0
115,1765902376091,-2279,7858,-1270,0,0,0,0,0
116,1765902377755,-3586,9196,281,0,0,0,0,0
117,1765902378687,-4226,9112,293,0,0,0,0,0
118,1765902379720,-2600,8090,-560,0,0,0,0,0
119,1765902379804,-3130,9262,-1037,0,0,0,0,0
120,1765902380071,-2570,7988,-464,0,0,0,0,0
121,1765902383533,-1778,8117,-205,0,0,0,0,0
122,1765902384400,-1718,7364,528,0,0,0,0,0
123,1765902386114,-1231,8472,-304,0,0,0,0,0
124,1765902387380,-1833,6958,-3466,0,0,0,0,0
125,1765902387696,-5312,7304,-1476,0,0,0,0,0
126,1765902387995,-6944,8158,-1162,0,0,0,0,0
127,1765902388947,-2726,9362,-1354,0,0,0,0,0
128,1765902389079,-4483,7015,-957,0,0,0,0,0
129,1765902389262,-7002,8206,-1422,0,0,0,0,0
130,1765902389528,-5938,10955,-819,0,0,0,0,0
131,1765902389628,-4205,7822,-1016,0,0,0,0,0
132,1765902390045,-5920,22470,-18472,0,0,0,0,0
133,1765902395674,-583,5216,102,0,0,0,0,0
134,1765902399886,-6547,7762,-832,0,0,0,0,0
135,1765902404815,-6180,8805,-661,0,0,0,0,0
136,1765902408012,-6226,7575,-348,0,0,0,0,0
137,1765902408279,-5156,8007,206,0,0,0,0,0
138,1765902408332,-5562,8296,374,0,0,0,0,0
139,1765902410727,-5380,6760,-987,0,0,0,0,0
140,1765902411142,-4396,8892,-741,0,0,0,0,0
141,1765902411776,711,10352,-2844,0,0,0,0,0
142,1765902412842,3593,8823,-1157,0,0,0,0,0
143,1765902413791,6154,11851,-2766,0,0,0,0,0
144,1765902414973,4922,9258,-882,0,0,0,0,0
145,1765902415289,6139,8283,-955,0,0,0,0,0
146,1765902415540,5580,8638,-942,0,0,0,0,0
147,1765902415673,1634,8316,-790,0,0,0,0,0
148,1765902416128,-1847,9186,-712,0,0,0,0,0
149,1765902416255,-2384,8509,-1077,0,0,0,0,0
150,1765902416355,-2206,7329,-745,0,0,0,0,0
151,1765902416672,911,8079,128,0,0,0,0,0
152,1765902417038,6299,9694,-311,0,0,0,0,0
153,1765902417172,7286,10289,203,0,0,0,0,0
154,1765902417404,6653,8333,-2167,0,0,0,0,0
155,1765902417938,-6183,9279,-2519,0,0,0,0,0
156,1765902418221,-5326,8049,-854,0,0,0,0,0
157,1765902419153,-3630,8116,-801,0,0,0,0,0
158,1765902420585,-1846,9190,-795,0,0,0,0,0
159,1765902421650,-1991,8702,170,0,0,0,0,0
160,1765902421767,-1370,8252,52,0,0,0,0,0
161,1765902422084,-2092,8527,-576,0,0,0,0,0
162,1765902422216,-1130,7174,-325,0,0,0,0,0
163,1765902422501,-2023,8021,-808,0,0,0,0,0
164,1765902422616,-1286,10332,-1000,0,0,0,0,0
165,1765902422750,-2454,8205,654,0,0,0,0,0
