index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2,TORQUE_REF_RIGHT_MOTOR,TORQUE_REF_LEFT_MOTOR,1,2,3,4
0,1765902279472,0,5,281,281,0,0,0,0
1,1765902279708,0,5,282,282,0,0,0,0
2,1765902279772,0,5,280,280,0,0,0,0
3,1765902280053,0,5,259,259,0,0,0,0
4,1765902280335,0,5,0,0,0,0,0,0
5,1765902280559,0,5,0,48,0,0,0,0
6,1765902280991,0,5,0,0,0,0,0,0
7,1765902281679,0,5,0,0,0,0,0,0
8,1765902282207,0,5,0,0,0,0,0,0
9,1765902282786,0,5,0,0,0,0,0,0
10,1765902284530,0,5,461,461,0,0,0,0
11,1765902285164,0,5,583,583,0,0,0,0
12,1765902286146,0,5,488,488,0,0,0,0
13,1765902287312,0,5,425,425,0,0,0,0
14,1765902287446,0,5,535,535,0,0,0,0
15,1765902288095,0,5,444,444,0,0,0,0
16,1765902288178,0,5,345,345,0,0,0,0
17,1765902288361,0,5,378,378,0,0,0,0
18,1765902289077,0,5,378,378,0,0,0,0
19,1765902289194,0,5,321,321,0,0,0,0
20,1765902291843,0,5,0,0,0,0,0,0
21,1765902291959,0,5,0,0,0,0,0,0
22,1765902293307,2,5,838,838,0,0,0,0
23,1765902293857,0,5,712,712,0,0,0,0
24,1765902294056,0,5,712,712,0,0,0,0
25,1765902295755,0,5,559,559,0,0,0,0
26,1765902297321,0,5,379,379,0,0,0,0
27,1765902297437,0,5,388,388,0,0,0,0
28,1765902297654,0,5,389,389,0,0,0,0
29,1765902297954,0,5,376,376,0,0,0,0
30,1765902298169,0,5,372,372,0,0,0,0
31,1765902298287,0,5,375,375,0,0,0,0
32,1765902299803,0,5,450,450,0,0,0,0
33,1765902299936,0,5,448,448,0,0,0,0
34,1765902300784,0,5,0,0,0,0,0,0
35,1765902301384,0,5,0,0,0,0,0,0
36,1765902301650,0,5,0,0,0,0,0,0
37,1765902301783,0,5,0,0,0,0,0,0
38,1765902302183,0,5,0,0,0,0,0,0
39,1765902302449,0,5,0,0,0,0,0,0
40,1765902302733,0,5,0,0,0,0,0,0
41,1765902302983,0,5,0,0,0,0,0,0
42,1765902303516,0,5,0,0,0,0,0,0
43,1765902304099,0,5,0,0,0,0,0,0
44,1765902304665,0,5,0,0,0,0,0,0
45,1765902305097,0,5,0,0,0,0,0,0
46,1765902305864,0,5,0,0,0,0,0,0
47,1765902306630,0,5,0,0,0,0,0,0
48,1765902306929,0,5,0,0,0,0,0,0
49,1765902307446,0,5,0,0,0,0,0,0
50,1765902307995,0,5,0,0,0,0,0,0
51,1765902308111,0,5,0,0,0,0,0,0
52,1765902308795,0,5,0,0,0,0,0,0
53,1765902309927,0,5,0,0,0,0,0,0
54,1765902310626,0,5,0,0,0,0,0,0
55,1765902310759,0,5,0,0,0,0,0,0
56,1765902312574,0,5,0,0,0,0,0,0
57,1765902313258,0,5,0,0,0,0,0,0
58,1765902313374,0,5,0,0,0,0,0,0
59,1765902314040,0,5,0,0,0,0,0,0
60,1765902316039,0,5,337,337,0,0,0,0
61,1765902316671,0,5,846,846,0,0,0,0
62,1765902316972,2,5,846,846,0,0,0,0
63,1765902317787,0,5,847,847,0,0,0,0
64,1765902319303,0,5,614,614,0,0,0,0
65,1765902319470,0,5,516,516,0,0,0,0
66,1765902319602,0,5,433,433,0,0,0,0
67,1765902319819,0,5,498,498,0,0,0,0
68,1765902320102,0,5,516,516,0,0,0,0
69,1765902320384,0,5,443,443,0,0,0,0
70,1765902320601,0,5,174,174,0,0,0,0
71,1765902321068,0,5,123,123,0,0,0,0
72,1765902321967,0,5,0,0,0,0,0,0
73,1765902322366,0,5,221,221,0,0,0,0
74,1765902322500,0,5,435,435,0,0,0,0
75,1765902323199,0,5,699,699,0,0,0,0
76,1765902323999,2,5,846,846,0,0,0,0
77,1765902325098,0,5,1000,1000,0,0,0,0
78,1765902325465,2,5,846,846,0,0,0,0
79,1765902325632,2,5,846,846,0,0,0,0
80,1765902327213,0,15,560,560,0,0,0,0
81,1765902327995,0,5,523,523,0,0,0,0
82,1765902329045,0,5,330,330,0,0,0,0
83,1765902329643,0,5,390,390,0,0,0,0
84,1765902330610,0,5,367,367,0,0,0,0
85,1765902331143,0,5,471,471,0,0,0,0
86,1765902331426,0,5,463,463,0,0,0,0
87,1765902332192,0,28933,50034,21510,0,0,0,0
88,1765902332991,0,5,590,590,0,0,0,0
89,1765902333158,0,5,577,577,0,0,0,0
90,1765902333608,0,5,512,512,0,0,0,0
91,1765902334174,0,5,430,430,0,0,0,0
92,1765902334307,0,5,402,402,0,0,0,0
93,1765902336688,0,5,381,381,0,0,0,0
94,1765902336772,0,5,381,381,0,0,0,0
95,1765902337921,0,5,372,372,0,0,0,0
96,1765902338037,0,5,364,364,0,0,0,0
97,1765902338204,0,5,357,357,0,0,0,0
98,1765902338470,0,5,327,327,0,0,0,0
99,1765902338736,0,5,261,261,0,0,0,0
100,1765902341518,0,5,0,0,0,0,0,0
101,1765902343266,0,5,1000,1000,0,0,0,0
102,1765902343782,2,5,847,847,0,0,0,0
103,1765902344581,2,5,846,8558,0,0,0,0
104,1765902346014,0,5,846,846,0,0,0,0
105,1765902349212,0,5,2711,663,0,0,0,0
106,1765902350743,0,5,0,0,0,0,0,0
107,1765902350860,0,5,0,0,0,0,0,0
108,1765902351760,0,5,0,0,0,0,0,0
109,1765902353141,0,5,102,102,0,0,0,0
110,1765902354323,0,5,844,844,0,0,0,0
111,1765902355090,2,5,846,846,0,0,0,0
112,1765902355939,2,5,845,845,0,0,0,0
113,1765902356039,2,5,845,845,0,0,0,0
114,1765902356838,2,5,847,847,0,0,0,0
115,1765902358986,0,5,150,150,0,0,0,0
116,1765902360352,0,5,246,246,0,0,0,0
117,1765902360452,0,5,355,355,0,0,0,0
118,1765902361085,0,5,578,578,0,0,0,0
119,1765902361735,0,5,473,473,0,0,0,0
120,1765902362467,0,5,0,0,0,0,0,0
121,1765902362616,0,5,182,182,0,0,0,0
122,1765902363333,0,5,0,0,0,0,0,0
123,1765902363400,0,5,0,0,0,0,0,0
124,1765902363833,0,5,236,236,0,0,0,0
125,1765902364099,0,5,293,293,0,0,0,0
126,1765902364898,0,5,426,426,0,0,0,0
127,1765902365098,0,5,474,474,0,0,0,0
128,1765902365381,0,5,457,457,0,0,0,0
129,1765902366846,0,5,0,0,0,0,0,0
130,1765902368213,0,5,298,298,0,0,0,0
131,1765902369395,0,5,0,0,0,0,0,0
132,1765902370580,0,5,0,0,0,0,0,0
133,1765902371927,0,5,323,323,0,0,0,0
134,1765902372793,0,5,699,699,0,0,0,0
135,1765902374041,0,5,123,123,0,0,0,0
136,1765902375373,0,5,393,393,0,0,0,0
137,1765902375473,0,5,589,589,0,0,0,0
138,1765902376157,2,5,847,847,0,0,0,0
139,1765902376806,0,5,847,847,0,0,0,0
140,1765902376923,0,5,846,846,0,0,0,0
141,1765902380802,2,5,846,846,0,0,0,0
142,1765902380919,2,5,847,847,0,0,0,0
143,1765902382484,2,5,846,846,0,0,0,0
144,1765902384049,0,5,1000,1000,0,0,0,0
145,1765902384716,0,5,608,608,0,0,0,0
146,1765902384832,0,5,579,579,0,0,0,0
147,1765902385582,0,5,539,539,0,0,0,0
148,1765902388579,0,5,0,0,0,0,0,0
149,1765902388913,0,5,0,0,0,0,0,0
150,1765902389595,0,5,473,473,0,0,0,0
151,1765902390277,2,5,846,4590,0,0,0,0
152,1765902397655,0,5,140,28,0,0,0,0
153,1765902399488,0,5,216,216,0,0,0,0
154,1765902399870,0,5,294,294,0,0,0,0
155,1765902400119,0,5,399,399,0,0,0,0
156,1765902402084,0,5,423,423,0,0,0,0
