index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
0,1765902278776,2507,339,11,1079,0,0,0,0
1,1765902278776,2522,337,11,1080,0,0,0,0
2,1765902279936,2776,272,10,1057,0,0,0,0
3,1765902280170,2763,278,10,1058,0,0,0,0
4,1765902280671,0,0,0,0,0,0,0,0
5,1765902281760,0,0,0,0,0,0,0,0
6,1765902282335,0,0,0,0,0,0,0,0
7,1765902282494,0,0,0,0,0,0,0,0
8,1765902283148,0,0,0,0,0,0,0,0
9,1765902283282,0,0,0,0,0,0,0,0
10,1765902283947,3,-2,0,8,0,0,0,0
11,1765902284730,1025,-13,0,239,0,0,0,0
12,1765902285630,2192,365,10,1143,0,0,0,0
13,1765902285780,2236,429,13,1144,0,0,0,0
14,1765902285996,2263,470,14,1150,0,0,0,0
15,1765902286296,2269,498,15,1144,0,0,0,0
16,1765902286479,2265,525,16,1133,0,0,0,0
17,1765902288561,2437,448,14,1083,0,0,0,0
18,1765902288695,2368,414,13,1091,0,0,0,0
19,1765902289943,0,0,0,0,0,0,0,0
20,1765902290609,0,0,0,0,0,0,0,0
21,1765902290811,0,0,0,0,0,0,0,0
22,1765902292260,0,0,0,0,0,0,0,0
23,1765902292392,5,-1,0,8,0,0,0,0
24,1765902292591,4,-1,0,8,0,0,0,0
25,1765902292874,2,-2,0,8,0,0,0,0
26,1765902293175,2,-3,0,8,0,0,0,0
27,1765902293391,1502,0,0,391,0,0,0,0
28,1765902293640,1967,4,0,1008,0,0,0,0
29,1765902294156,1230,-1,0,986,0,0,0,0
30,1765902294406,840,198,2,1063,0,0,0,0
31,1765902294589,475,388,2,1044,0,0,0,0
32,1765902296105,250,505,1,990,0,0,0,0
33,1765902296255,290,534,2,1036,0,0,0,0
34,1765902298620,727,401,3,958,0,0,0,0
35,1765902298752,748,396,4,965,0,0,0,0
36,1765902300302,857,435,5,999,0,0,0,0
37,1765902300418,867,414,4,954,0,0,0,0
38,1765902301484,0,0,0,0,0,0,0,0
39,1765902301750,0,0,0,0,0,0,0,0
40,1765902302033,0,0,0,0,0,0,0,0
41,1765902302549,0,0,0,0,0,0,0,0
42,1765902303083,0,0,0,0,0,0,0,0
43,1765902303882,0,0,0,0,0,0,0,0
44,1765902304215,0,0,0,0,0,0,0,0
45,1765902304232,0,0,0,0,0,0,0,0
46,1765902304448,0,0,0,0,0,0,0,0
47,1765902305514,0,0,0,0,0,0,0,0
48,1765902305681,0,0,0,0,0,0,0,0
49,1765902305964,0,0,0,0,0,0,0,0
50,1765902306196,0,0,0,0,0,0,0,0
51,1765902306480,0,0,0,0,0,0,0,0
52,1765902306730,0,0,0,0,0,0,0,0
53,1765902307063,0,0,0,0,0,0,0,0
54,1765902307230,0,0,0,0,0,0,0,0
55,1765902307713,0,0,0,0,0,0,0,0
56,1765902307763,0,0,0,0,0,0,0,0
57,1765902308279,0,0,0,0,0,0,0,0
58,1765902308829,0,0,0,0,0,0,0,0
59,1765902309461,0,0,0,0,0,0,0,0
60,1765902309627,0,0,0,0,0,0,0,0
61,1765902310260,0,0,0,0,0,0,0,0
62,1765902311493,0,0,0,0,0,0,0,0
63,1765902312217,0,0,0,0,0,0,0,0
64,1765902312325,0,0,0,0,0,0,0,0
65,1765902312907,0,0,0,0,0,0,0,0
66,1765902313707,0,0,0,0,0,0,0,0
67,1765902314739,0,0,0,0,0,0,0,0
68,1765902314923,0,0,0,0,0,0,0,0
69,1765902315572,0,0,0,0,0,0,0,0
70,1765902315722,0,0,0,0,0,0,0,0
71,1765902316372,2,0,0,5,0,0,0,0
72,1765902317187,14,4,0,84,0,0,0,0
73,1765902318137,1218,40,0,1010,0,0,0,0
74,1765902318253,719,358,3,1161,0,0,0,0
75,1765902319951,523,544,3,971,0,0,0,0
76,1765902320185,575,527,4,993,0,0,0,0
77,1765902320702,683,506,4,986,0,0,0,0
78,1765902321284,328,194,0,0,0,0,0,0
79,1765902321501,0,0,0,0,0,0,0,0
80,1765902322083,0,0,0,0,0,0,0,0
81,1765902324016,104,690,0,988,0,0,0,0
82,1765902324799,309,752,3,1175,0,0,0,0
83,1765902325949,701,842,8,1257,0,0,0,0
84,1765902326064,793,854,9,1298,0,0,0,0
85,1765902327046,1179,692,11,1113,0,0,0,0
86,1765902327546,1286,654,11,1112,0,0,0,0
87,1765902327663,1324,605,10,1107,0,0,0,0
88,1765902328478,1438,551,10,1097,0,0,0,0
89,1765902329311,1514,418,8,1032,0,0,0,0
90,1765902329410,1524,403,8,1038,0,0,0,0
91,1765902330110,1537,379,7,1052,0,0,0,0
92,1765902330243,1546,382,7,1053,0,0,0,0
93,1765902330409,1556,373,7,1041,0,0,0,0
94,1765902330693,1569,365,7,1043,0,0,0,0
95,1765902331010,1591,359,7,1049,0,0,0,0
96,1765902331226,1620,372,8,1058,0,0,0,0
97,1765902331526,1655,415,9,1093,0,0,0,0
98,1765902332026,1769,446,10,1112,0,0,0,0
99,1765902332275,1817,485,11,1139,0,0,0,0
100,1765902332559,1881,550,14,1164,0,0,0,0
101,1765902333258,2106,579,16,1177,0,0,0,0
102,1765902333392,2160,615,18,1174,0,0,0,0
103,1765902333708,2247,556,17,1131,0,0,0,0
104,1765902334475,2414,483,15,1108,0,0,0,0
105,1765902335023,2502,400,13,1091,0,0,0,0
106,1765902338553,3016,385,15,1114,0,0,0,0
107,1765902340152,0,0,0,0,0,0,0,0
108,1765902340319,0,0,0,0,0,0,0,0
109,1765902341018,0,0,0,0,0,0,0,0
110,1765902342784,241,-15,-24416,27878,0,0,0,0
111,1765902345065,2335,862,27,1308,0,0,0,0
112,1765902346697,3008,849,34,1242,0,0,0,0
113,1765902348745,3537,681,32,1247,0,0,0,0
114,1765902348878,3598,661,32,1250,0,0,0,0
115,1765902349545,3755,719,36,1258,0,0,0,0
