index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
0,1765915244483,0,0,0,0,0,0,0,0
1,1765915244767,0,0,0,0,0,0,0,0
2,1765915245116,0,0,0,0,0,0,0,0
3,1765915245416,0,0,0,0,0,0,0,0
4,1765915245782,0,0,0,0,0,0,0,0
5,1765915246065,0,0,0,0,0,0,0,0
6,1765915246431,0,0,0,0,0,0,0,0
7,1765915246731,0,0,0,0,0,0,0,0
8,1765915247015,0,0,0,0,0,0,0,0
9,1765915247080,0,0,0,0,0,0,0,0
10,1765915247380,0,0,0,0,0,0,0,0
11,1765915247647,0,0,0,0,0,0,0,0
12,1765915247980,0,0,0,0,0,0,0,0
13,1765915248264,0,0,0,0,0,0,0,0
14,1765915248579,0,0,0,0,0,0,0,0
15,1765915248863,0,0,0,0,0,0,0,0
16,1765915249180,0,0,0,0,0,0,0,0
17,1765915249462,0,0,0,0,0,0,0,0
18,1765915249762,0,0,0,0,0,0,0,0
19,1765915249795,0,0,0,0,0,0,0,0
20,1765915250078,0,0,0,0,0,0,0,0
21,1765915250361,0,0,0,0,0,0,0,0
22,1765915250678,0,0,0,0,0,0,0,0
23,1765915250960,0,0,0,0,0,0,0,0
24,1765915251311,0,0,0,0,0,0,0,0
25,1765915251577,0,0,0,0,0,0,0,0
26,1765915251844,0,0,0,0,0,0,0,0
27,1765915251910,0,0,0,0,0,0,0,0
28,1765915252193,0,0,0,0,0,0,0,0
29,1765915252460,0,0,0,0,0,0,0,0
30,1765915252793,0,0,0,0,0,0,0,0
31,1765915253076,0,0,0,0,0,0,0,0
32,1765915253409,0,0,0,0,0,0,0,0
33,1765915253692,0,0,0,0,0,0,0,0
34,1765915254009,0,0,0,0,0,0,0,0
35,1765915254592,0,0,0,0,0,0,0,0
36,1765915254908,0,0,0,0,0,0,0,0
37,1765915255191,0,0,0,0,0,0,0,0
38,1765915255507,0,0,0,0,0,0,0,0
39,1765915255791,0,0,0,0,0,0,0,0
40,1765915256124,0,0,0,0,0,0,0,0
41,1765915256406,0,0,0,0,0,0,0,0
42,1765915256691,0,0,0,0,0,0,0,0
43,1765915256724,0,0,0,0,0,0,0,0
44,1765915257023,0,0,0,0,0,0,0,0
45,1765915257290,0,0,0,0,0,0,0,0
46,1765915257640,0,0,0,0,0,0,0,0
47,1765915257905,0,0,0,0,0,0,0,0
48,1765915258237,0,0,0,0,0,0,0,0
49,1765915258520,0,0,0,0,0,0,0,0
50,1765915258787,0,0,0,0,0,0,0,0
51,1765915258853,0,0,0,0,0,0,0,0
52,1765915259120,0,0,0,0,0,0,0,0
53,1765915259402,0,0,0,0,0,0,0,0
54,1765915259719,0,0,0,0,0,0,0,0
55,1765915259987,0,0,0,0,0,0,0,0
56,1765915260319,0,0,0,0,0,0,0,0
57,1765915260602,0,0,0,0,0,0,0,0
58,1765915260919,0,0,0,0,0,0,0,0
59,1765915261220,0,0,0,0,0,0,0,0
60,1765915261502,0,0,0,0,0,0,0,0
61,1765915261836,0,0,0,0,0,0,0,0
62,1765915262118,0,0,0,0,0,0,0,0
63,1765915262436,0,0,0,0,0,0,0,0
64,1765915262717,0,0,0,0,0,0,0,0
65,1765915263034,0,0,0,0,0,0,0,0
66,1765915263318,0,0,0,0,0,0,0,0
67,1765915263584,0,0,0,0,0,0,0,0
68,1765915263916,0,0,0,0,0,0,0,0
69,1765915264199,0,0,0,0,0,0,0,0
70,1765915264516,0,0,0,0,0,0,0,0
71,1765915264799,0,0,0,0,0,0,0,0
72,1765915265132,0,0,0,0,0,0,0,0
73,1765915265416,0,0,0,0,0,0,0,0
74,1765915265716,0,0,0,0,0,0,0,0
75,1765915265748,0,0,0,0,0,0,0,0
76,1765915266032,0,0,0,0,0,0,0,0
77,1765915266399,0,0,0,0,0,0,0,0
78,1765915266630,0,0,0,0,0,0,0,0
79,1765915266916,0,0,0,0,0,0,0,0
80,1765915267247,0,0,0,0,0,0,0,0
81,1765915267530,0,0,0,0,0,0,0,0
82,1765915267798,0,0,0,0,0,0,0,0
83,1765915267862,0,0,0,0,0,0,0,0
84,1765915269512,0,0,0,0,0,0,0,0
85,1765915269512,0,0,0,0,0,0,0,0
86,1765915269512,0,0,0,0,0,0,0,0
87,1765915269512,0,0,0,0,0,0,0,0
88,1765915269513,0,0,0,0,0,0,0,0
89,1765915269630,0,0,0,0,0,0,0,0
90,1765915269961,0,0,0,0,0,0,0,0
91,1765915270228,0,0,0,0,0,0,0,0
92,1765915270528,0,0,0,0,0,0,0,0
93,1765915270844,0,0,0,0,0,0,0,0
94,1765915271145,0,0,0,0,0,0,0,0
95,1765915271461,0,0,0,0,0,0,0,0
96,1765915271745,0,0,0,0,0,0,0,0
97,1765915272061,0,0,0,0,0,0,0,0
98,1765915272343,0,0,0,0,0,0,0,0
99,1765915272626,0,0,0,0,0,0,0,0
100,1765915272943,0,0,0,0,0,0,0,0
101,1765915273226,0,0,0,0,0,0,0,0
102,1765915273575,0,0,0,0,0,0,0,0
103,1765915273859,0,0,0,0,0,0,0,0
104,1765915275467,0,0,0,0,0,0,0,0
105,1765915275468,0,0,0,0,0,0,0,0
106,1765915275468,0,0,0,0,0,0,0,0
107,1765915275468,0,0,0,0,0,0,0,0
108,1765915275468,0,0,0,0,0,0,0,0
