index,date,ENERGY,OVERLOAD,TEMPERATURE_1,TEMPERATURE_2,1,2,3,4
0,1765915244500,0,0,0,0,0,0,0,0
1,1765915244800,0,0,0,0,0,0,0,0
2,1765915245149,0,0,0,0,0,0,0,0
3,1765915245432,0,0,0,0,0,0,0,0
4,1765915245782,0,0,0,0,0,0,0,0
5,1765915246098,0,0,0,0,0,0,0,0
6,1765915246448,0,0,0,0,0,0,0,0
7,1765915246731,0,0,0,0,0,0,0,0
8,1765915247097,0,0,0,0,0,0,0,0
9,1765915247380,0,0,0,0,0,0,0,0
10,1765915247647,0,0,0,0,0,0,0,0
11,1765915247997,0,0,0,0,0,0,0,0
12,1765915248279,0,0,0,0,0,0,0,0
13,1765915248596,0,0,0,0,0,0,0,0
14,1765915248880,0,0,0,0,0,0,0,0
15,1765915249212,0,0,0,0,0,0,0,0
16,1765915249496,0,0,0,0,0,0,0,0
17,1765915249762,0,0,0,0,0,0,0,0
18,1765915249812,0,0,0,0,0,0,0,0
19,1765915250096,0,0,0,0,0,0,0,0
20,1765915250379,0,0,0,0,0,0,0,0
21,1765915250696,0,0,0,0,0,0,0,0
22,1765915250978,0,0,0,0,0,0,0,0
23,1765915251311,0,0,0,0,0,0,0,0
24,1765915251595,0,0,0,0,0,0,0,0
25,1765915251910,0,0,0,0,0,0,0,0
26,1765915252193,0,0,0,0,0,0,0,0
27,1765915252476,0,0,0,0,0,0,0,0
28,1765915252809,0,0,0,0,0,0,0,0
29,1765915253093,0,0,0,0,0,0,0,0
30,1765915253426,0,0,0,0,0,0,0,0
31,1765915253709,0,0,0,0,0,0,0,0
32,1765915254025,0,0,0,0,0,0,0,0
33,1765915254308,0,0,0,0,0,0,0,0
34,1765915254592,0,0,0,0,0,0,0,0
35,1765915254641,0,0,8,0,0,0,0,0
36,1765915254908,0,0,8,0,0,0,0,0
37,1765915255208,0,0,8,0,0,0,0,0
38,1765915255524,0,0,8,0,0,0,0,0
39,1765915255809,0,0,8,0,0,0,0,0
40,1765915256140,0,0,8,0,0,0,0,0
41,1765915256424,0,0,8,0,0,0,0,0
42,1765915256741,0,0,59,0,0,0,0,0
43,1765915257023,0,0,59,0,0,0,0,0
44,1765915257307,0,0,59,0,0,0,0,0
45,1765915257640,0,0,59,0,0,0,0,0
46,1765915257922,0,0,59,0,0,0,0,0
47,1765915258237,0,0,59,0,0,0,0,0
48,1765915258520,0,0,59,0,0,0,0,0
49,1765915258853,0,0,101,0,0,0,0,0
50,1765915259419,0,0,101,0,0,0,0,0
51,1765915259735,0,0,101,0,0,0,0,0
52,1765915260020,0,0,101,0,0,0,0,0
53,1765915260335,0,0,101,0,0,0,0,0
54,1765915260619,0,0,101,0,0,0,0,0
55,1765915260936,0,0,135,0,0,0,0,0
56,1765915261220,0,0,135,0,0,0,0,0
57,1765915261518,0,0,135,0,0,0,0,0
58,1765915261836,0,0,135,0,0,0,0,0
59,1765915262119,0,0,135,0,0,0,0,0
60,1765915262436,0,0,135,0,0,0,0,0
61,1765915262733,0,0,135,0,0,0,0,0
62,1765915263049,0,0,163,0,0,0,0,0
63,1765915263334,0,0,163,0,0,0,0,0
64,1765915263618,0,0,163,0,0,0,0,0
65,1765915263650,0,0,163,0,0,0,0,0
66,1765915263934,0,0,163,0,0,0,0,0
67,1765915264216,0,0,163,0,0,0,0,0
68,1765915264531,0,0,163,0,0,0,0,0
69,1765915264815,0,0,186,0,0,0,0,0
70,1765915265132,0,0,186,0,0,0,0,0
71,1765915265416,0,0,186,0,0,0,0,0
