index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
0,1765895465948,-13,19,1,0,0,0,0,0
1,1765895519647,32,18,-10,0,0,0,0,0
2,1765895520030,7,21,8,0,0,0,0,0
3,1765895522646,-37,-1,21,0,0,0,0,0
4,1765895527164,-57,99,-23,0,0,0,0,0
5,1765895527381,-62,119,-4,0,0,0,0,0
6,1765895528231,23,148,-2,0,0,0,0,0
7,1765895529330,-19,-3,14,0,0,0,0,0
8,1765895531280,20,-228,-7,0,0,0,0,0
9,1765895533097,7,-159,28,0,0,0,0,0
10,1765895533947,-7,-121,-1,0,0,0,0,0
11,1765895536614,-36,6,31,0,0,0,0,0
12,1765895538881,-24,-5,47,0,0,0,0,0
13,1765895539980,12,-27,4,0,0,0,0,0
14,1765895541047,3,-64,-8,0,0,0,0,0
15,1765895543965,-39,12,27,0,0,0,0,0
16,1765895546629,-12,-19,2,0,0,0,0,0
17,1765895547847,-36,95,27,0,0,0,0,0
18,1765895548912,-36,-18,-18,0,0,0,0,0
19,1765895550113,12,-140,-1,0,0,0,0,0
20,1765895557829,24,-70,-86,0,0,0,0,0
21,1765895558929,-61,-53,-15,0,0,0,0,0
22,1765895565245,-13,12,9,0,0,0,0,0
23,1765895565613,-1,24,-4,0,0,0,0,0
24,1765895567595,-22,34,22,0,0,0,0,0
25,1765895571963,1,10,6,0,0,0,0,0
26,1765895578695,40,-328,30,0,0,0,0,0
27,1765895579929,1,-78,10,0,0,0,0,0
28,1765895580979,-46,246,-50,0,0,0,0,0
29,1765895584080,32,-192,2,0,0,0,0,0
30,1765895588763,-85,-191,76,0,0,0,0,0
31,1765895589146,45,-218,0,0,0,0,0,0
32,1765895589980,-95,-142,17,0,0,0,0,0
33,1765895591147,61,-354,103,0,0,0,0,0
34,1765895593930,24,23,7,0,0,0,0,0
35,1765895595362,11,-208,-1,0,0,0,0,0
36,1765895599565,-9,-9,-31,0,0,0,0,0
37,1765895605029,-79,425,-36,0,0,0,0,0
38,1765895606979,-56,445,-35,0,0,0,0,0
39,1765895608364,-28,395,9,0,0,0,0,0
40,1765895609447,-26,-107,-2,0,0,0,0,0
41,1765895611979,8,81,-9,0,0,0,0,0
42,1765895612813,20,-526,41,0,0,0,0,0
43,1765895613496,9,-405,30,0,0,0,0,0
44,1765895613846,-11,-379,21,0,0,0,0,0
45,1765895614279,40,-366,36,0,0,0,0,0
46,1765895618713,-1,-90,11,0,0,0,0,0
47,1765895619096,-8,-26,6,0,0,0,0,0
48,1765895620162,-11,2,2,0,0,0,0,0
49,1765895621229,-15,11,5,0,0,0,0,0
50,1765895622812,-9,18,3,0,0,0,0,0
51,1765895625113,-10,17,1,0,0,0,0,0
52,1765895630180,-12,19,1,0,0,0,0,0
53,1765895633814,-10,20,1,0,0,0,0,0
54,1765895639013,-9,19,1,0,0,0,0,0
55,1765895648112,-12,19,2,0,0,0,0,0
56,1765895648546,-10,18,2,0,0,0,0,0
57,1765895648946,-11,19,3,0,0,0,0,0
58,1765895650129,-10,18,2,0,0,0,0,0
59,1765895653179,-10,18,2,0,0,0,0,0
60,1765895653647,-6,18,0,0,0,0,0,0
61,1765895654031,-10,20,2,0,0,0,0,0
62,1765895662130,-12,18,3,0,0,0,0,0
63,1765895665830,-10,17,1,0,0,0,0,0
64,1765895670347,-10,19,1,0,0,0,0,0
65,1765895670714,-9,19,2,0,0,0,0,0
66,1765895673428,-9,19,2,0,0,0,0,0
67,1765895675031,-11,19,1,0,0,0,0,0
68,1765895675913,-10,20,1,0,0,0,0,0
69,1765895678330,-6,19,2,0,0,0,0,0
70,1765895679913,-11,19,1,0,0,0,0,0
71,1765895681646,-12,19,3,0,0,0,0,0
72,1765895685413,-8,20,2,0,0,0,0,0
73,1765895685597,-11,18,1,0,0,0,0,0
74,1765895687247,-10,18,2,0,0,0,0,0
75,1765895688829,-9,18,1,0,0,0,0,0
76,1765895692797,-10,20,1,0,0,0,0,0
77,1765895693880,-10,18,2,0,0,0,0,0
78,1765895695547,-10,19,0,0,0,0,0,0
79,1765895696429,-10,19,1,0,0,0,0,0
80,1765895698031,-9,19,2,0,0,0,0,0
81,1765895699330,-12,19,2,0,0,0,0,0
82,1765895701696,-12,17,2,0,0,0,0,0
83,1765895713011,-8,17,3,0,0,0,0,0
84,1765895713380,-11,19,0,0,0,0,0,0
85,1765895714946,-11,18,0,0,0,0,0,0
86,1765895716312,-11,18,1,0,0,0,0,0
87,1765895718680,-11,19,2,0,0,0,0,0
88,1765895719095,-8,19,1,0,0,0,0,0
89,1765895721029,-10,19,3,0,0,0,0,0
90,1765895722863,-10,21,2,0,0,0,0,0
91,1765895724930,-9,18,2,0,0,0,0,0
92,1765895725913,-8,19,2,0,0,0,0,0
93,1765895726379,-10,19,3,0,0,0,0,0
94,1765895737370,-11,18,1,0,0,0,0,0
95,1765895738664,-11,20,2,0,0,0,0,0
96,1765895739815,-9,18,1,0,0,0,0,0
97,1765895741170,-10,19,2,0,0,0,0,0
98,1765895741528,-11,19,1,0,0,0,0,0
99,1765895745598,-9,19,2,0,0,0,0,0
100,1765895747381,-12,19,2,0,0,0,0,0
101,1765895748914,-10,20,1,0,0,0,0,0
102,1765895749848,-10,17,4,0,0,0,0,0
103,1765895751599,-10,17,1,0,0,0,0,0
104,1765895752316,-10,19,1,0,0,0,0,0
105,1765895753931,-9,18,2,0,0,0,0,0
106,1765895754797,-9,19,1,0,0,0,0,0
107,1765895755165,-10,19,2,0,0,0,0,0
108,1765895759581,-10,16,3,0,0,0,0,0
109,1765895762964,-9,19,2,0,0,0,0,0
110,1765895764979,-12,18,1,0,0,0,0,0
111,1765895768781,-9,18,2,0,0,0,0,0
112,1765895769778,-12,17,2,0,0,0,0,0
113,1765895773528,-8,18,2,0,0,0,0,0
114,1765895775479,-12,18,1,0,0,0,0,0
115,1765895776246,-11,18,0,0,0,0,0,0
116,1765895784483,-11,19,2,0,0,0,0,0
117,1765895787580,-9,18,1,0,0,0,0,0
118,1765895795763,-9,17,3,0,0,0,0,0
119,1765895797311,-12,18,-3,0,0,0,0,0
120,1765895798729,-11,20,0,0,0,0,0,0
121,1765895800163,-9,19,2,0,0,0,0,0
122,1765895805496,-11,18,1,0,0,0,0,0
123,1765895805862,-12,18,2,0,0,0,0,0
124,1765895809113,-11,18,2,0,0,0,0,0
125,1765895897212,-11,18,3,0,0,0,0,0
126,1765895897328,-8,18,2,0,0,0,0,0
127,1765895897460,-12,19,2,0,0,0,0,0
128,1765895897579,-10,19,2,0,0,0,0,0
129,1765895897678,-10,19,3,0,0,0,0,0
130,1765895897828,-9,18,0,0,0,0,0,0
131,1765895897911,-11,20,2,0,0,0,0,0
132,1765895898078,-9,19,2,0,0,0,0,0
133,1765895898144,-10,16,2,0,0,0,0,0
134,1765895909711,-10,18,2,0,0,0,0,0
135,1765895911344,-7,18,2,0,0,0,0,0
136,1765895912177,-13,19,2,0,0,0,0,0
137,1765895912677,-10,18,2,0,0,0,0,0
138,1765895918829,-9,20,-1,0,0,0,0,0
139,1765895920677,-11,18,2,0,0,0,0,0
140,1765895921912,-10,19,1,0,0,0,0,0
141,1765895924743,-10,19,2,0,0,0,0,0
142,1765895935128,-8,18,3,0,0,0,0,0
143,1765895935576,-11,19,2,0,0,0,0,0
144,1765895935894,-11,19,2,0,0,0,0,0
145,1765895945944,-11,21,2,0,0,0,0,0
146,1765895947760,-10,19,2,0,0,0,0,0
147,1765895949427,-9,17,3,0,0,0,0,0
148,1765895953009,-8,17,-255,0,0,0,0,0
149,1765895953411,-10,17,1,0,0,0,0,0
150,1765895956111,-10,18,2,0,0,0,0,0
151,1765895957627,-10,18,2,0,0,0,0,0
152,1765895958960,-9,18,1,0,0,0,0,0
153,1765895960728,-14,21,2,0,0,0,0,0
154,1765895962059,-9,17,3,0,0,0,0,0
155,1765895963793,-11,20,2,0,0,0,0,0
156,1765895965126,-11,18,2,0,0,0,0,0
157,1765895966911,-8,18,2,0,0,0,0,0
158,1765895969044,-10,20,1,0,0,0,0,0
