index,date,SLAVE_5,SLAVE_6,OVERVOLTAGE,UNDERVOLTAGE,1,2,3,4
0,1765902320552,0,0,0,0,0,0,0,0
1,1765902320668,0,0,0,0,0,0,0,0
2,1765902320785,0,0,0,0,0,0,0,0
3,1765902321151,0,0,0,0,0,0,0,0
4,1765902321268,0,0,0,0,0,0,0,0
5,1765902321352,0,0,0,0,0,0,0,0
6,1765902321452,0,0,0,0,0,0,0,0
7,1765902321552,0,0,0,0,0,0,0,0
8,1765902321802,0,0,0,0,0,0,0,0
9,1765902321985,0,0,0,0,0,0,0,0
10,1765902322352,0,0,0,0,0,0,0,0
11,1765902322485,0,0,0,0,0,0,0,0
12,1765902322569,0,0,0,0,0,0,0,0
13,1765902322669,0,0,0,0,0,0,0,0
14,1765902322986,0,0,0,0,0,0,0,0
15,1765902323085,0,0,0,0,0,0,0,0
16,1765902323186,0,0,0,0,0,0,0,0
17,1765902323286,0,0,0,0,0,0,0,0
18,1765902323387,0,0,0,0,0,0,0,0
19,1765902323404,0,0,0,0,0,0,0,0
20,1765902323503,0,0,0,0,0,0,0,0
21,1765902323601,0,0,0,0,0,0,0,0
22,1765902323818,0,0,0,0,0,0,0,0
23,1765902323918,0,0,0,0,0,0,0,0
24,1765902324020,0,0,0,0,0,0,0,0
25,1765902324118,0,0,0,0,0,0,0,0
26,1765902324186,0,0,0,0,0,0,0,0
27,1765902324288,0,0,0,0,0,0,0,0
28,1765902324587,0,0,0,0,0,0,0,0
29,1765902324667,0,0,0,0,0,0,0,0
30,1765902324752,0,0,0,0,0,0,0,0
31,1765902324918,0,0,0,0,0,0,0,0
32,1765902325052,0,0,0,0,0,0,0,0
33,1765902325202,0,0,0,0,0,0,0,0
34,1765902325317,0,0,0,0,0,0,0,0
35,1765902325436,0,0,0,0,0,0,0,0
36,1765902325568,0,0,0,0,0,0,0,0
37,1765902325669,0,0,0,0,0,0,0,0
38,1765902325818,0,0,0,0,0,0,0,0
39,1765902326034,0,0,0,0,0,0,0,0
40,1765902326218,0,0,0,0,0,0,0,0
41,1765902326319,0,0,0,0,0,0,0,0
42,1765902326402,0,0,0,0,0,0,0,0
43,1765902326502,0,0,0,0,0,0,0,0
44,1765902326619,0,0,0,0,0,0,0,0
45,1765902326835,0,0,0,0,0,0,0,0
46,1765902326852,0,0,0,0,0,0,0,0
47,1765902327002,0,0,0,0,0,0,0,0
48,1765902327135,0,0,0,0,0,0,0,0
49,1765902327285,0,0,0,0,0,0,0,0
50,1765902327352,0,0,0,0,0,0,0,0
51,1765902327485,0,0,0,0,0,0,0,0
52,1765902327585,0,0,0,0,0,0,0,0
53,1765902327702,0,0,0,0,0,0,0,0
54,1765902327918,0,0,0,0,0,0,0,0
55,1765902328050,0,0,0,0,0,0,0,0
56,1765902328152,0,0,0,0,0,0,0,0
57,1765902328286,0,0,0,0,0,0,0,0
58,1765902328402,0,0,0,0,0,0,0,0
59,1765902328485,0,0,0,0,0,0,0,0
60,1765902328635,0,0,0,0,0,0,0,0
61,1765902328885,0,0,0,0,0,0,0,0
62,1765902329018,0,0,0,0,0,0,0,0
63,1765902329152,0,0,0,0,0,0,0,0
64,1765902329469,0,0,0,0,0,0,0,0
65,1765902329618,0,0,0,0,0,0,0,0
66,1765902329735,0,0,0,0,0,0,0,0
67,1765902329835,0,0,0,0,0,0,0,0
68,1765902329985,0,0,0,0,0,0,0,0
69,1765902330203,0,0,0,0,0,0,0,0
70,1765902330518,0,0,0,0,0,0,0,0
71,1765902330634,0,0,0,0,0,0,0,0
72,1765902331068,0,0,0,0,0,0,0,0
73,1765902331335,0,0,0,0,0,0,0,0
74,1765902331468,0,0,0,0,0,0,0,0
75,1765902331835,0,0,0,0,0,0,0,0
76,1765902332085,0,0,0,0,0,0,0,0
77,1765902332202,0,0,0,0,0,0,0,0
78,1765902332402,0,0,0,0,0,0,0,0
79,1765902332568,0,0,0,0,0,0,0,0
80,1765902332770,0,0,0,0,0,0,0,0
81,1765902333185,0,0,0,0,0,0,0,0
82,1765902333518,0,0,0,0,0,0,0,0
83,1765902333601,0,0,0,0,0,0,0,0
84,1765902333702,0,0,0,0,0,0,0,0
85,1765902333902,0,0,0,0,0,0,0,0
86,1765902334035,0,0,0,0,0,0,0,0
87,1765902334301,0,0,0,0,0,0,0,0
88,1765902334401,0,0,0,0,0,0,0,0
89,1765902334518,0,0,0,0,0,0,0,0
90,1765902334603,0,0,0,0,0,0,0,0
91,1765902334801,0,0,0,0,0,0,0,0
92,1765902334901,0,0,0,0,0,0,0,0
93,1765902334985,0,0,0,0,0,0,0,0
94,1765902335085,0,0,0,0,0,0,0,0
95,1765902335185,0,0,0,0,0,0,0,0
96,1765902335467,0,0,0,0,0,0,0,0
97,1765902335585,0,0,0,0,0,0,0,0
98,1765902335735,0,0,0,0,0,0,0,0
99,1765902335818,0,0,0,0,0,0,0,0
100,1765902335918,0,0,0,0,0,0,0,0
101,1765902335985,0,0,0,0,0,0,0,0
102,1765902336086,0,0,0,0,0,0,0,0
