index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
0,1765902320885,311,204,0,4,0,0,0,0
1,1765902321035,0,0,0,0,0,0,0,0
2,1765902321685,0,0,0,0,0,0,0,0
3,1765902322252,20,13,0,2,0,0,0,0
4,1765902324819,187,740,0,1239,0,0,0,0
5,1765902325368,415,791,0,1268,0,0,0,0
6,1765902325485,531,806,0,1281,0,0,0,0
7,1765902325653,615,835,0,1324,0,0,0,0
8,1765902326652,1046,680,0,1150,0,0,0,0
9,1765902326969,1112,646,0,1151,0,0,0,0
10,1765902327735,1339,566,0,1131,0,0,0,0
11,1765902328769,1521,472,0,1090,0,0,0,0
12,1765902329519,1629,382,0,1081,0,0,0,0
13,1765902329685,1652,380,0,1086,0,0,0,0
14,1765902330302,1725,364,0,1078,0,0,0,0
15,1765902330534,1751,358,0,1083,0,0,0,0
16,1765902330852,1787,370,0,1088,0,0,0,0
17,1765902331135,1824,412,0,1120,0,0,0,0
18,1765902331452,1861,428,0,1129,0,0,0,0
19,1765902331650,1896,447,0,1140,0,0,0,0
20,1765902331901,1929,483,0,1171,0,0,0,0
21,1765902332069,1980,541,0,1196,0,0,0,0
22,1765902332718,2094,563,0,1195,0,0,0,0
23,1765902332869,2141,581,0,1206,0,0,0,0
24,1765902333018,2190,606,0,1204,0,0,0,0
25,1765902334101,2394,496,0,1131,0,0,0,0
26,1765902336568,2850,404,0,1151,0,0,0,0
27,1765902337985,3036,377,0,1154,0,0,0,0
28,1765902338185,3068,382,0,1157,0,0,0,0
29,1765902338436,3088,349,0,1143,0,0,0,0
30,1765902338635,3103,305,0,1124,0,0,0,0
31,1765902338752,3122,258,0,1106,0,0,0,0
32,1765902339735,0,0,0,0,0,0,0,0
33,1765902340435,0,0,0,0,0,0,0,0
34,1765902340602,0,0,0,0,0,0,0,0
35,1765902341285,0,0,0,0,0,0,0,0
36,1765902343035,1990,93,0,1200,0,0,0,0
37,1765902343584,2075,530,0,1325,0,0,0,0
38,1765902344501,2393,849,0,1339,0,0,0,0
39,1765902344618,2466,853,0,1325,0,0,0,0
40,1765902345753,2806,881,0,1333,0,0,0,0
41,1765902346867,3200,745,0,1255,0,0,0,0
42,1765902347385,3308,682,0,1273,0,0,0,0
43,1765902348151,3512,702,0,1281,0,0,0,0
44,1765902348968,3696,689,0,1281,0,0,0,0
45,1765902349768,3874,502,0,1183,0,0,0,0
46,1765902350597,0,0,0,0,0,0,0,0
47,1765902350618,0,0,0,0,0,0,0,0
48,1765902350769,0,0,0,0,0,0,0,0
49,1765902350951,0,0,0,0,0,0,0,0
50,1765902351201,0,0,0,0,0,0,0,0
51,1765902351525,0,0,0,0,0,0,0,0
52,1765902353402,0,0,0,0,0,0,0,0
53,1765902354085,1,6,0,2,0,0,0,0
54,1765902354201,1,12,0,2,0,0,0,0
55,1765902354852,172,-1,0,304,0,0,0,0
56,1765902355786,2383,523,0,1378,0,0,0,0
57,1765902355935,2501,658,0,1380,0,0,0,0
58,1765902356568,2767,752,0,1305,0,0,0,0
59,1765902357118,2910,823,0,1307,0,0,0,0
60,1765902358785,0,0,0,0,0,0,0,0
61,1765902360235,1702,11,0,443,0,0,0,0
62,1765902360352,2212,-35,0,1030,0,0,0,0
63,1765902362251,3034,419,0,1164,0,0,0,0
64,1765902362418,0,0,0,0,0,0,0,0
65,1765902362518,1434,181,0,15,0,0,0,0
66,1765902362734,961,123,0,6,0,0,0,0
67,1765902363184,0,0,0,0,0,0,0,0
68,1765902363318,313,47,0,3,0,0,0,0
69,1765902363534,193,30,0,4,0,0,0,0
70,1765902363801,130,21,0,3,0,0,0,0
71,1765902363984,77,16,0,3,0,0,0,0
72,1765902364802,2191,-63,0,1066,0,0,0,0
73,1765902365402,2663,270,0,1166,0,0,0,0
