index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1765902320969,0,0,2,0,0,0,0,0
1,1765902321218,0,0,2,0,0,0,0,0
2,1765902323734,0,0,2,0,0,0,0,0
3,1765902324484,0,0,2,0,0,0,0,0
4,1765902325935,0,0,2,0,0,0,0,0
5,1765902326736,0,0,2,0,0,0,0,0
6,1765902327285,0,0,2,0,0,0,0,0
7,1765902327385,0,0,2,0,0,0,0,0
8,1765902328050,0,0,2,0,0,0,0,0
9,1765902328185,0,0,2,0,0,0,0,0
10,1765902329051,0,0,2,0,0,0,0,0
11,1765902329168,0,0,2,0,0,0,0,0
12,1765902329985,0,0,2,0,0,0,0,0
13,1765902330118,0,0,2,0,0,0,0,0
14,1765902330385,0,0,2,0,0,0,0,0
15,1765902330685,0,0,2,0,0,0,0,0
16,1765902330951,0,0,2,0,0,0,0,0
17,1765902331201,0,0,2,0,0,0,0,0
18,1765902331735,0,0,2,0,0,0,0,0
19,1765902331969,0,0,2,0,0,0,0,0
20,1765902332252,0,0,2,0,0,0,0,0
21,1765902333002,0,0,2,0,0,0,0,0
22,1765902333085,0,0,2,0,0,0,0,0
23,1765902333385,0,0,2,0,0,0,0,0
24,1765902334168,0,0,2,0,0,0,0,0
25,1765902334768,0,0,2,0,0,0,0,0
26,1765902335368,0,0,2,0,0,0,0,0
27,1765902335501,0,0,2,0,0,0,0,0
28,1765902336719,0,0,2,0,0,0,0,0
29,1765902336918,0,0,2,0,0,0,0,0
30,1765902338252,0,0,2,0,0,0,0,0
31,1765902338502,0,0,2,0,0,0,0,0
32,1765902339052,0,0,2,0,0,0,0,0
33,1765902339218,0,0,2,0,0,0,0,0
34,1765902339902,0,0,2,0,0,0,0,0
35,1765902340052,0,0,2,0,0,0,0,0
36,1765902341885,0,0,2,0,0,0,0,0
37,1765902342527,0,0,2,0,0,0,0,0
38,1765902342651,0,0,2,0,0,0,0,0
39,1765902344785,0,0,2,0,0,0,0,0
40,1765902344918,0,0,2,0,0,0,0,0
41,1765902346418,0,0,2,0,0,0,0,0
42,1765902347668,0,0,2,0,0,0,0,0
43,1765902347818,0,0,2,0,0,0,0,0
44,1765902348467,0,0,2,0,0,0,0,0
45,1765902348601,0,0,2,0,0,0,0,0
46,1765902349251,0,0,2,0,0,0,0,0
47,1765902349385,0,0,2,0,0,0,0,0
48,1765902351118,0,0,2,0,0,0,0,0
49,1765902351286,0,0,2,0,0,0,0,0
50,1765902351535,0,0,2,0,0,0,0,0
51,1765902351785,0,0,2,0,0,0,0,0
52,1765902351919,0,0,2,0,0,0,0,0
53,1765902352871,0,0,2,0,0,0,0,0
54,1765902353568,0,0,2,0,0,0,0,0
55,1765902353685,0,0,2,0,0,0,0,0
56,1765902354368,0,0,2,0,0,0,0,0
57,1765902356251,0,0,2,0,0,0,0,0
58,1765902357752,0,0,2,0,0,0,0,0
59,1765902358518,0,0,2,0,0,0,0,0
60,1765902359068,0,0,2,0,0,0,0,0
61,1765902359168,0,0,2,0,0,0,0,0
62,1765902361571,0,0,2,0,0,0,0,0
63,1765902362684,0,0,2,0,0,0,0,0
64,1765902362801,0,0,2,0,0,0,0,0
65,1765902363619,0,0,2,0,0,0,0,0
66,1765902363869,0,0,2,0,0,0,0,0
67,1765902364151,0,0,2,0,0,0,0,0
68,1765902365152,0,0,2,0,0,0,0,0
69,1765902365169,0,0,2,0,0,0,0,0
70,1765902365467,0,0,2,0,0,0,0,0
71,1765902365703,0,0,2,0,0,0,0,0
72,1765902365834,0,0,2,0,0,0,0,0
73,1765902367351,0,0,2,0,0,0,0,0
74,1765902367985,0,0,2,0,0,0,0,0
75,1765902368135,0,0,2,0,0,0,0,0
76,1765902369119,0,0,2,0,0,0,0,0
77,1765902369835,0,0,2,0,0,0,0,0
78,1765902369985,0,0,2,0,0,0,0,0
79,1765902370670,0,0,2,0,0,0,0,0
80,1765902370884,0,0,2,0,0,0,0,0
81,1765902372868,0,0,2,0,0,0,0,0
