index,date,FRONT_LEFT_SPEED,FRONT_RIGHT_SPEED,REAR_LEFT_SPEED,REAR_RIGHT_SPEED,1,2,3,4
0,1765915244859,0,0,0,0,0,0,0,0
1,1765915245142,0,0,0,0,0,0,0,0
2,1765915245441,0,0,0,0,0,0,0,0
3,1765915245508,0,0,0,0,0,0,0,0
4,1765915245792,0,0,0,0,0,0,0,0
5,1765915246077,0,0,0,0,0,0,0,0
6,1765915246142,0,0,0,0,0,0,0,0
7,1765915246442,0,0,0,0,0,0,0,0
8,1765915246725,0,0,0,0,0,0,0,0
9,1765915246808,0,0,0,0,0,0,0,0
10,1765915247092,0,0,0,0,0,0,0,0
11,1765915247375,0,0,0,0,0,0,0,0
12,1765915247459,0,0,0,0,0,0,0,0
13,1765915247725,0,0,0,0,0,0,0,0
14,1765915248009,0,0,0,0,0,0,0,0
15,1765915248342,0,0,0,0,0,0,0,0
16,1765915248641,0,0,0,0,0,0,0,0
17,1765915248958,0,0,0,0,0,0,0,0
18,1765915249225,0,0,0,0,0,0,0,0
19,1765915249558,0,0,0,0,0,0,0,0
20,1765915249842,0,0,0,0,0,0,0,0
21,1765915250125,0,0,0,0,0,0,0,0
22,1765915250442,0,0,0,0,0,0,0,0
23,1765915250724,0,0,0,0,0,0,0,0
24,1765915251058,0,0,0,0,0,0,0,0
25,1765915251342,0,0,0,0,0,0,0,0
26,1765915251658,0,0,0,0,0,0,0,0
27,1765915251942,0,0,0,0,0,0,0,0
28,1765915252225,0,0,0,0,0,0,0,0
29,1765915252275,0,0,0,0,0,0,0,0
30,1765915252542,0,0,0,0,0,0,0,0
31,1765915252842,0,0,0,0,0,0,0,0
32,1765915253158,0,0,0,0,0,0,0,0
33,1765915253442,0,0,0,0,0,0,0,0
34,1765915253776,0,0,0,0,0,0,0,0
35,1765915254058,0,0,0,0,0,0,0,0
36,1765915254342,0,0,0,0,0,0,0,0
37,1765915254375,0,0,0,0,0,0,0,0
38,1765915254675,0,0,0,0,0,0,0,0
39,1765915254958,0,0,0,0,0,0,0,0
40,1765915255275,0,0,0,0,0,0,0,0
41,1765915255558,0,0,0,0,0,0,0,0
42,1765915255875,0,0,0,0,0,0,0,0
43,1765915256174,0,0,0,0,0,0,0,0
44,1765915256491,0,0,0,0,0,0,0,0
45,1765915256791,0,0,0,0,0,0,0,0
46,1765915257058,0,0,0,0,0,0,0,0
47,1765915257392,0,0,0,0,0,0,0,0
48,1765915257675,0,0,0,0,0,0,0,0
49,1765915257992,0,0,0,0,0,0,0,0
50,1765915258275,0,0,0,0,0,0,0,0
51,1765915258608,0,0,0,0,0,0,0,0
52,1765915258875,0,0,0,0,0,0,0,0
53,1765915259158,0,0,0,0,0,0,0,0
54,1765915259208,0,0,0,0,0,0,0,0
55,1765915259492,0,0,0,0,0,0,0,0
56,1765915259775,0,0,0,0,0,0,0,0
57,1765915260091,0,0,0,0,0,0,0,0
58,1765915260375,0,0,0,0,0,0,0,0
59,1765915260692,0,0,0,0,0,0,0,0
60,1765915260991,0,0,0,0,0,0,0,0
61,1765915261275,0,0,0,0,0,0,0,0
62,1765915261308,0,0,0,0,0,0,0,0
63,1765915261591,0,0,0,0,0,0,0,0
64,1765915261875,0,0,0,0,0,0,0,0
65,1765915262192,0,0,0,0,0,0,0,0
66,1765915262476,0,0,0,0,0,0,0,0
67,1765915262792,0,0,0,0,0,0,0,0
68,1765915263075,0,0,0,0,0,0,0,0
69,1765915263358,0,0,0,0,0,0,0,0
70,1765915263408,0,0,0,0,0,0,0,0
71,1765915263677,0,0,0,0,0,0,0,0
72,1765915263977,0,0,0,0,0,0,0,0
73,1765915264293,0,0,0,0,0,0,0,0
74,1765915264576,0,0,0,0,0,0,0,0
75,1765915264892,0,0,0,0,0,0,0,0
76,1765915265176,0,0,0,0,0,0,0,0
77,1765915265493,0,0,0,0,0,0,0,0
78,1765915265792,0,0,0,0,0,0,0,0
79,1765915266077,0,0,0,0,0,0,0,0
80,1765915266412,0,0,0,0,0,0,0,0
81,1765915266674,0,0,0,0,0,0,0,0
82,1765915267010,0,0,0,0,0,0,0,0
83,1765915267291,0,0,0,0,0,0,0,0
84,1765915267608,0,0,0,0,0,0,0,0
85,1765915267908,0,0,0,0,0,0,0,0
86,1765915268176,0,0,0,0,0,0,0,0
87,1765915268224,0,0,0,0,0,0,0,0
88,1765915268508,0,0,0,0,0,0,0,0
89,1765915268792,0,0,0,0,0,0,0,0
90,1765915269107,0,0,0,0,0,0,0,0
91,1765915269391,0,0,0,0,0,0,0,0
92,1765915269708,0,0,0,0,0,0,0,0
93,1765915269991,0,0,0,0,0,0,0,0
94,1765915270292,0,0,0,0,0,0,0,0
95,1765915270308,0,0,0,0,0,0,0,0
96,1765915270608,0,0,0,0,0,0,0,0
97,1765915270891,0,0,0,0,0,0,0,0
98,1765915271225,0,0,0,0,0,0,0,0
99,1765915271491,0,0,0,0,0,0,0,0
100,1765915271841,0,0,0,0,0,0,0,0
101,1765915272109,0,0,0,0,0,0,0,0
102,1765915272375,0,0,0,0,0,0,0,0
103,1765915272425,0,0,0,0,0,0,0,0
104,1765915272726,0,0,0,0,0,0,0,0
105,1765915272991,0,0,0,0,0,0,0,0
106,1765915273324,0,0,0,0,0,0,0,0
107,1765915273608,0,0,0,0,0,0,0,0
108,1765915273941,0,0,0,0,0,0,0,0
109,1765915274242,0,0,0,0,0,0,0,0
110,1765915274558,0,0,0,0,0,0,0,0
111,1765915274841,0,0,0,0,0,0,0,0
112,1765915275192,0,0,0,0,0,0,0,0
113,1765915275474,0,0,0,0,0,0,0,0
114,1765915275758,0,0,0,0,0,0,0,0
115,1765915275825,0,0,0,0,0,0,0,0
116,1765915276108,0,0,0,0,0,0,0,0
117,1765915276392,0,0,0,0,0,0,0,0
118,1765915276758,0,0,0,0,0,0,0,0
119,1765915277041,0,0,0,0,0,0,0,0
120,1765915277391,0,0,0,0,0,0,0,0
121,1765915277691,0,0,0,0,0,0,0,0
122,1765915278041,0,0,0,0,0,0,0,0
123,1765915278308,0,0,1,0,0,0,0,0
124,1765915278658,0,0,0,1,0,0,0,0
125,1765915278925,0,0,12,1,0,0,0,0
126,1765915279275,12,0,240,237,0,0,0,0
127,1765915279576,21,19,237,234,0,0,0,0
128,1765915279842,21,27,241,237,0,0,0,0
129,1765915279891,46,49,321,324,0,0,0,0
130,1765915280175,53,51,350,352,0,0,0,0
131,1765915280475,60,58,383,384,0,0,0,0
132,1765915280808,92,86,614,593,0,0,0,0
133,1765915281092,98,94,660,636,0,0,0,0
134,1765915281441,123,132,915,917,0,0,0,0
135,1765915281708,130,144,980,1001,0,0,0,0
136,1765915282041,157,172,1214,1283,0,0,0,0
137,1765915282308,161,173,1254,1358,0,0,0,0
138,1765915282591,166,181,1296,1409,0,0,0,0
