index,date,INVERSOR_STATE,FAILURE,ALARM,1,2,3,4,5
0,1765915244925,0,0,0,0,0,0,0,0
1,1765915245209,0,0,0,0,0,0,0,0
2,1765915245559,0,0,0,0,0,0,0,0
3,1765915245875,0,0,0,0,0,0,0,0
4,1765915246225,0,0,0,0,0,0,0,0
5,1765915246509,0,0,0,0,0,0,0,0
6,1765915246875,0,0,0,0,0,0,0,0
7,1765915247175,0,0,0,0,0,0,0,0
8,1765915247525,0,0,0,0,0,0,0,0
9,1765915247808,0,0,0,0,0,0,0,0
10,1765915248092,0,0,0,0,0,0,0,0
11,1765915248125,0,0,0,0,0,0,0,0
12,1765915248409,0,0,0,0,0,0,0,0
13,1765915248708,0,0,0,0,0,0,0,0
14,1765915249025,0,0,0,0,0,0,0,0
15,1765915249309,0,0,0,0,0,0,0,0
16,1765915249642,0,0,0,0,0,0,0,0
17,1765915249908,0,0,0,0,0,0,0,0
18,1765915250242,0,0,0,0,0,0,0,0
19,1765915250525,0,0,0,0,0,0,0,0
20,1765915250808,0,0,0,0,0,0,0,0
21,1765915251141,0,0,0,0,0,0,0,0
22,1765915251408,0,0,0,0,0,0,0,0
23,1765915251742,0,0,0,0,0,0,0,0
24,1765915252025,0,0,0,0,0,0,0,0
25,1765915252360,0,0,0,0,0,0,0,0
26,1765915252624,0,0,0,0,0,0,0,0
27,1765915252909,0,0,0,0,0,0,0,0
28,1765915252975,0,0,0,0,0,0,0,0
29,1765915253241,0,0,0,0,0,0,0,0
30,1765915253525,0,0,0,0,0,0,0,0
31,1765915253858,0,0,0,0,0,0,0,0
32,1765915254125,0,0,0,0,0,0,0,0
33,1765915254458,0,0,0,0,0,0,0,0
34,1765915254724,0,0,0,0,0,0,0,0
35,1765915255008,0,0,0,0,0,0,0,0
36,1765915255058,0,0,0,0,0,0,0,0
37,1765915255341,0,0,0,0,0,0,0,0
38,1765915255625,0,0,0,0,0,0,0,0
39,1765915255958,0,0,0,0,0,0,0,0
40,1765915256243,0,0,0,0,0,0,0,0
41,1765915256559,0,0,0,0,0,0,0,0
42,1765915256858,0,0,0,0,0,0,0,0
43,1765915257175,0,0,0,0,0,0,0,0
44,1765915257458,0,0,0,0,0,0,0,0
45,1765915257741,0,0,0,0,0,0,0,0
46,1765915258058,0,0,0,0,0,0,0,0
47,1765915258358,0,0,0,0,0,0,0,0
48,1765915258675,0,0,0,0,0,0,0,0
49,1765915258958,0,0,0,0,0,0,0,0
50,1765915259275,0,0,0,0,0,0,0,0
51,1765915259574,0,0,0,0,0,0,0,0
52,1765915259841,0,0,0,0,0,0,0,0
53,1765915259891,0,0,0,0,0,0,0,0
54,1765915260158,0,0,0,0,0,0,0,0
55,1765915260441,0,0,0,0,0,0,0,0
56,1765915260758,0,0,0,0,0,0,0,0
57,1765915261042,0,0,0,0,0,0,0,0
58,1765915261358,0,0,0,0,0,0,0,0
59,1765915261642,0,0,0,0,0,0,0,0
60,1765915261942,0,0,0,0,0,0,0,0
61,1765915261975,0,0,0,0,0,0,0,0
62,1765915262258,0,0,0,0,0,0,0,0
63,1765915262558,0,0,0,0,0,0,0,0
64,1765915262875,0,0,0,0,0,0,0,0
65,1765915263158,0,0,0,0,0,0,0,0
66,1765915263491,0,0,0,0,0,0,0,0
67,1765915263760,0,0,0,0,0,0,0,0
68,1765915264043,0,0,0,0,0,0,0,0
69,1765915264093,0,0,0,0,0,0,0,0
70,1765915264377,0,0,0,0,0,0,0,0
71,1765915264643,0,0,0,0,0,0,0,0
72,1765915264974,0,0,0,0,0,0,0,0
73,1765915265241,0,0,0,0,0,0,0,0
74,1765915265576,0,0,0,0,0,0,0,0
75,1765915265859,0,0,0,0,0,0,0,0
76,1765915266176,0,0,0,0,0,0,0,0
77,1765915266459,0,0,0,0,0,0,0,0
78,1765915266743,0,0,0,0,0,0,0,0
79,1765915267077,0,0,0,0,0,0,0,0
80,1765915267358,0,0,0,0,0,0,0,0
81,1765915267691,0,0,0,0,0,0,0,0
82,1765915267974,0,0,0,0,0,0,0,0
83,1765915268309,0,0,0,0,0,0,0,0
84,1765915268591,0,0,0,0,0,0,0,0
85,1765915268876,0,0,0,0,0,0,0,0
86,1765915268908,0,0,0,0,0,0,0,0
87,1765915269191,0,0,0,0,0,0,0,0
88,1765915269474,0,0,0,0,0,0,0,0
89,1765915269791,0,0,0,0,0,0,0,0
90,1765915270074,0,0,0,0,0,0,0,0
91,1765915270391,0,0,0,0,0,0,0,0
92,1765915270674,0,0,0,0,0,0,0,0
93,1765915270958,0,0,0,0,0,0,0,0
94,1765915271008,0,0,0,0,0,0,0,0
95,1765915271292,0,0,0,0,0,0,0,0
96,1765915271575,0,0,0,0,0,0,0,0
97,1765915271891,0,0,0,0,0,0,0,0
98,1765915272175,0,0,0,0,0,0,0,0
99,1765915272491,0,0,0,0,0,0,0,0
100,1765915272791,0,0,0,0,0,0,0,0
101,1765915273058,0,0,0,0,0,0,0,0
102,1765915273108,0,0,0,0,0,0,0,0
103,1765915273392,0,0,0,0,0,0,0,0
104,1765915273692,0,0,0,0,0,0,0,0
105,1765915274007,0,0,0,0,0,0,0,0
106,1765915274291,0,0,0,0,0,0,0,0
107,1765915274642,0,0,0,0,0,0,0,0
108,1765915274925,0,0,0,0,0,0,0,0
109,1765915275275,0,0,0,0,0,0,0,0
110,1765915275541,0,0,0,0,0,0,0,0
111,1765915275891,0,0,0,0,0,0,0,0
112,1765915276191,0,0,0,0,0,0,0,0
113,1765915276541,0,0,0,0,0,0,0,0
114,1765915276841,0,0,0,0,0,0,0,0
115,1765915277108,0,0,0,0,0,0,0,0
116,1765915277175,0,0,0,0,0,0,0,0
117,1765915277458,0,0,0,0,0,0,0,0
118,1765915277758,0,0,0,0,0,0,0,0
119,1765915278108,0,0,0,0,0,0,0,0
120,1765915278392,0,0,0,0,0,0,0,0
121,1765915278725,0,0,0,0,0,0,0,0
122,1765915279025,0,0,0,0,0,0,0,0
123,1765915279341,1,0,0,0,0,0,0,0
124,1765915279642,1,0,0,0,0,0,0,0
125,1765915279975,1,0,0,0,0,0,0,0
126,1765915280258,1,0,0,0,0,0,0,0
127,1765915280541,1,0,0,0,0,0,0,0
128,1765915280608,1,0,0,0,0,0,0,0
129,1765915280891,1,0,0,0,0,0,0,0
130,1765915281175,1,0,0,0,0,0,0,0
131,1765915281491,1,0,0,0,0,0,0,0
132,1765915281775,1,0,0,0,0,0,0,0
133,1765915282108,1,0,0,0,0,0,0,0
