index,date,SPEED_FL,SPEED_FR,SPEED_RL,SPEED_RR
0,1782579301335,0,0,0,0
1,1782579301651,0,0,0,0
2,1782579301935,0,0,0,0
3,1782579303634,0,0,0,0
4,1782579303902,0,0,0,0
5,1782579306980,0,0,0,0
6,1782579307146,0,0,112,163
7,1782579307530,0,0,233,289
8,1782579308712,0,0,498,596
9,1782579309079,0,0,486,516
10,1782579309828,0,0,327,366
11,1782579310244,0,0,242,156
12,1782579311143,0,0,25,109
13,1782579311543,0,0,0,45
14,1782579312259,0,0,0,0
15,1782579312692,0,0,0,0
16,1782579313575,0,0,0,0
17,1782579313992,0,0,0,0
18,1782579314224,0,0,0,0
19,1782579314457,0,0,0,0
20,1782579315739,0,0,0,0
21,1782579518352,0,0,0,0
22,1782579518902,0,0,0,0
23,1782579518968,0,0,0,0
24,1782579519535,0,0,0,0
25,1782579520134,0,0,0,0
26,1782579520716,0,0,0,0
27,1782579521400,0,0,0,0
28,1782579526246,0,0,0,0
29,1782579528726,0,0,0,0
30,1782579528993,0,0,0,0
31,1782579529276,0,0,0,0
32,1782579529626,0,0,0,0
33,1782579529925,0,0,0,0
34,1782579530242,0,0,0,0
35,1782579530825,0,0,0,0
36,1782579530991,0,0,0,0
37,1782579531224,0,0,0,0
38,1782579531507,0,0,0,0
39,1782579531774,0,0,0,0
40,1782579532124,0,0,0,0
41,1782579532456,0,0,0,0
42,1782579533406,0,0,0,0
43,1782579533456,0,0,0,0
44,1782579533806,0,0,0,0
45,1782579534105,0,0,0,0
46,1782579534455,0,0,0,0
47,1782579534971,0,0,0,0
48,1782579535304,0,0,0,0
49,1782579535604,0,0,0,0
50,1782579535837,0,0,0,0
51,1782579536336,0,0,0,0
52,1782579536636,0,0,0,0
53,1782579536886,0,0,0,0
54,1782579537536,0,0,0,0
55,1782579537852,0,0,0,0
56,1782579538135,0,0,0,0
57,1782579541732,0,0,0,0
58,1782579541949,0,0,0,0
59,1782579542199,0,0,0,0
60,1782579542498,0,0,0,0
61,1782579542815,0,0,0,0
62,1782579543049,0,0,0,0
63,1782579545978,0,0,0,0
64,1782579549925,24,22,24,23
65,1782579550275,28,26,28,25
66,1782579551108,41,36,42,34
67,1782579551457,46,40,45,40
68,1782579552740,76,67,78,173
69,1782579553189,92,82,93,41
70,1782579553572,103,87,103,82
71,1782579554804,121,99,119,95
72,1782579555271,124,103,123,51
73,1782579555304,122,107,126,103
74,1782579555620,126,110,125,117
75,1782579556070,126,114,126,112
76,1782579556952,130,116,126,112
77,1782579557319,135,120,135,134
78,1782579557868,146,131,146,125
79,1782579558151,149,134,145,125
80,1782579559051,154,148,156,155
81,1782579560333,170,158,163,156
82,1782579561532,175,168,175,172
83,1782579563730,153,142,154,132
84,1782579564613,161,142,162,139
85,1782579564946,163,143,164,148
86,1782579565479,166,147,170,134
87,1782579566379,173,150,171,146
88,1782579566777,170,153,174,163
89,1782579567410,176,153,177,149
90,1782579567877,174,156,178,151
91,1782579568243,173,153,175,143
92,1782579569425,175,155,175,158
93,1782579569692,169,155,169,140
94,1782579570907,169,147,166,144
95,1782579571241,165,145,163,149
96,1782579573506,137,119,135,112
97,1782579573939,131,116,133,114
98,1782579575953,126,118,125,120
99,1782579576354,123,126,123,130
100,1782579578035,119,135,120,138
101,1782579578468,124,137,120,155
102,1782579580866,125,143,125,130
103,1782579583247,138,156,137,143
104,1782579585662,158,189,160,368
105,1782579586544,169,184,170,61
106,1782579587461,161,194,152,190
107,1782579588427,168,182,169,165
108,1782579588809,176,179,180,181
109,1782579589192,184,174,183,172
110,1782579589625,187,167,187,170
111,1782579590558,189,168,194,164
112,1782579590924,192,175,190,154
113,1782579591724,197,171,196,169
114,1782579592090,195,169,197,171
115,1782579593339,188,171,187,181
116,1782579593706,196,170,198,173
117,1782579594406,187,162,184,164
118,1782579594787,183,162,181,171
119,1782579595637,176,154,175,150
120,1782579596036,173,148,173,152
121,1782579596387,172,149,174,143
122,1782579597102,162,142,161,142
123,1782579597502,163,144,165,134
124,1782579599850,155,143,155,143
125,1782579601066,137,153,134,157
126,1782579601932,133,150,134,158
127,1782579602282,139,141,137,78
128,1782579603497,128,145,127,148
129,1782579604379,126,138,121,147
130,1782579604763,123,140,124,75
131,1782579605695,140,162,136,155
132,1782579606128,145,174,142,182
133,1782579606145,159,180,153,172
134,1782579606478,164,198,166,102
135,1782579606895,175,202,173,104
136,1782579607743,201,230,193,229
137,1782579608126,201,234,197,227
138,1782579608610,208,233,207,221
139,1782579608976,209,234,204,235
140,1782579609908,211,240,215,235
141,1782579611174,232,228,231,206
142,1782579612007,232,212,235,211
143,1782579614221,254,227,255,234
144,1782579614821,261,227,262,251
145,1782579615254,534,229,261,223
146,1782579616069,267,227,262,228
147,1782579616936,265,225,267,226
148,1782579617402,246,238,429,226
149,1782579619084,253,246,257,245
150,1782579619501,235,263,234,271
151,1782579620916,211,250,214,242
152,1782579622164,212,249,205,247
153,1782579622514,219,240,207,250
154,1782579623064,214,243,216,258
155,1782579623547,214,251,211,249
156,1782579623897,225,246,220,254
157,1782579625096,220,249,217,251
158,1782579626178,216,249,210,248
159,1782579626544,221,245,217,238
160,1782579627760,250,251,246,251
161,1782579628709,230,240,234,231
162,1782579629908,260,219,262,229
163,1782579630175,257,209,262,217
164,1782579630741,249,205,255,211
165,1782579631174,247,199,245,208
166,1782579632040,197,154,198,148
167,1782579632406,178,143,177,144
168,1782579632756,172,136,153,129
169,1782579633239,147,115,141,113
170,1782579634121,96,89,102,91
171,1782579634587,81,81,80,88
172,1782579635320,46,45,44,44
173,1782579636286,15,21,13,15
174,1782579636669,0,0,0,0
175,1782579637851,0,0,0,0
176,1782579638701,0,0,0,0
177,1782579639117,0,0,0,0
178,1782579641132,0,0,0,0
179,1782579641531,0,0,11,26
180,1782579643246,0,0,0,0
181,1782579643647,0,0,0,0
182,1782579644496,0,0,0,0
183,1782579645329,0,0,0,0
184,1782579645744,0,0,0,0
185,1782579648327,0,0,0,0
186,1782579648642,0,0,0,0
187,1782579649025,0,0,0,0
188,1782579650091,0,0,0,0
189,1782579650491,0,0,0,0
190,1782579651656,0,0,0,0
191,1782579651957,0,0,0,0
192,1782579653105,0,0,0,0
193,1782579654371,0,0,0,0
194,1782579655220,0,0,10,11
195,1782579656136,0,0,0,2
196,1782579656486,0,0,0,0
197,1782579656902,0,0,0,0
198,1782579657302,0,0,0,0
199,1782579657701,0,0,0,0
200,1782579658717,0,0,0,0
201,1782579659517,0,0,0,0
202,1782579660399,0,0,0,0
203,1782579660815,0,0,0,0
204,1782579662863,39,43,40,42
205,1782579663264,46,55,47,54
206,1782579665278,122,128,123,127
207,1782579666261,154,157,158,158
208,1782579666511,156,162,159,160
209,1782579667077,173,167,171,168
210,1782579667510,185,170,185,172
211,1782579668392,194,175,190,206
212,1782579669092,203,181,207,178
213,1782579669242,211,185,209,188
214,1782579670541,220,193,215,200
215,1782579672622,245,211,246,207
216,1782579673039,244,216,249,236
217,1782579673355,248,220,251,221
218,1782579673954,256,225,251,222
219,1782579674054,256,228,252,235
220,1782579674405,265,227,258,222
221,1782579675920,267,247,268,250
222,1782579677401,216,256,236,267
223,1782579677734,206,253,224,12555
224,1782579679716,244,276,243,269
225,1782579680099,248,275,255,280
226,1782579682131,244,275,238,273
227,1782579682531,239,276,247,292
228,1782579684579,280,254,280,250
229,1782579686711,298,259,304,287
230,1782579689092,294,246,301,277
231,1782579689508,289,251,306,294
232,1782579690357,302,281,304,288
233,1782579690674,285,318,644,324
234,1782579691240,271,317,293,313
235,1782579691607,281,309,292,339
236,1782579692922,231,266,252,265
237,1782579693205,233,262,256,287
238,1782579693721,228,266,244,270
239,1782579694637,249,283,247,279
240,1782579694953,251,278,248,294
241,1782579695819,249,274,258,244
242,1782579697085,241,273,238,276
243,1782579697469,245,269,545,268
244,1782579698250,244,242,242,253
245,1782579699866,228,246,230,255
246,1782579700632,249,242,245,226
247,1782579700948,260,229,261,223
248,1782579701299,242,207,256,225
249,1782579702164,201,12446,1035,141
250,1782579702548,192,137,167,116
251,1782579702916,169,127,166,116
252,1782579703346,136,104,117,86
253,1782579703696,118,91,121,91
254,1782579705161,49,42,51,53
255,1782579706028,25,24,25,20
256,1782579707343,0,0,0,0
257,1782579707759,0,0,3,16
258,1782579708192,18,16,21,19
259,1782579709474,47,52,50,54
260,1782579709857,40,43,44,46
261,1782579710190,34,37,35,44
262,1782579710224,27,32,26,30
263,1782579710597,19,23,21,20
264,1782579710940,13,19,14,15
265,1782579711856,0,0,0,0
266,1782579712222,0,0,0,0
267,1782579712705,0,0,0,0
268,1782579714070,0,0,0,0
269,1782579715869,0,0,0,0
270,1782579716235,0,0,0,0
271,1782579717118,0,0,0,0
272,1782579717368,0,0,0,0
273,1782579717950,0,0,0,0
274,1782579718284,0,0,0,0
275,1782579719216,0,0,0,0
276,1782579719633,0,0,0,0
277,1782579719849,0,0,0,0
278,1782579720065,0,0,0,0
279,1782579720482,0,0,0,0
280,1782579721365,0,0,0,0
281,1782579721747,0,0,0,0
282,1782579782581,0,0,0,0
283,1782579783131,0,0,0,0
284,1782579783215,0,0,0,0
285,1782579783780,0,0,0,0
286,1782579784429,0,0,0,0
287,1782579785129,0,0,0,0
288,1782579786761,0,0,0,0
289,1782579789643,0,0,0,0
290,1782579790173,0,0,0,0
291,1782579795336,0,0,0,0
292,1782579795686,0,0,0,0
293,1782579797684,0,0,0,0
294,1782579797867,0,0,0,0
295,1782579798150,0,0,0,0
296,1782579798467,0,0,0,0
297,1782579798767,0,0,0,0
298,1782579799083,0,0,0,0
299,1782579799317,0,0,0,0
300,1782579799682,0,0,0,0
301,1782579800015,0,0,0,0
302,1782579800964,0,0,0,0
303,1782579801581,0,0,0,0
304,1782579801847,0,0,0,0
305,1782579802130,0,0,0,0
306,1782579805195,0,0,0,0
307,1782579805477,0,0,0,0
308,1782579805794,0,0,0,0
309,1782579806078,0,0,0,0
310,1782579806360,0,0,0,0
311,1782579806676,0,0,0,0
312,1782579807060,0,0,0,0
313,1782579809924,0,0,0,0
314,1782579810324,0,0,0,0
315,1782579810923,0,0,0,0
316,1782579811223,0,0,0,0
317,1782579811523,0,0,0,0
318,1782579811788,0,0,0,0
319,1782579812072,0,0,0,0
320,1782579814870,0,0,0,0
321,1782579815069,0,0,0,0
322,1782579815419,0,0,0,0
323,1782579815636,0,0,0,0
324,1782579815986,0,0,0,0
325,1782579816169,0,0,0,0
326,1782579816535,0,0,0,0
