index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR
0,1782579299137,0,0,0
1,1782579299471,0,0,0
2,1782579300802,0,0,0
3,1782579301152,0,0,0
4,1782579301534,0,0,0
5,1782579301818,0,0,0
6,1782579302051,0,0,0
7,1782579302218,0,0,0
8,1782579302834,0,0,0
9,1782579303084,0,0,0
10,1782579303416,0,0,0
11,1782579303750,0,0,0
12,1782579303999,0,0,0
13,1782579304282,0,0,0
14,1782579307080,1215,13,0
15,1782579307263,571,254,1
16,1782579308495,4024,145,7
17,1782579308912,4324,109,6
18,1782579309211,4459,102,6
19,1782579309361,4552,79,4
20,1782579309944,0,0,0
21,1782579311643,0,0,0
22,1782579311793,0,0,0
23,1782579312010,0,0,0
24,1782579313309,0,0,0
25,1782579313709,0,0,0
26,1782579314556,0,0,0
27,1782579315125,0,0,0
28,1782579315489,0,0,0
29,1782579517868,0,0,0
30,1782579518452,0,0,0
31,1782579519068,0,0,0
32,1782579519651,0,0,0
33,1782579520250,0,0,0
34,1782579520849,0,0,0
35,1782579528843,0,0,0
36,1782579529109,0,0,0
37,1782579529392,0,0,0
38,1782579531091,0,0,0
39,1782579531357,0,0,0
40,1782579531675,0,0,0
41,1782579531957,0,0,0
42,1782579532240,0,0,0
43,1782579533606,0,0,0
44,1782579533905,0,0,0
45,1782579534222,0,0,0
46,1782579535953,0,0,0
47,1782579536087,0,0,0
48,1782579536453,0,0,0
49,1782579536753,0,0,0
50,1782579537019,0,0,0
51,1782579537369,0,0,0
52,1782579538251,0,0,0
53,1782579538318,0,0,0
54,1782579538885,0,0,0
55,1782579539434,0,0,0
56,1782579540033,0,0,0
57,1782579540300,0,0,0
58,1782579542298,0,0,0
59,1782579543181,0,0,0
60,1782579543831,0,0,0
61,1782579545845,0,0,0
62,1782579546295,0,0,0
63,1782579546578,0,0,0
64,1782579546862,0,0,0
65,1782579547194,0,65535,0
66,1782579547444,0,65535,0
67,1782579547727,1,65534,0
68,1782579549693,152,508,1
69,1782579550042,172,537,1
70,1782579550442,201,555,1
