index,date,DESIRED_YAW,MAX_YAW
0,1782582316530,0,0
1,1782582317563,0,0
2,1782582317795,0,0
3,1782582318062,0,0
4,1782582319127,0,0
5,1782582319511,0,0
6,1782582320643,0,0
7,1782582321059,0,0
8,1782582321676,0,0
9,1782582323625,0,0
10,1782582324674,0,0
11,1782582325039,0,0
12,1782582325190,0,0
13,1782582326222,0,0
14,1782582328920,0,0
15,1782582329735,0,0
16,1782582330652,0,0
17,1782582331467,0,0
18,1782582366238,0,0
19,1782582367054,0,0
20,1782582367904,0,0
21,1782582367970,0,0
22,1782582368786,0,0
23,1782582371018,0,0
24,1782582371401,0,0
25,1782582371750,0,0
26,1782582372150,0,0
27,1782582372499,0,0
28,1782582372750,0,0
29,1782582373166,0,0
30,1782582373465,0,0
31,1782582373832,0,0
32,1782582374098,0,0
33,1782582374314,0,0
34,1782582374831,0,0
35,1782582375115,0,0
36,1782582375380,0,0
37,1782582375797,0,0
38,1782582376930,0,0
39,1782582377296,0,0
40,1782582378761,0,0
41,1782582379044,0,0
42,1782582382008,0,0
43,1782582384206,0,0
44,1782582384557,0,0
45,1782582385173,0,0
46,1782582385440,0,0
47,1782582385789,0,0
48,1782582386072,0,0
49,1782582386421,0,0
50,1782582386504,0,0
51,1782582386805,0,0
52,1782582387139,0,0
53,1782582387437,0,0
54,1782582387787,0,0
55,1782582390418,0,0
56,1782582390818,0,0
57,1782582391167,0,0
58,1782582391351,0,0
59,1782582391617,0,0
60,1782582391950,0,0
61,1782582392316,0,0
62,1782582392599,0,0
63,1782582392966,0,0
64,1782582394032,0,0
65,1782582395863,0,0
66,1782582396113,0,0
67,1782582397329,0,0
68,1782582397745,0,0
69,1782582398045,0,0
70,1782582398844,0,0
71,1782582399194,0,0
72,1782582400925,0,0
73,1782582402425,0,0
74,1782582402807,0,0
75,1782582403707,0,0
76,1782582404006,0,0
77,1782582406405,0,0
78,1782582406655,0,0
79,1782582408620,0,0
80,1782582408920,0,0
81,1782582409287,0,0
82,1782582410984,0,0
83,1782582411317,0,0
84,1782582411584,0,0
85,1782582411867,0,0
86,1782582412166,0,0
87,1782582412516,0,0
88,1782582412750,0,0
89,1782582413432,0,0
90,1782582413632,0,0
91,1782582417496,0,0
92,1782582417778,0,0
93,1782582418029,0,0
94,1782582419161,0,0
95,1782582419526,0,0
96,1782582419843,0,0
97,1782582420110,0,0
98,1782582420493,0,0
99,1782582421226,0,0
100,1782582421576,0,0
101,1782582421892,0,0
102,1782582422242,0,0
103,1782582422608,0,0
104,1782582422892,0,0
105,1782582423058,0,0
106,1782582423308,0,0
107,1782582423607,0,0
108,1782582424040,0,0
109,1782582424274,0,0
110,1782582424540,0,0
111,1782582424906,0,0
112,1782582425157,0,0
113,1782582425522,0,0
114,1782582425622,0,0
115,1782582426038,0,0
116,1782582426372,0,0
117,1782582432483,0,0
118,1782582434231,0,0
119,1782582434531,0,0
120,1782582438061,0,0
121,1782582438661,0,0
122,1782582440326,0,0
123,1782582440992,0,0
124,1782582441259,0,0
125,1782582442691,0,0
126,1782582442974,0,0
127,1782582443240,0,0
128,1782582443608,0,0
129,1782582443890,0,0
130,1782582445322,0,0
131,1782582449102,0,0
132,1782582449419,0,0
133,1782582449768,0,0
134,1782582450867,0,0
135,1782582451166,0,0
136,1782582451517,0,0
137,1782582451833,0,0
138,1782582452184,0,0
139,1782582452332,0,0
140,1782582452616,0,0
141,1782582452982,0,0
142,1782582453382,0,0
143,1782582453699,0,0
144,1782582455146,0,0
145,1782582455446,0,0
146,1782582456878,0,0
147,1782582457179,0,0
148,1782582457728,0,0
149,1782582458094,0,0
150,1782582458444,0,0
151,1782582458761,0,0
152,1782582459860,0,0
153,1782582460192,0,0
154,1782582460842,0,0
155,1782582461392,0,0
156,1782582461675,0,0
157,1782582462007,0,0
158,1782582462191,0,0
159,1782582462707,0,0
160,1782582462990,0,0
161,1782582463924,0,0
162,1782582464189,0,0
163,1782582469752,0,0
164,1782582471733,0,0
165,1782582472899,0,0
166,1782582473316,0,0
167,1782582474014,0,0
168,1782582474298,0,0
169,1782582474565,0,0
170,1782582474981,0,0
171,1782582475564,0,0
172,1782582475979,0,0
173,1782582477562,0,0
174,1782582478160,0,0
175,1782582478611,0,0
176,1782582480192,0,0
177,1782582480775,0,0
178,1782582481258,0,0
179,1782582481775,0,0
180,1782582482757,0,0
181,1782582483889,0,0
182,1782582484339,0,0
183,1782582485421,0,0
184,1782582486054,0,0
185,1782582486970,0,0
186,1782582487387,0,0
187,1782582487969,0,0
188,1782582488986,0,0
189,1782582489218,0,0
190,1782582493314,0,0
191,1782582494130,0,0
192,1782582495046,0,0
193,1782582495863,0,0
194,1782582498377,0,0
195,1782582498660,0,0
196,1782582500176,0,0
197,1782582500409,0,0
198,1782582500892,0,0
199,1782582501508,0,0
200,1782582501674,0,0
201,1782582503457,0,0
202,1782582505571,0,0
203,1782582505837,0,0
204,1782582506154,0,0
205,1782582507320,0,0
206,1782582507686,0,0
207,1782582508035,0,0
208,1782582508918,0,0
209,1782582509118,0,0
210,1782582509368,0,0
211,1782582509751,0,0
212,1782582510101,0,0
213,1782582510684,0,0
214,1782582510916,0,0
215,1782582511233,0,0
216,1782582511950,0,0
217,1782582512248,0,0
218,1782582512566,0,0
219,1782582512865,0,0
220,1782582513233,0,0
221,1782582513697,0,0
222,1782582515147,0,0
223,1782582515529,0,0
224,1782582515829,0,0
225,1782582516095,0,0
226,1782582516895,0,0
227,1782582517178,0,0
228,1782582517595,0,0
229,1782582517944,0,0
230,1782582518760,0,0
231,1782582519060,0,0
232,1782582519442,0,0
233,1782582523173,0,0
234,1782582525271,0,0
235,1782582525655,0,0
236,1782582525937,0,0
237,1782582526436,0,0
238,1782582526686,0,0
239,1782582527036,0,0
240,1782582527319,0,0
241,1782582527635,0,0
242,1782582527935,0,0
243,1782582528218,0,0
244,1782582529035,0,0
245,1782582529351,0,0
246,1782582529651,0,0
247,1782582530067,0,0
248,1782582530367,0,0
249,1782582530684,0,0
250,1782582530883,0,0
251,1782582531100,0,0
252,1782582531465,0,0
253,1782582531799,0,0
254,1782582532149,0,0
255,1782582534730,0,0
256,1782582535096,0,0
257,1782582535413,0,0
258,1782582535696,0,0
259,1782582536195,0,0
260,1782582537061,0,0
261,1782582537461,0,0
262,1782582537777,0,0
263,1782582538077,0,0
264,1782582538244,0,0
265,1782582538510,0,0
266,1782582538826,0,0
267,1782582539076,0,0
268,1782582540009,0,0
269,1782582540408,0,0
270,1782582540641,0,0
271,1782582540841,0,0
272,1782582542306,0,0
273,1782582543773,0,0
274,1782582544205,0,0
275,1782582544788,0,0
276,1782582545171,0,0
277,1782582545470,0,0
278,1782582545671,0,0
279,1782582546070,0,0
280,1782582547086,0,0
281,1782582548651,0,0
282,1782582549700,0,0
283,1782582551266,0,0
284,1782582552298,0,0
285,1782582552731,0,0
286,1782582552815,0,0
287,1782582553830,0,0
288,1782582554297,0,0
289,1782582554863,0,0
290,1782582555812,0,0
291,1782582556828,0,0
292,1782582557744,0,0
293,1782582558760,0,0
294,1782582559809,0,0
295,1782582561341,0,0
296,1782582562939,0,0
297,1782582564355,0,0
298,1782582564904,0,0
299,1782582565271,0,0
300,1782582565820,0,0
301,1782582566853,0,0
302,1782582567719,0,0
303,1782582568085,0,0
304,1782582569517,0,0
305,1782582569617,0,0
306,1782582569900,0,0
307,1782582570316,0,0
308,1782582570933,0,0
309,1782582571333,0,0
310,1782582573265,0,0
311,1782582573980,0,0
312,1782582575212,0,0
313,1782582576228,0,0
314,1782582577011,0,0
315,1782582577777,0,0
316,1782582578260,0,0
317,1782582578843,0,0
318,1782582579293,0,0
319,1782582579393,0,0
320,1782582579825,0,0
321,1782582580408,0,0
322,1782582580825,0,0
323,1782582581473,0,0
324,1782582583356,0,0
325,1782582584388,0,0
326,1782582584938,0,0
327,1782582586020,0,0
328,1782582586436,0,0
329,1782582586586,0,0
330,1782582586985,0,0
331,1782582587985,0,0
332,1782582589501,0,0
333,1782582589933,0,0
334,1782582590550,0,0
335,1782582592448,0,0
336,1782582592864,0,0
337,1782582595379,0,0
338,1782582596528,0,0
339,1782582597543,0,0
340,1782582598476,0,0
341,1782582598975,0,0
342,1782582599392,0,0
343,1782582600041,0,0
344,1782582601624,0,0
345,1782582602723,0,0
346,1782582604338,0,0
347,1782582605003,0,0
348,1782582605404,0,0
349,1782582606919,0,0
350,1782582607951,0,0
351,1782582608318,0,0
352,1782582608885,0,0
353,1782582610515,0,0
354,1782582611515,0,0
355,1782582612098,0,0
356,1782582612564,0,0
357,1782582614129,0,0
358,1782582615162,0,0
359,1782582616644,0,0
360,1782582617761,0,0
361,1782582618010,0,0
362,1782582618227,0,0
363,1782582619641,0,0
364,1782582621557,0,0
365,1782582622639,0,0
366,1782582622855,0,0
367,1782582623056,0,0
368,1782582624771,0,0
369,1782582625370,0,0
370,1782582625636,0,0
371,1782582626286,0,0
372,1782582626669,0,0
373,1782582627268,0,0
374,1782582627585,0,0
375,1782582629202,0,0
376,1782582631182,0,0
377,1782582632198,0,0
378,1782582632565,0,0
379,1782582632681,0,0
380,1782582633164,0,0
381,1782582633763,0,0
382,1782582634762,0,0
383,1782582635329,0,0
384,1782582635778,0,0
385,1782582636477,0,0
386,1782582637094,0,0
387,1782582637343,0,0
388,1782582637660,0,0
389,1782582638825,0,0
390,1782582639425,0,0
391,1782582639741,0,0
392,1782582640391,0,0
393,1782582641357,0,0
394,1782582642922,0,0
395,1782582643372,0,0
396,1782582644054,0,0
397,1782582644970,0,0
398,1782582645670,0,0
399,1782582646719,0,0
400,1782582647018,0,0
401,1782582647485,0,0
402,1782582647885,0,0
403,1782582648467,0,0
