index,date,MAX_CELL_VOLTAGE,MIN_CELL_VOLTAGE,MAX_CELL_TEMP,TRACTIVE_VOLTAGE
0,1782569786102,33148,32806,298,78.950000000000003
1,1782569786701,33148,32807,298,78.950000000000003
2,1782569788965,33148,32807,298,78.950000000000003
3,1782569790297,33147,32807,298,78.950000000000003
4,1782569791231,33148,32807,298,78.950000000000003
5,1782569791647,33148,32806,298,78.950000000000003
6,1782569793095,33148,32807,298,78.950000000000003
7,1782569795625,33147,32807,298,78.950000000000003
8,1782569798073,33148,32807,298,78.950000000000003
9,1782569800470,33148,32807,298,78.950000000000003
10,1782569800703,33148,32807,298,78.950000000000003
11,1782569801371,33149,32807,298,78.950000000000003
12,1782569801519,33148,32806,298,78.950000000000003
13,1782569807731,33148,32807,298,78.950000000000003
14,1782569808363,33147,32806,298,78.950000000000003
15,1782569808929,33149,32807,298,78.950000000000003
16,1782569809112,33148,32807,298,78.950000000000003
17,1782569811260,33148,32807,298,78.950000000000003
18,1782569811809,33147,32807,298,78.950000000000003
19,1782569813275,33148,32807,298,78.950000000000003
20,1782569813990,33149,32807,298,78.950000000000003
21,1782569818503,33148,32807,298,78.950000000000003
22,1782569819185,33148,32807,298,78.950000000000003
23,1782569820218,33149,32807,298,78.950000000000003
24,1782569820384,33149,32807,298,78.950000000000003
25,1782569822098,33148,32807,298,78.950000000000003
26,1782569823381,33149,32808,298,78.950000000000003
27,1782569824597,33149,32807,298,78.950000000000003
28,1782569828859,33149,32808,298,78.950000000000003
29,1782569830440,33149,32808,298,78.950000000000003
30,1782569830839,33149,32807,298,78.950000000000003
31,1782569831356,33148,32808,298,78.950000000000003
32,1782569832155,33149,32807,298,78.950000000000003
33,1782569835435,33149,32807,298,78.950000000000003
34,1782569836151,33149,32808,298,78.950000000000003
35,1782569837299,33149,32807,298,78.950000000000003
36,1782569838115,33149,32808,298,78.950000000000003
37,1782569839848,33149,32807,298,78.950000000000003
38,1782569840331,33150,32807,298,78.950000000000003
39,1782569840663,33150,32808,298,78.950000000000003
40,1782569845458,33149,32808,298,78.950000000000003
41,1782569846073,33149,32808,298,78.950000000000003
42,1782569847239,33150,32807,298,78.950000000000003
43,1782569847389,33149,32807,298,78.950000000000003
44,1782569847973,33149,32807,298,78.950000000000003
45,1782569851768,33149,32807,298,78.950000000000003
46,1782569852301,33150,32808,298,78.950000000000003
47,1782569854165,33149,32807,298,78.950000000000003
48,1782569854748,33148,32808,298,78.950000000000003
49,1782569858711,33150,32808,298,78.950000000000003
50,1782569858861,33150,32807,298,78.950000000000003
51,1782569859776,33150,32808,298,78.950000000000003
52,1782569864722,33148,32808,298,78.950000000000003
53,1782569867486,33149,32807,298,78.950000000000003
54,1782569868651,33148,32808,298,78.950000000000003
55,1782569870083,33150,32808,298,78.950000000000003
56,1782569870566,33149,32807,298,78.950000000000003
57,1782569872031,33150,32808,298,78.950000000000003
58,1782569872281,33149,32808,298,78.950000000000003
