index,date,SPEED_FL,SPEED_FR,SPEED_RL,SPEED_RR
0,1782569779991,0,0,0,0
1,1782569780558,0,0,0,0
2,1782569780624,0,0,0,0
3,1782569781190,0,0,0,0
4,1782569781823,0,0,0,0
5,1782569782539,0,0,0,0
6,1782569784453,0,0,0,0
7,1782569784753,0,0,0,0
8,1782569785036,0,0,0,0
9,1782569787916,0,0,0,0
10,1782569790747,0,0,0,0
11,1782569791030,0,0,0,0
12,1782569791579,0,0,0,0
13,1782569791879,0,0,0,0
14,1782569792445,0,0,0,0
15,1782569792612,0,0,0,0
16,1782569792878,0,0,0,0
17,1782569793212,0,0,0,0
18,1782569793527,0,0,0,0
19,1782569793827,0,0,0,0
20,1782569794427,0,0,0,0
21,1782569795043,0,0,0,0
22,1782569795475,0,0,0,0
23,1782569795825,0,0,0,0
24,1782569796091,0,0,0,0
25,1782569796375,0,0,0,0
26,1782569796625,0,0,0,0
27,1782569796924,0,0,0,0
28,1782569797158,0,0,0,0
29,1782569800155,0,0,0,0
30,1782569800520,0,0,0,0
31,1782569800820,0,0,0,0
32,1782569801103,0,0,0,0
33,1782569801403,0,0,0,0
34,1782569801653,0,0,0,0
35,1782569802268,0,0,0,0
36,1782569802336,0,0,0,0
37,1782569802635,0,0,0,0
38,1782569802918,0,0,0,0
39,1782569803534,0,0,0,0
40,1782569803867,0,0,0,0
41,1782569804333,0,0,0,0
42,1782569805216,0,0,0,0
43,1782569805526,0,0,0,0
44,1782569805798,0,0,0,0
45,1782569806348,0,0,0,0
46,1782569806616,0,0,0,0
47,1782569806947,0,0,0,0
48,1782569807198,0,0,0,0
49,1782569809877,0,0,0,0
50,1782569810094,0,0,0,0
51,1782569810410,0,0,0,0
52,1782569810728,0,0,0,0
53,1782569811542,0,0,0,0
54,1782569811909,0,0,0,0
55,1782569812026,0,0,0,0
56,1782569813141,0,0,0,0
57,1782569813408,0,0,0,0
58,1782569813724,0,0,0,0
59,1782569814041,0,0,0,0
60,1782569814340,0,0,0,0
61,1782569819685,0,0,0,0
62,1782569819985,0,0,0,0
63,1782569826811,0,0,0,0
64,1782569828059,0,0,0,0
65,1782569828326,0,0,0,0
66,1782569830390,0,0,0,0
67,1782569830624,0,0,0,0
68,1782569830923,0,0,0,0
69,1782569831206,0,0,0,0
70,1782569831473,0,0,0,0
71,1782569834188,0,0,0,0
72,1782569834305,0,0,0,0
73,1782569834587,0,0,0,0
74,1782569836883,0,0,0,0
75,1782569837135,0,0,0,0
76,1782569837466,0,0,0,0
77,1782569837716,0,0,0,0
78,1782569839130,0,0,0,0
79,1782569839347,0,0,0,0
80,1782569839632,0,0,0,0
81,1782569839963,0,0,0,0
82,1782569840146,0,0,0,0
83,1782569840447,0,0,0,0
84,1782569840780,0,0,0,0
85,1782569841079,0,0,0,0
86,1782569841295,0,0,0,0
87,1782569842095,0,0,0,0
88,1782569843510,0,0,0,0
89,1782569846671,0,0,0,0
90,1782569847773,0,0,0,0
91,1782569848056,0,0,0,0
92,1782569848388,0,0,0,0
93,1782569848688,0,0,0,0
94,1782569848788,0,0,0,0
95,1782569849121,0,0,0,0
96,1782569849422,0,0,0,0
97,1782569849688,0,0,0,0
98,1782569849906,0,0,0,0
99,1782569850287,0,0,0,0
100,1782569850552,0,0,0,0
101,1782569850886,0,0,0,0
102,1782569851085,0,0,0,0
103,1782569852284,0,0,0,0
104,1782569852500,0,0,0,0
105,1782569852751,0,0,0,0
106,1782569853051,0,0,0,0
107,1782569853350,0,0,0,0
108,1782569856996,0,0,0,0
109,1782569857329,0,0,0,0
110,1782569857595,0,0,0,0
111,1782569857912,0,0,0,0
112,1782569858428,0,0,0,0
113,1782569861025,0,0,0,0
114,1782569861343,0,0,0,0
115,1782569861608,0,0,0,0
116,1782569863507,0,0,0,0
117,1782569863773,0,0,0,0
118,1782569863973,0,0,0,0
119,1782569864272,0,0,0,0
120,1782569864523,0,0,0,0
121,1782569864838,0,0,0,0
122,1782569865156,0,0,0,0
123,1782569865455,0,0,0,0
124,1782569870717,0,0,0,0
125,1782569870983,0,0,0,0
126,1782569871265,0,0,0,0
127,1782569871565,0,0,0,0
128,1782569871814,0,0,0,0
129,1782569872181,0,0,0,0
130,1782569872463,0,0,0,0
