index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
0,1782569779558,0,0,0,0
1,1782569780141,0,0,0,0
2,1782569780774,0,0,0,0
3,1782569781340,0,0,0,0
4,1782569781356,0,0,0,0
5,1782569782022,0,0,0,0
6,1782569782072,0,0,0,0
7,1782569782838,0,0,0,0
8,1782569783104,0,0,0,0
9,1782569783422,0,0,0,0
10,1782569783737,0,0,0,0
11,1782569784004,0,0,0,0
12,1782569784387,0,0,0,0
13,1782569784619,0,0,0,0
14,1782569784970,0,0,0,0
15,1782569785186,0,0,0,0
16,1782569785620,0,0,0,0
17,1782569786218,0,0,0,0
18,1782569786601,0,0,0,0
19,1782569786917,0,0,0,0
20,1782569787201,0,0,0,0
21,1782569787350,0,0,0,0
22,1782569792762,0,0,0,0
23,1782569793045,0,0,0,0
24,1782569795276,0,0,0,0
25,1782569797491,0,0,0,0
26,1782569797706,0,0,0,0
27,1782569798006,0,0,0,0
28,1782569798256,0,0,0,0
29,1782569798555,0,0,0,0
30,1782569798839,0,0,0,0
31,1782569799105,0,0,0,0
32,1782569802501,0,0,0,0
33,1782569802768,0,0,0,0
34,1782569803118,0,0,0,0
35,1782569803417,0,0,0,0
36,1782569804000,0,0,0,0
37,1782569804550,0,0,0,0
38,1782569807364,0,0,0,0
39,1782569807913,0,0,0,0
40,1782569808480,0,0,0,0
41,1782569812176,0,0,0,0
42,1782569812342,0,0,0,0
43,1782569812642,0,0,0,0
44,1782569813043,0,0,0,0
45,1782569813357,0,0,0,0
46,1782569813557,0,0,0,0
47,1782569813874,0,0,0,0
48,1782569814190,0,0,0,0
49,1782569814523,0,0,0,0
50,1782569814890,0,0,0,0
51,1782569815139,0,0,0,0
52,1782569815438,0,0,0,0
53,1782569815755,0,0,0,0
54,1782569816055,0,0,0,0
55,1782569816405,0,0,0,0
56,1782569816673,0,0,0,0
57,1782569816888,0,0,0,0
58,1782569817720,0,0,0,0
59,1782569818570,0,0,0,0
60,1782569818852,0,0,0,0
61,1782569819185,0,0,0,0
62,1782569821682,0,0,0,0
63,1782569823681,0,0,0,0
64,1782569824014,0,0,0,0
65,1782569827011,0,0,0,0
66,1782569827377,0,0,0,0
67,1782569827644,0,0,0,0
68,1782569827943,0,0,0,0
69,1782569828259,0,0,0,0
70,1782569828492,0,0,0,0
71,1782569828726,0,0,0,0
72,1782569829025,0,0,0,0
73,1782569831739,0,0,0,0
74,1782569831922,0,0,0,0
75,1782569833071,0,0,0,0
76,1782569834455,0,0,0,0
77,1782569834770,0,0,0,0
78,1782569835006,0,0,0,0
79,1782569835170,0,0,0,0
80,1782569835502,0,0,0,0
81,1782569836085,0,0,0,0
82,1782569836317,0,0,0,0
83,1782569841462,0,0,0,0
84,1782569841611,0,0,0,0
85,1782569841994,0,0,0,0
86,1782569842244,0,0,0,0
87,1782569842594,0,0,0,0
88,1782569842778,0,0,0,0
89,1782569843143,0,0,0,0
90,1782569843361,0,0,0,0
91,1782569843676,0,0,0,0
92,1782569848938,0,0,0,0
93,1782569849271,0,0,0,0
94,1782569849840,0,0,0,0
95,1782569851235,0,0,0,0
96,1782569851468,0,0,0,0
97,1782569851834,0,0,0,0
98,1782569852118,0,0,0,0
99,1782569852664,0,0,0,0
100,1782569852984,0,0,0,0
101,1782569853216,0,0,0,0
102,1782569853549,0,0,0,0
103,1782569855064,0,0,0,0
104,1782569855397,0,0,0,0
105,1782569855647,0,0,0,0
106,1782569858644,0,0,0,0
107,1782569858944,0,0,0,0
108,1782569859227,0,0,0,0
109,1782569859527,0,0,0,0
110,1782569859860,0,0,0,0
111,1782569860043,0,0,0,0
112,1782569860343,0,0,0,0
113,1782569861192,0,0,0,0
114,1782569862008,0,0,0,0
115,1782569862225,0,0,0,0
116,1782569862492,0,0,0,0
117,1782569862775,0,0,0,0
118,1782569863007,0,0,0,0
119,1782569864206,0,0,0,0
120,1782569864422,0,0,0,0
121,1782569864755,0,0,0,0
122,1782569864990,0,0,0,0
123,1782569865323,0,0,0,0
124,1782569865606,0,0,0,0
125,1782569865755,0,0,0,0
126,1782569867735,0,0,0,0
127,1782569871132,0,0,0,0
128,1782569871431,0,0,0,0
129,1782569871981,0,0,0,0
