index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
0,1782569779591,0,0,0
1,1782569780141,0,0,0
2,1782569780790,0,0,0
3,1782569782039,0,0,0
4,1782569782089,0,0,0
5,1782569782738,0,0,0
6,1782569782871,0,0,0
7,1782569783121,0,0,0
8,1782569783455,0,0,0
9,1782569783737,0,0,0
10,1782569784037,0,0,0
11,1782569784421,0,0,0
12,1782569784636,0,0,0
13,1782569785003,0,0,0
14,1782569785203,0,0,0
15,1782569785652,0,0,0
16,1782569785918,0,0,0
17,1782569786235,0,0,0
18,1782569786601,0,0,0
19,1782569786934,0,0,0
20,1782569787201,0,0,0
21,1782569787383,0,0,0
22,1782569789598,0,0,0
23,1782569792778,0,0,0
24,1782569793045,0,0,0
25,1782569795292,0,0,0
26,1782569797508,0,0,0
27,1782569797740,0,0,0
28,1782569798039,0,0,0
29,1782569798272,0,0,0
30,1782569798572,0,0,0
31,1782569798855,0,0,0
32,1782569799139,0,0,0
33,1782569799388,0,0,0
34,1782569802502,0,0,0
35,1782569802801,0,0,0
36,1782569803151,0,0,0
37,1782569803434,0,0,0
38,1782569804017,0,0,0
39,1782569804200,0,0,0
40,1782569804583,0,0,0
41,1782569807397,0,0,0
42,1782569807913,0,0,0
43,1782569808496,0,0,0
44,1782569812209,0,0,0
45,1782569812359,0,0,0
46,1782569812659,0,0,0
47,1782569813058,0,0,0
48,1782569813391,0,0,0
49,1782569813607,0,0,0
50,1782569813907,0,0,0
51,1782569814207,0,0,0
52,1782569814523,0,0,0
53,1782569814940,0,0,0
54,1782569815173,0,0,0
55,1782569815456,0,0,0
56,1782569815771,0,0,0
57,1782569816071,0,0,0
58,1782569816405,0,0,0
59,1782569816689,0,0,0
60,1782569816922,0,0,0
61,1782569817737,0,0,0
62,1782569818287,0,0,0
63,1782569818587,0,0,0
64,1782569818870,0,0,0
65,1782569819202,0,0,0
66,1782569821400,0,0,0
67,1782569821716,0,0,0
68,1782569823698,0,0,0
69,1782569824014,0,0,0
70,1782569827027,0,0,0
71,1782569827393,0,0,0
72,1782569827676,0,0,0
73,1782569827976,0,0,0
74,1782569828276,0,0,0
75,1782569828492,0,0,0
76,1782569828743,0,0,0
77,1782569829042,0,0,0
78,1782569831756,0,0,0
79,1782569831938,0,0,0
80,1782569832205,0,0,0
81,1782569833071,0,0,0
82,1782569833321,0,0,0
83,1782569833620,0,0,0
84,1782569834455,0,0,0
85,1782569834770,0,0,0
86,1782569835020,0,0,0
87,1782569835202,0,0,0
88,1782569835519,0,0,0
89,1782569836085,0,0,0
90,1782569836334,0,0,0
91,1782569838598,0,0,0
92,1782569841479,0,0,0
93,1782569841646,0,0,0
94,1782569842011,0,0,0
95,1782569842261,0,0,0
96,1782569842594,0,0,0
97,1782569842810,0,0,0
98,1782569843160,0,0,0
99,1782569843393,0,0,0
100,1782569843693,0,0,0
101,1782569844409,0,0,0
102,1782569848955,0,0,0
103,1782569849855,0,0,0
104,1782569851269,0,0,0
105,1782569851468,0,0,0
106,1782569851784,0,0,0
107,1782569852135,0,0,0
108,1782569852701,0,0,0
109,1782569853216,0,0,0
110,1782569853549,0,0,0
111,1782569854182,0,0,0
112,1782569854765,0,0,0
113,1782569855081,0,0,0
114,1782569855414,0,0,0
115,1782569855680,0,0,0
116,1782569855897,0,0,0
117,1782569858661,0,0,0
118,1782569858961,0,0,0
119,1782569859244,0,0,0
120,1782569859543,0,0,0
121,1782569859860,0,0,0
122,1782569860060,0,0,0
123,1782569860376,0,0,0
124,1782569861192,0,0,0
125,1782569861808,0,0,0
126,1782569862024,0,0,0
127,1782569862508,0,0,0
128,1782569862792,0,0,0
129,1782569863040,0,0,0
130,1782569864223,0,0,0
131,1782569864422,0,0,0
132,1782569864788,0,0,0
133,1782569865025,0,0,0
134,1782569865641,0,0,0
135,1782569865771,0,0,0
136,1782569866270,0,0,0
137,1782569866836,0,0,0
138,1782569867403,0,0,0
139,1782569867752,0,0,0
140,1782569867969,0,0,0
141,1782569871465,0,0,0
142,1782569872014,0,0,0
