index,date,BMS_MODE
0,1782569785369,2
1,1782569786651,2
2,1782569788149,2
3,1782569788998,2
4,1782569790531,2
5,1782569790897,2
6,1782569791196,2
7,1782569791413,2
8,1782569791613,2
9,1782569792212,2
10,1782569792812,2
11,1782569793361,2
12,1782569793627,2
13,1782569793944,2
14,1782569794726,2
15,1782569795359,2
16,1782569796909,2
17,1782569798039,2
18,1782569800438,2
19,1782569800653,2
20,1782569800921,2
21,1782569801403,2
22,1782569801487,2
23,1782569803401,2
24,1782569803451,2
25,1782569805782,2
26,1782569808296,2
27,1782569808895,2
28,1782569809095,2
29,1782569810577,2
30,1782569810876,2
31,1782569811226,2
32,1782569811776,2
33,1782569816739,2
34,1782569818470,2
35,1782569819135,2
36,1782569820168,2
37,1782569820816,2
38,1782569822066,2
39,1782569822798,2
40,1782569826395,2
41,1782569827177,2
42,1782569827577,2
43,1782569828109,2
44,1782569830323,2
45,1782569830506,2
46,1782569830790,2
47,1782569831040,2
48,1782569831306,2
49,1782569832771,2
50,1782569836102,2
51,1782569836750,2
52,1782569837333,2
53,1782569839797,2
54,1782569840280,2
55,1782569842495,2
56,1782569843210,2
57,1782569845474,2
58,1782569845574,2
59,1782569846057,2
60,1782569847189,2
61,1782569847424,2
62,1782569847939,2
63,1782569852034,2
64,1782569852235,2
65,1782569854682,2
66,1782569856746,2
67,1782569857429,2
68,1782569858178,2
69,1782569859726,2
70,1782569861924,2
71,1782569864772,2
72,1782569867503,2
73,1782569868451,2
74,1782569868585,2
75,1782569869933,2
76,1782569870100,2
77,1782569870516,2
78,1782569872064,2
