index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L
0,1782569779675,10,0,0
1,1782569780291,10,0,0
2,1782569780873,10,0,0
3,1782569781457,10,0,0
4,1782569782155,10,0,0
5,1782569782938,10,0,0
6,1782569783204,10,0,0
7,1782569783820,10,0,0
8,1782569784104,10,0,0
9,1782569785269,10,0,0
10,1782569785435,10,0,0
11,1782569785719,10,0,0
12,1782569786001,10,0,0
13,1782569786318,10,0,0
14,1782569787001,10,0,0
15,1782569787283,10,0,0
16,1782569787483,10,0,0
17,1782569788249,10,0,0
18,1782569788516,10,0,0
19,1782569788766,10,0,0
20,1782569789115,10,0,0
21,1782569789382,10,0,0
22,1782569789698,10,0,0
23,1782569789931,10,0,0
24,1782569797590,10,0,0
25,1782569797823,10,0,0
26,1782569798139,10,0,0
27,1782569798356,10,0,0
28,1782569798655,10,0,0
29,1782569798955,10,0,0
30,1782569799272,10,0,0
31,1782569799572,10,0,0
32,1782569799705,10,0,0
33,1782569802585,10,0,0
34,1782569804299,10,0,0
35,1782569804717,10,0,0
36,1782569807464,10,0,0
37,1782569807780,10,0,0
38,1782569808013,10,0,0
39,1782569808280,10,0,0
40,1782569808829,10,0,0
41,1782569809162,10,0,0
42,1782569809412,10,0,0
43,1782569812292,10,0,0
44,1782569812442,10,0,0
45,1782569812791,10,0,0
46,1782569814657,10,0,0
47,1782569815039,10,0,0
48,1782569815256,10,0,0
49,1782569815556,10,0,0
50,1782569815872,10,0,0
51,1782569816155,10,0,0
52,1782569816472,10,0,0
53,1782569816805,10,0,0
54,1782569817005,10,0,0
55,1782569817470,10,0,0
56,1782569817804,10,0,0
57,1782569818069,10,0,0
58,1782569818420,10,0,0
59,1782569818669,10,0,0
60,1782569818969,10,0,0
61,1782569819301,10,0,0
62,1782569820850,10,0,0
63,1782569821167,10,0,0
64,1782569821466,10,0,0
65,1782569821799,10,0,0
66,1782569822283,10,0,0
67,1782569822882,10,0,0
68,1782569823414,10,0,0
69,1782569823781,10,0,0
70,1782569824131,10,0,0
71,1782569824247,10,0,0
72,1782569827460,10,0,0
73,1782569827744,10,0,0
74,1782569828593,10,0,0
75,1782569829175,10,0,0
76,1782569829275,10,0,0
77,1782569831822,10,0,0
78,1782569832006,10,0,0
79,1782569832272,10,0,0
80,1782569832505,10,0,0
81,1782569832822,10,0,0
82,1782569833171,10,0,0
83,1782569833687,10,0,0
84,1782569835318,10,0,0
85,1782569835669,10,0,0
86,1782569835817,10,0,0
87,1782569836202,10,0,0
88,1782569836401,10,0,0
89,1782569838332,10,0,0
90,1782569838681,10,0,0
91,1782569841745,10,0,0
92,1782569842345,10,0,0
93,1782569842877,10,0,0
94,1782569843809,10,0,0
95,1782569843860,10,0,0
96,1782569844192,10,0,0
97,1782569844475,10,0,0
98,1782569844741,10,0,0
99,1782569845025,10,0,0
100,1782569845574,10,0,0
101,1782569845907,10,0,0
102,1782569846140,10,0,0
103,1782569851568,10,0,0
104,1782569853683,10,0,0
105,1782569853932,10,0,0
106,1782569854282,10,0,0
107,1782569854549,10,0,0
108,1782569854848,10,0,0
109,1782569855165,10,0,0
110,1782569855497,10,0,0
111,1782569855747,10,0,0
112,1782569856014,10,0,0
113,1782569858778,10,0,0
114,1782569859060,10,0,0
115,1782569859377,10,0,0
116,1782569859644,10,0,0
117,1782569860126,10,0,0
118,1782569860459,10,0,0
119,1782569860625,10,0,0
120,1782569862107,10,0,0
121,1782569862309,10,0,0
122,1782569862608,10,0,0
123,1782569862859,10,0,0
124,1782569863107,10,0,0
125,1782569865855,10,0,0
126,1782569866120,10,0,0
127,1782569866370,10,0,0
128,1782569866604,10,0,0
129,1782569866937,10,0,0
130,1782569867187,10,0,0
131,1782569867553,10,0,0
132,1782569867886,10,0,0
133,1782569868035,10,0,0
134,1782569868834,10,0,0
135,1782569869134,10,0,0
