index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
0,1782569780307,192,0
1,1782569780890,192,0
2,1782569781473,192,0
3,1782569782189,192,0
4,1782569782955,192,0
5,1782569783221,192,0
6,1782569783854,192,0
7,1782569784137,192,0
8,1782569785302,192,0
9,1782569785469,192,0
10,1782569785752,192,0
11,1782569786036,192,0
12,1782569786351,192,0
13,1782569787517,192,0
14,1782569787634,192,0
15,1782569788266,192,0
16,1782569788549,192,0
17,1782569788799,192,0
18,1782569789132,192,0
19,1782569789431,192,0
20,1782569789732,192,0
21,1782569789964,192,0
22,1782569794443,192,0
23,1782569797606,192,0
24,1782569797873,192,0
25,1782569798156,192,0
26,1782569798356,192,0
27,1782569798672,192,0
28,1782569798955,192,0
29,1782569799288,192,0
30,1782569799538,192,0
31,1782569799755,192,0
32,1782569802602,192,0
33,1782569804733,192,0
34,1782569807480,192,0
35,1782569807780,192,0
36,1782569808014,192,0
37,1782569808280,192,0
38,1782569808596,192,0
39,1782569808846,192,0
40,1782569809412,192,0
41,1782569812475,192,0
42,1782569812824,192,0
43,1782569814689,192,0
44,1782569815073,192,0
45,1782569815273,192,0
46,1782569815573,192,0
47,1782569815872,192,0
48,1782569816171,192,0
49,1782569816505,192,0
50,1782569816822,192,0
51,1782569817022,192,0
52,1782569817504,192,0
53,1782569817837,192,0
54,1782569818103,192,0
55,1782569818453,192,0
56,1782569818669,192,0
57,1782569818969,192,0
58,1782569819319,192,0
59,1782569820300,192,0
60,1782569820568,192,0
61,1782569820883,192,0
62,1782569821200,192,0
63,1782569821499,192,0
64,1782569821815,192,0
65,1782569822301,192,0
66,1782569822566,192,0
67,1782569822898,192,0
68,1782569823115,192,0
69,1782569823431,192,0
70,1782569823798,192,0
71,1782569824131,192,0
72,1782569824280,192,0
73,1782569825678,192,0
74,1782569825978,192,0
75,1782569828593,192,0
76,1782569829292,192,0
77,1782569829824,192,0
78,1782569831839,192,0
79,1782569832039,192,0
80,1782569832305,192,0
81,1782569832505,192,0
82,1782569832838,192,0
83,1782569833171,192,0
84,1782569833421,192,0
85,1782569833720,192,0
86,1782569835104,192,0
87,1782569835352,192,0
88,1782569835817,192,0
89,1782569836202,192,0
90,1782569836434,192,0
91,1782569838065,192,0
92,1782569838681,192,0
93,1782569841762,192,0
94,1782569842362,192,0
95,1782569842910,192,0
96,1782569843826,192,0
97,1782569843876,192,0
98,1782569844209,192,0
99,1782569844509,192,0
100,1782569844759,192,0
101,1782569845025,192,0
102,1782569845607,192,0
103,1782569845941,192,0
104,1782569846173,192,0
105,1782569851568,192,0
106,1782569853699,192,0
107,1782569853966,192,0
108,1782569854282,192,0
109,1782569854582,192,0
110,1782569854865,192,0
111,1782569855181,192,0
112,1782569855531,192,0
113,1782569855781,192,0
114,1782569856014,192,0
115,1782569858794,192,0
116,1782569859077,192,0
117,1782569859393,192,0
118,1782569859644,192,0
119,1782569859960,192,0
120,1782569860159,192,0
121,1782569860643,192,0
122,1782569862325,192,0
123,1782569862608,192,0
124,1782569862874,192,0
125,1782569863140,192,0
126,1782569865871,192,0
127,1782569866120,192,0
128,1782569866404,192,0
129,1782569866620,192,0
130,1782569866937,192,0
131,1782569867203,192,0
132,1782569867569,192,0
133,1782569867919,192,0
134,1782569868069,192,0
135,1782569868853,192,0
136,1782569869169,192,0
