index,date,KP,TI,SLIP
0,1782579299737,0,0,0
1,1782579300036,0,0,0
2,1782579300352,0,0,0
3,1782579300685,0,0,0
4,1782579301002,0,0,0
5,1782579302435,0,0,0
6,1782579302733,0,0,0
7,1782579304865,0,0,0
8,1782579305131,0,0,0
9,1782579305449,0,0,0
10,1782579305781,0,0,0
11,1782579305997,0,0,0
12,1782579306197,0,0,0
13,1782579306530,0,0,0
14,1782579308029,0,0,0
15,1782579310327,0,0,0
16,1782579310695,0,0,0
17,1782579311093,0,0,0
18,1782579312759,0,0,0
19,1782579313126,0,0,0
20,1782579314944,0,0,0
21,1782579316255,0,0,0
22,1782579518102,0,0,0
23,1782579518718,0,0,0
24,1782579519286,0,0,0
25,1782579519335,0,0,0
26,1782579519867,0,0,0
27,1782579520468,0,0,0
28,1782579521116,0,0,0
29,1782579521199,0,0,0
30,1782579521449,0,0,0
31,1782579521783,0,0,0
32,1782579522099,0,0,0
33,1782579522398,0,0,0
34,1782579522664,0,0,0
35,1782579522999,0,0,0
36,1782579523348,0,0,0
37,1782579523531,0,0,0
38,1782579524347,0,0,0
39,1782579524663,0,0,0
40,1782579524996,0,0,0
41,1782579525246,0,0,0
42,1782579525529,0,0,0
43,1782579525880,0,0,0
44,1782579526012,0,0,0
45,1782579526595,0,0,0
46,1782579527178,0,0,0
47,1782579527428,0,0,0
48,1782579528043,0,0,0
49,1782579528344,0,0,0
50,1782579530591,0,0,0
51,1782579533139,0,0,0
52,1782579538535,0,0,0
53,1782579538785,0,0,0
54,1782579539101,0,0,0
55,1782579539318,0,0,0
56,1782579540749,0,0,0
57,1782579540899,0,0,0
58,1782579543431,0,0,0
59,1782579543731,0,0,0
60,1782579544047,0,0,0
61,1782579544314,0,0,0
62,1782579544913,0,0,0
63,1782579545196,0,0,0
64,1782579545462,0,0,0
65,1782579547944,0,0,0
66,1782579548077,0,0,0
67,1782579548343,0,0,0
68,1782579548577,0,0,0
69,1782579548943,0,0,0
70,1782579549226,0,0,0
71,1782579549610,0,0,0
72,1782579550692,0,0,0
73,1782579551940,0,0,0
74,1782579552323,0,0,0
75,1782579553139,0,0,0
76,1782579554005,0,0,0
77,1782579554438,0,0,0
78,1782579556153,0,0,0
79,1782579556537,0,0,0
80,1782579557402,0,0,0
81,1782579558234,0,0,0
82,1782579558668,0,0,0
83,1782579559517,0,0,0
84,1782579559900,0,0,0
85,1782579560117,0,0,0
86,1782579560716,0,0,0
87,1782579561982,0,0,0
88,1782579562381,0,0,0
89,1782579562581,0,0,0
90,1782579562798,0,0,0
91,1782579563230,0,0,0
92,1782579563797,0,0,0
93,1782579564247,0,0,0
94,1782579565962,0,0,0
95,1782579566379,0,0,0
96,1782579567178,0,0,0
97,1782579568360,0,0,0
98,1782579568776,0,0,0
99,1782579570176,0,0,0
100,1782579571341,0,0,0
101,1782579571690,0,0,0
102,1782579572073,0,0,0
103,1782579572256,0,0,0
104,1782579572440,0,0,0
105,1782579572789,0,0,0
106,1782579573189,0,0,0
107,1782579574038,0,0,0
108,1782579574422,0,0,0
109,1782579574671,0,0,0
110,1782579575204,0,0,0
111,1782579575604,0,0,0
112,1782579576436,0,0,0
113,1782579576852,0,0,0
114,1782579577153,0,0,0
115,1782579577668,0,0,0
116,1782579578535,0,0,0
117,1782579578934,0,0,0
118,1782579579284,0,0,0
