index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
0,1782580171286,0,0,0
1,1782580171852,0,0,0
2,1782580404490,0,0,0
3,1782580405489,0,0,0
4,1782580406471,0,0,0
5,1782580407454,124,124,0
6,1782580408537,472,472,0
7,1782580408669,629,629,0
8,1782580409085,652,652,0
9,1782580410151,976,976,0
10,1782580412050,741,741,0
11,1782580413000,0,0,0
12,1782580413449,232,239,0
13,1782580413583,375,375,0
14,1782580413865,468,468,0
15,1782580414831,669,669,0
16,1782580415214,751,751,0
17,1782580416097,975,975,0
18,1782580416446,906,906,0
19,1782580417013,0,0,0
20,1782580417479,0,0,0
21,1782580418112,115,115,0
22,1782580418961,692,692,0
23,1782580419977,951,951,0
24,1782580420943,0,0,0
25,1782580421892,0,0,0
26,1782580422908,0,0,0
27,1782580423158,0,0,0
28,1782580424473,0,0,0
29,1782580426539,0,0,0
30,1782580427154,0,0,0
31,1782580428820,0,0,0
32,1782580429403,0,0,0
33,1782580429885,0,0,0
34,1782580431400,0,0,0
35,1782580432516,0,0,0
36,1782580433050,0,0,0
37,1782580434115,0,0,0
38,1782580434666,0,0,0
39,1782580435148,0,0,0
40,1782580435380,0,0,0
41,1782580435713,0,0,0
42,1782580436346,0,0,0
43,1782580437345,0,0,0
44,1782580437644,0,0,0
45,1782580437895,0,0,0
46,1782580438294,0,0,0
47,1782580439293,0,0,0
48,1782580440825,0,0,0
49,1782580442141,0,0,0
50,1782580442407,0,0,0
51,1782580442990,0,0,0
52,1782580443374,0,0,0
53,1782580444672,0,0,0
54,1782580444906,0,0,0
55,1782580445605,0,0,0
56,1782580446255,0,0,0
57,1782580447255,0,0,0
58,1782580447870,0,0,0
59,1782580448985,0,0,0
60,1782580449618,0,0,0
61,1782580450168,0,0,0
62,1782580450618,0,0,0
63,1782580451201,0,0,0
64,1782580452816,0,0,0
65,1782580453915,0,0,0
66,1782580455447,0,0,0
67,1782580457728,0,0,0
68,1782580458844,766,766,0
69,1782580459576,972,972,0
70,1782580459793,974,974,0
71,1782580460375,964,964,0
72,1782580460792,887,887,0
73,1782580461441,769,769,0
74,1782580461841,872,872,0
75,1782580461974,858,858,0
76,1782580462407,822,822,160
77,1782580462990,926,926,0
78,1782580463373,971,971,0
79,1782580464123,873,873,0
80,1782580464639,830,830,0
81,1782580465072,828,828,0
82,1782580465638,822,822,0
83,1782580466004,788,788,0
84,1782580466987,828,828,0
85,1782580467886,805,805,0
86,1782580468253,796,796,0
87,1782580470051,747,747,0
88,1782580470467,776,776,0
89,1782580471350,722,722,0
90,1782580472282,729,729,0
91,1782580472649,777,777,0
92,1782580473215,764,764,0
93,1782580474131,765,765,0
94,1782580475213,765,765,0
95,1782580476262,778,778,0
96,1782580477128,807,807,0
97,1782580478077,865,865,0
98,1782580479060,879,879,0
99,1782580480026,866,866,0
100,1782580481058,666,666,0
101,1782580481591,682,682,0
102,1782580482657,717,717,0
103,1782580484222,707,706,0
104,1782580485288,867,867,0
105,1782580486820,895,895,0
106,1782580487969,317,317,0
107,1782580489169,812,812,0
108,1782580489584,793,793,0
109,1782580490300,806,806,0
110,1782580491500,785,785,0
111,1782580491916,836,836,0
112,1782580492548,832,832,0
113,1782580492965,792,792,0
114,1782580493548,823,823,0
115,1782580494397,698,698,0
116,1782580494813,660,660,0
117,1782580496628,929,929,0
118,1782580497045,895,895,0
119,1782580497927,879,879,0
120,1782580498760,844,844,0
121,1782580499243,802,802,0
122,1782580499793,803,803,0
123,1782580500259,791,791,0
124,1782580500792,813,809,0
125,1782580501791,813,813,0
126,1782580502157,821,821,0
127,1782580503589,824,824,0
128,1782580504672,811,811,0
129,1782580505937,951,951,0
130,1782580506370,891,891,0
131,1782580508951,893,893,0
132,1782580509584,861,861,0
133,1782580510050,857,857,0
134,1782580510317,329,329,0
135,1782580510517,0,0,0
136,1782580511583,0,0,0
137,1782580512598,0,0,0
138,1782580513181,0,0,0
139,1782580513797,114,114,0
140,1782580514264,176,176,0
141,1782580514847,352,352,0
142,1782580515762,865,865,0
143,1782580516828,954,954,0
144,1782580518510,951,951,0
145,1782580519059,887,887,0
146,1782580519543,847,847,0
147,1782580521091,376,376,0
148,1782580522090,669,669,0
149,1782580522307,656,656,0
150,1782580522940,643,643,0
151,1782580523889,745,745,0
152,1782580524356,763,763,0
153,1782580524955,0,0,0
154,1782580525205,0,0,0
155,1782580526104,0,0,0
156,1782580527969,0,0,0
157,1782580528335,0,0,0
158,1782580529351,0,0,0
159,1782580529618,0,0,0
160,1782580529850,0,0,0
161,1782580530334,0,0,0
162,1782580531333,0,0,0
163,1782580532948,0,0,0
164,1782580533614,0,0,0
165,1782580534247,0,0,0
166,1782580535229,0,0,0
167,1782580536245,0,0,0
168,1782580537144,0,0,0
169,1782580538110,0,0,0
170,1782580539077,0,0,0
171,1782580540059,0,0,0
172,1782580541058,0,0,0
173,1782580542007,0,0,0
174,1782580542589,0,0,0
175,1782580543006,0,0,0
176,1782580543655,0,0,0
177,1782580544305,0,0,0
178,1782580544622,0,0,0
179,1782580545238,0,0,0
180,1782580546321,0,0,0
181,1782580546570,0,0,0
182,1782580546853,0,0,0
183,1782580547906,0,0,0
184,1782580548835,0,0,0
185,1782580549784,0,0,0
186,1782580551099,0,0,0
187,1782580552315,0,0,0
188,1782580553231,0,0,0
189,1782580553830,0,0,0
190,1782580554197,0,0,0
191,1782580555896,0,0,0
192,1782580556129,0,0,0
193,1782580556846,0,0,0
194,1782580557480,0,0,0
195,1782580557895,0,0,0
196,1782580559443,0,0,0
197,1782580560110,0,0,0
198,1782580560544,0,0,0
199,1782580561708,0,0,0
200,1782580562141,0,0,0
201,1782580562757,0,0,0
202,1782580563157,0,0,0
203,1782580563658,0,0,0
204,1782580564323,0,0,0
205,1782580564773,0,0,0
206,1782580565456,0,0,0
207,1782580566072,0,0,0
208,1782580566405,0,0,0
209,1782580566989,0,0,0
210,1782580567422,0,0,0
211,1782580568020,0,0,0
212,1782580568320,0,0,0
213,1782580568554,0,0,0
214,1782580569702,0,0,0
215,1782580570635,0,0,0
216,1782580571234,0,0,0
217,1782580572300,0,0,0
218,1782580572949,0,0,0
219,1782580573932,0,0,0
220,1782580574531,0,0,0
221,1782580574981,0,0,0
222,1782580576446,0,0,0
223,1782580576846,0,0,0
224,1782580577928,0,0,0
225,1782580578761,0,0,0
226,1782580579694,0,0,0
227,1782580580077,0,0,0
228,1782580580460,0,0,0
229,1782580580910,0,0,0
230,1782580581843,0,0,0
231,1782580582592,0,0,0
232,1782580583574,0,0,0
233,1782580584190,0,0,0
234,1782580585789,0,0,0
235,1782580586240,0,0,0
236,1782580586789,0,0,0
237,1782580587203,182,182,0
238,1782580587843,614,614,0
239,1782580588737,954,954,0
240,1782580589902,884,887,160
241,1782580590151,837,837,0
242,1782580590384,805,805,0
243,1782580591383,775,775,0
244,1782580593264,961,961,0
245,1782580594297,959,959,0
246,1782580595962,828,828,0
247,1782580596645,819,819,0
248,1782580597061,762,762,0
249,1782580597577,813,813,0
250,1782580598593,756,756,0
251,1782580599625,783,783,0
252,1782580600142,741,741,0
253,1782580601141,754,754,0
254,1782580601574,785,785,0
255,1782580603155,837,837,0
256,1782580604188,880,880,0
257,1782580604754,777,777,0
258,1782580605654,624,624,0
259,1782580606103,634,634,0
260,1782580607919,967,967,0
261,1782580608901,421,421,0
262,1782580609301,428,428,0
263,1782580609734,269,269,0
264,1782580610084,271,271,0
265,1782580611099,970,970,0
266,1782580612681,779,779,0
267,1782580613847,761,761,0
268,1782580615445,525,525,0
269,1782580616444,646,646,0
270,1782580616695,413,413,0
271,1782580616995,423,423,0
272,1782580618060,880,880,0
273,1782580618676,385,385,0
274,1782580619076,302,302,0
275,1782580619659,674,674,0
276,1782580620357,694,694,0
277,1782580621324,889,889,0
278,1782580622274,302,302,0
279,1782580623272,676,676,0
280,1782580624205,660,660,0
281,1782580625220,697,697,0
282,1782580625836,900,900,0
283,1782580626453,906,906,0
284,1782580626819,877,877,0
285,1782580627469,832,832,0
286,1782580628584,843,843,0
287,1782580628834,926,926,0
288,1782580629117,898,898,0
289,1782580630083,885,885,0
290,1782580630466,787,787,0
