index,date,RIGHT_MOTOR_CURRENT
0,1782580170853,0
1,1782580403640,0
2,1782580404190,0
3,1782580404640,0
4,1782580405256,0
5,1782580405672,0
6,1782580407187,3
7,1782580408286,353
8,1782580408869,451
9,1782580411052,1344
10,1782580411367,1352
11,1782580411784,1319
12,1782580412767,1077
13,1782580413765,24
14,1782580414598,810
15,1782580414998,273
16,1782580416780,1137
17,1782580417197,0
18,1782580417862,0
19,1782580418278,0
20,1782580418445,2
21,1782580418711,3
22,1782580419744,234
23,1782580423341,0
24,1782580424290,0
25,1782580425322,0
26,1782580425622,0
27,1782580425872,0
28,1782580426904,0
29,1782580427554,0
30,1782580427937,0
31,1782580428570,0
32,1782580429203,0
33,1782580430269,0
34,1782580430818,0
35,1782580431800,0
36,1782580433415,0
37,1782580434448,0
38,1782580436080,0
39,1782580437179,0
40,1782580437828,0
41,1782580438062,0
42,1782580439061,0
43,1782580439694,0
44,1782580440076,0
45,1782580440610,0
46,1782580442358,0
47,1782580442591,0
48,1782580442791,0
49,1782580443224,0
50,1782580444057,0
51,1782580444456,0
52,1782580445055,0
53,1782580445955,0
54,1782580447088,0
55,1782580447453,0
56,1782580447621,0
57,1782580448753,0
58,1782580449369,0
59,1782580449818,0
60,1782580449902,0
61,1782580450967,0
62,1782580452050,0
63,1782580452249,0
64,1782580452533,0
65,1782580453698,0
66,1782580455180,0
67,1782580456279,0
68,1782580458577,4
69,1782580460542,1216
70,1782580462141,1234
71,1782580462724,1280
72,1782580463156,1255
73,1782580463806,1402
74,1782580464489,2319
75,1782580465421,1276
76,1782580465855,1279
77,1782580467670,1258
78,1782580468585,1252
79,1782580469002,1261
80,1782580470817,1326
81,1782580471183,1299
82,1782580471999,1241
83,1782580472999,1263
84,1782580474930,1260
85,1782580475962,1355
86,1782580476512,1266
87,1782580476928,1254
88,1782580477861,1278
89,1782580479809,1315
90,1782580480825,1253
91,1782580481225,1228
92,1782580481408,1161
93,1782580482424,1240
94,1782580483456,1116
95,1782580483689,1030
96,1782580483972,1073
97,1782580485022,1351
98,1782580485987,1270
99,1782580486570,1253
100,1782580487253,1327
101,1782580487686,1326
102,1782580488352,1075
103,1782580488869,1242
104,1782580489351,1265
105,1782580490001,1266
106,1782580490717,1260
107,1782580490933,1245
108,1782580491250,1243
109,1782580492282,1325
110,1782580494180,1265
111,1782580495513,1176
112,1782580495730,0
113,1782580496412,1268
114,1782580496796,1381
115,1782580498177,1309
116,1782580498244,1278
117,1782580498627,1271
118,1782580499576,1271
119,1782580501541,1262
120,1782580502457,1245
121,1782580502857,1269
122,1782580503056,1327
123,1782580503390,1325
124,1782580504439,1275
125,1782580505121,1262
126,1782580505404,1254
127,1782580505671,1289
128,1782580506104,1342
129,1782580506704,1310
130,1782580507153,1311
131,1782580508685,1329
132,1782580509318,1291
133,1782580511333,0
134,1782580512382,0
135,1782580512765,0
136,1782580512898,0
137,1782580514597,2
138,1782580515063,2
139,1782580515163,404
140,1782580515579,3
141,1782580516611,816
142,1782580517244,1234
143,1782580517511,1379
144,1782580517811,1313
145,1782580518826,1334
146,1782580521874,1
147,1782580522707,667
148,1782580523656,813
149,1782580525970,0
150,1782580526920,0
151,1782580527153,0
152,1782580527719,0
153,1782580528169,0
154,1782580528718,0
155,1782580529101,0
156,1782580529784,0
157,1782580530050,0
158,1782580530683,0
159,1782580531682,0
160,1782580532049,0
161,1782580533281,0
162,1782580534014,0
163,1782580534413,0
164,1782580534980,0
165,1782580535979,0
166,1782580536612,0
167,1782580537878,0
168,1782580538826,0
169,1782580539309,0
170,1782580539792,0
171,1782580540408,0
172,1782580540858,0
173,1782580541424,0
174,1782580542390,0
175,1782580542739,0
176,1782580543406,0
177,1782580545021,0
178,1782580546087,0
179,1782580547652,0
180,1782580548302,0
181,1782580549034,0
182,1782580549184,0
183,1782580549634,0
184,1782580550550,0
