index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
0,1782580170886,0,0,0
1,1782580171502,0,0,0
2,1782580403707,1,0,110
3,1782580404256,1,0,110
4,1782580405356,1,0,110
5,1782580405972,0,0,110
6,1782580406838,0,0,110
7,1782580407287,0,0,110
8,1782580407887,1,0,110
9,1782580409502,1,0,110
10,1782580410534,1,0,110
11,1782580411000,1,0,110
12,1782580411118,1,0,110
13,1782580411834,1,0,110
14,1782580412467,1,0,110
15,1782580412833,1,0,110
16,1782580414664,1,0,110
17,1782580415047,1,0,110
18,1782580416830,1,0,110
19,1782580417479,1,0,110
20,1782580417929,0,0,110
21,1782580418513,0,0,110
22,1782580418778,0,0,110
23,1782580419395,0,0,110
24,1782580419810,1,0,110
25,1782580422343,0,0,110
26,1782580423408,0,0,110
27,1782580424374,0,0,110
28,1782580425439,0,0,110
29,1782580425673,0,0,110
30,1782580425922,0,0,110
31,1782580427005,0,0,110
32,1782580427605,0,0,110
33,1782580428020,0,0,110
34,1782580428137,0,0,110
35,1782580429269,0,0,110
36,1782580430369,0,0,110
37,1782580430502,0,0,110
38,1782580430885,0,0,110
39,1782580431900,0,0,110
40,1782580433467,0,0,110
41,1782580434515,0,0,110
42,1782580436180,0,0,110
43,1782580436779,0,0,110
44,1782580437229,0,0,110
45,1782580438112,0,0,110
46,1782580438711,0,0,110
47,1782580439127,0,0,110
48,1782580440126,0,0,110
49,1782580440676,0,0,110
50,1782580441591,0,0,110
51,1782580442058,0,0,110
52,1782580442658,0,0,110
53,1782580442842,0,0,110
54,1782580444123,0,0,110
55,1782580444523,0,0,110
56,1782580445123,0,0,110
57,1782580446071,0,0,110
58,1782580446704,0,0,110
59,1782580447503,0,0,110
60,1782580447705,0,0,110
61,1782580448320,0,0,110
62,1782580449486,0,0,110
63,1782580449968,0,0,110
64,1782580450635,0,0,110
65,1782580451651,0,0,110
66,1782580452116,0,0,110
67,1782580452317,0,0,110
68,1782580452617,0,0,110
69,1782580453282,0,0,110
70,1782580454315,0,0,110
71,1782580454564,0,0,110
72,1782580455263,0,0,110
73,1782580455913,0,0,110
74,1782580457495,0,0,110
75,1782580458627,0,0,110
76,1782580460143,1,0,110
77,1782580461209,1,0,110
78,1782580462207,1,0,110
79,1782580462823,1,0,110
80,1782580463873,1,0,110
81,1782580464555,1,0,110
82,1782580465521,1,0,110
83,1782580466404,1,0,110
84,1782580467287,1,0,110
85,1782580468636,1,0,110
86,1782580469085,1,0,110
87,1782580469201,1,0,110
88,1782580469501,1,0,110
89,1782580469951,1,0,110
90,1782580471234,1,0,110
91,1782580471633,1,0,110
92,1782580471666,1,0,110
93,1782580473065,1,0,110
94,1782580474581,1,0,110
95,1782580474980,1,0,110
96,1782580475580,1,0,110
97,1782580476029,1,0,110
98,1782580476580,1,0,110
99,1782580477495,1,0,110
100,1782580477911,1,0,110
101,1782580479892,1,0,110
102,1782580480409,1,0,110
103,1782580480875,1,0,110
104,1782580481491,1,0,110
105,1782580482474,1,0,110
106,1782580483506,1,0,110
107,1782580483756,1,0,0
108,1782580484023,1,0,0
109,1782580485072,1,0,0
110,1782580485721,1,0,0
111,1782580486038,1,0,0
112,1782580486637,1,0,0
113,1782580487353,1,0,0
114,1782580488419,1,0,0
115,1782580488952,1,0,0
116,1782580490084,1,0,0
117,1782580490783,1,0,0
118,1782580490983,1,0,0
119,1782580491316,1,0,0
120,1782580492366,1,0,0
121,1782580494247,1,0,0
122,1782580495163,1,0,0
123,1782580495780,1,0,110
124,1782580496095,1,0,110
125,1782580496478,1,0,110
126,1782580497378,1,0,110
127,1782580497794,1,0,110
128,1782580498328,1,0,110
129,1782580498677,1,0,110
130,1782580499659,1,0,110
131,1782580501158,1,0,110
132,1782580501608,1,0,110
133,1782580502524,1,0,110
134,1782580502906,1,0,110
135,1782580503123,1,0,110
136,1782580503439,1,0,110
137,1782580504055,1,0,110
138,1782580504538,1,0,110
139,1782580505172,1,0,110
140,1782580505472,1,0,110
141,1782580505737,1,0,110
142,1782580506753,1,0,110
143,1782580509384,1,0,110
