index,date,BMS_MODE
0,1782580170220,2
1,1782580404291,2
2,1782580404806,2
3,1782580405305,2
4,1782580405905,2
5,1782580406771,2
6,1782580406822,2
7,1782580407787,2
8,1782580407853,2
9,1782580408421,2
10,1782580408937,2
11,1782580409602,2
12,1782580410051,2
13,1782580411434,2
14,1782580412417,2
15,1782580413432,2
16,1782580413815,2
17,1782580414814,2
18,1782580415881,2
19,1782580416580,2
20,1782580417047,2
21,1782580417663,2
22,1782580418095,2
23,1782580419011,2
24,1782580420195,2
25,1782580420678,2
26,1782580421026,2
27,1782580421526,2
28,1782580422559,2
29,1782580423574,2
30,1782580424125,2
31,1782580426322,2
32,1782580426755,2
33,1782580427422,2
34,1782580429087,2
35,1782580429419,2
36,1782580430102,2
37,1782580431617,2
38,1782580432566,2
39,1782580433548,2
40,1782580434081,2
41,1782580434615,2
42,1782580435729,2
43,1782580436845,2
44,1782580438278,2
45,1782580438794,2
46,1782580439310,2
47,1782580440359,2
48,1782580441209,2
49,1782580441691,2
50,1782580443007,2
51,1782580443441,2
52,1782580445372,2
53,1782580445888,2
54,1782580446571,2
55,1782580446970,2
56,1782580448570,2
57,1782580449252,2
58,1782580450168,2
59,1782580451251,2
60,1782580451934,2
61,1782580452833,2
62,1782580453482,2
63,1782580454131,2
64,1782580455464,2
65,1782580456530,2
66,1782580457661,2
67,1782580458211,2
68,1782580458211,2
69,1782580459743,2
70,1782580460726,2
71,1782580462357,2
72,1782580462974,2
73,1782580463373,2
74,1782580464022,2
75,1782580464955,2
76,1782580465921,2
77,1782580466554,2
78,1782580467403,2
79,1782580467886,2
80,1782580468335,2
81,1782580468852,2
82,1782580470201,2
83,1782580470234,2
84,1782580470684,2
85,1782580471183,2
86,1782580472066,2
87,1782580472582,2
88,1782580473148,2
89,1782580474514,2
90,1782580475097,2
91,1782580475580,2
92,1782580475613,2
93,1782580476229,2
94,1782580476978,2
95,1782580477462,2
96,1782580477945,2
97,1782580478477,2
98,1782580478544,2
99,1782580479393,2
100,1782580479943,2
101,1782580480476,16482
102,1782580480992,2
103,1782580481542,2
104,1782580482108,2
105,1782580482591,2
106,1782580483106,2
107,1782580484605,2
108,1782580484672,2
109,1782580485738,2
110,1782580487320,2
111,1782580487869,2
112,1782580489451,2
113,1782580490018,2
114,1782580490617,2
115,1782580491650,2
116,1782580492665,2
117,1782580493248,2
118,1782580493698,2
119,1782580494131,2
120,1782580494647,2
121,1782580495080,2
122,1782580495646,2
123,1782580496579,2
124,1782580497012,2
125,1782580497978,2
126,1782580499343,2
127,1782580501224,2
128,1782580502225,2
129,1782580503656,2
130,1782580504688,2
131,1782580506470,2
132,1782580507021,2
133,1782580507536,2
134,1782580508469,2
135,1782580509001,2
136,1782580510017,2
137,1782580510483,2
138,1782580511083,2
139,1782580511516,2
140,1782580513048,2
141,1782580513697,2
142,1782580514147,2
143,1782580515696,2
144,1782580516379,2
145,1782580516728,2
146,1782580517394,2
147,1782580517910,2
148,1782580518344,2
149,1782580518960,2
150,1782580519393,2
151,1782580520525,2
152,1782580520941,2
153,1782580521525,2
154,1782580523290,2
155,1782580524273,2
156,1782580525238,2
157,1782580525304,2
158,1782580526271,2
159,1782580526704,2
160,1782580528153,2
161,1782580528668,2
162,1782580529051,2
163,1782580530200,2
164,1782580530616,2
165,1782580531166,2
166,1782580533314,2
167,1782580533947,2
168,1782580536578,2
169,1782580537361,2
170,1782580537944,2
171,1782580538393,2
172,1782580538976,2
173,1782580539825,2
174,1782580541491,2
175,1782580542307,2
176,1782580542906,2
177,1782580543972,2
178,1782580544522,2
179,1782580545521,2
180,1782580546104,2
181,1782580547569,2
182,1782580548186,2
183,1782580548618,2
184,1782580550034,2
185,1782580550617,2
186,1782580551849,2
187,1782580552198,2
188,1782580552781,2
189,1782580553697,2
190,1782580554130,2
191,1782580554663,2
192,1782580555763,2
193,1782580556762,2
194,1782580557314,2
195,1782580557812,2
196,1782580558395,2
197,1782580558910,2
198,1782580559344,2
199,1782580559877,2
200,1782580560459,2
201,1782580561476,2
202,1782580562008,2
203,1782580562541,2
204,1782580563057,2
205,1782580564073,2
206,1782580564623,2
207,1782580565189,2
208,1782580565789,2
209,1782580566288,2
210,1782580566721,2
211,1782580567305,2
212,1782580567820,2
213,1782580568919,2
214,1782580569469,2
215,1782580570051,2
216,1782580570552,2
217,1782580571601,2
218,1782580572000,2
219,1782580572652,2
220,1782580572683,2
221,1782580573683,2
222,1782580574698,2
223,1782580575280,2
224,1782580576164,2
225,1782580576713,2
226,1782580577146,2
227,1782580577645,2
228,1782580578545,2
229,1782580579044,2
230,1782580579493,2
231,1782580579977,2
232,1782580580788,2
233,1782580583440,2
234,1782580584024,2
235,1782580584507,2
236,1782580585107,2
237,1782580585640,2
238,1782580586089,2
239,1782580587072,2
240,1782580588138,2
241,1782580588154,2
242,1782580588586,2
243,1782580589119,2
244,1782580589202,2
245,1782580590735,2
246,1782580591250,2
247,1782580591866,2
248,1782580593614,2
249,1782580594213,2
250,1782580594696,2
251,1782580595845,2
252,1782580596345,2
253,1782580596912,2
254,1782580597894,2
255,1782580597927,2
256,1782580598494,2
257,1782580598909,2
258,1782580599010,2
259,1782580599525,2
260,1782580600441,2
261,1782580601441,2
262,1782580603556,2
263,1782580603988,2
264,1782580604504,2
265,1782580604971,2
266,1782580605420,2
267,1782580605970,2
268,1782580606387,2
269,1782580607436,2
270,1782580608768,2
271,1782580609251,2
272,1782580610084,2
273,1782580610700,2
274,1782580611732,2
275,1782580612231,2
276,1782580613197,2
277,1782580613748,2
278,1782580614946,2
279,1782580615363,2
280,1782580616396,2
281,1782580616877,2
282,1782580617427,2
283,1782580617926,2
284,1782580618559,2
285,1782580619476,2
286,1782580620159,2
287,1782580620625,2
288,1782580621173,2
289,1782580621224,2
290,1782580622623,2
291,1782580623040,2
292,1782580624472,2
293,1782580624521,2
294,1782580625121,2
295,1782580625570,2
296,1782580626220,2
297,1782580627169,2
298,1782580627785,2
299,1782580628218,2
300,1782580629767,2
301,1782580630366,2
302,1782580630832,2
303,1782580631782,2
304,1782580632214,2
305,1782580632747,2
306,1782580633181,2
307,1782580634396,2
308,1782580634912,2
309,1782580635362,2
310,1782580636727,2
311,1782580637244,2
312,1782580637643,2
313,1782580638176,2
314,1782580639159,2
315,1782580640191,2
316,1782580640674,2
317,1782580641556,2
318,1782580641656,2
319,1782580642173,2
320,1782580642722,2
321,1782580643739,2
322,1782580644204,2
323,1782580644304,2
324,1782580644771,2
325,1782580645236,2
326,1782580645287,2
327,1782580646869,2
328,1782580647818,2
329,1782580648419,2
330,1782580649467,2
331,1782580650932,2
332,1782580651548,2
333,1782580652014,2
334,1782580652580,2
335,1782580653730,2
336,1782580654812,2
337,1782580656394,2
338,1782580656894,2
339,1782580657343,2
340,1782580657427,2
341,1782580658292,2
342,1782580659774,2
343,1782580660607,2
344,1782580661573,2
345,1782580661973,2
346,1782580662505,2
347,1782580662888,2
348,1782580663372,2
349,1782580663405,2
350,1782580664271,2
351,1782580664854,2
352,1782580665337,2
353,1782580665787,2
354,1782580666403,2
355,1782580668384,2
356,1782580668950,2
357,1782580669383,2
358,1782580670915,2
359,1782580671415,2
360,1782580671931,2
361,1782580672498,2
362,1782580673430,2
363,1782580674096,2
364,1782580675096,2
365,1782580676677,2
366,1782580677693,2
367,1782580677726,2
368,1782580678859,2
369,1782580679491,2
370,1782580680391,2
371,1782580681007,2
372,1782580682772,2
373,1782580683206,2
374,1782580685403,2
375,1782580685836,2
376,1782580686269,2
377,1782580687686,2
378,1782580688001,2
379,1782580688601,2
380,1782580689916,2
381,1782580690349,2
382,1782580690882,2
383,1782580691348,2
384,1782580691831,2
385,1782580692281,2
386,1782580692764,2
387,1782580693347,2
388,1782580693796,2
389,1782580694312,2
390,1782580694763,2
391,1782580695262,2
392,1782580696777,2
393,1782580697327,2
394,1782580697760,2
395,1782580698392,2
