index,date,ECU_MODE
0,1782580170936,1
1,1782580171570,1
2,1782580403741,1
3,1782580404956,1
4,1782580405389,1
5,1782580405988,1
6,1782580406904,1
7,1782580407937,1
8,1782580409569,1
9,1782580411018,1
10,1782580411151,1
11,1782580411501,1
12,1782580412499,1
13,1782580412866,1
14,1782580414681,1
15,1782580415597,1
16,1782580416862,1
17,1782580417528,1
18,1782580417962,1
19,1782580418545,1
20,1782580418845,1
21,1782580419412,1
22,1782580419877,1
23,1782580420411,1
24,1782580421359,1
25,1782580422393,1
26,1782580423956,1
27,1782580424391,1
28,1782580424973,1
29,1782580425456,1
30,1782580425723,1
31,1782580425939,1
32,1782580426555,1
33,1782580427038,1
34,1782580427671,1
35,1782580428087,1
36,1782580428187,1
37,1782580429353,1
38,1782580429902,1
39,1782580430401,1
40,1782580430534,0
41,1782580430534,1
42,1782580430951,1
43,1782580431934,1
44,1782580432549,1
45,1782580433499,1
46,1782580434132,1
47,1782580434548,1
48,1782580435763,1
49,1782580436214,1
50,1782580436862,1
51,1782580438744,1
52,1782580439777,1
53,1782580440176,1
54,1782580440709,1
55,1782580441674,1
56,1782580442091,1
57,1782580442691,1
58,1782580442890,1
59,1782580444156,1
60,1782580445155,1
61,1782580446121,1
62,1782580446721,1
63,1782580447521,1
64,1782580447754,1
65,1782580448369,1
66,1782580449052,1
67,1782580450001,1
68,1782580450684,1
69,1782580451084,1
70,1782580451683,1
71,1782580452200,1
72,1782580452349,1
73,1782580452699,1
74,1782580453316,1
75,1782580454348,1
76,1782580454614,1
77,1782580454865,1
78,1782580455364,1
79,1782580455930,1
80,1782580457561,1
81,1782580458277,1
82,1782580458710,1
83,1782580459260,1
84,1782580460176,1
85,1782580461325,1
86,1782580462841,1
87,1782580463956,1
88,1782580465571,1
89,1782580466487,1
90,1782580467320,1
91,1782580467769,1
92,1782580468686,1
93,1782580469235,1
94,1782580469584,1
95,1782580470883,1
96,1782580471283,1
97,1782580471700,1
98,1782580472116,1
99,1782580472699,1
100,1782580473098,1
101,1782580473764,1
102,1782580474614,1
103,1782580475047,1
104,1782580475663,1
105,1782580476629,1
106,1782580477562,1
107,1782580477978,1
108,1782580478578,1
109,1782580479460,1
110,1782580480476,1
111,1782580482041,1
112,1782580482524,1
113,1782580483073,1
114,1782580483539,1
115,1782580483789,1
116,1782580484072,1
117,1782580485121,1
118,1782580485788,1
119,1782580486071,1
120,1782580486704,1
121,1782580487420,1
122,1782580488002,1
123,1782580488469,1
124,1782580489002,1
125,1782580489618,1
126,1782580490850,1
127,1782580491033,1
128,1782580491333,1
129,1782580491966,1
130,1782580492432,1
131,1782580492965,1
132,1782580493864,1
