index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
0,1782580171002,0,0
1,1782580171620,0,0
2,1782580403423,156,0
3,1782580403790,159,0
4,1782580404407,162,0
5,1782580405023,168,0
6,1782580406038,173,0
7,1782580407005,176,0
8,1782580408020,180,0
9,1782580409185,184,0
10,1782580409668,185,0
11,1782580410267,186,0
12,1782580410668,186,0
13,1782580411201,187,0
14,1782580412116,190,0
15,1782580412549,191,0
16,1782580413133,193,0
17,1782580414365,197,0
18,1782580415665,200,0
19,1782580416498,201,0
20,1782580416930,201,0
21,1782580417612,202,0
22,1782580418595,204,0
23,1782580419477,204,0
24,1782580420461,205,0
25,1782580421409,205,0
26,1782580422493,205,0
27,1782580424023,205,0
28,1782580425073,205,0
29,1782580425989,205,0
30,1782580426655,205,0
31,1782580427287,205,0
32,1782580427770,205,0
33,1782580428237,205,0
34,1782580428920,205,0
35,1782580430019,205,0
36,1782580430601,205,0
37,1782580431001,205,0
38,1782580431550,205,0
39,1782580432001,205,0
40,1782580432650,205,0
41,1782580433166,205,0
42,1782580433585,205,0
43,1782580434199,205,0
44,1782580435830,205,0
45,1782580436912,205,0
46,1782580438827,205,0
47,1782580439410,205,0
48,1782580439860,205,0
49,1782580440226,205,0
50,1782580440393,205,0
51,1782580441325,205,0
52,1782580441742,205,0
53,1782580442941,205,0
54,1782580443790,205,0
55,1782580446871,205,0
56,1782580448470,205,0
57,1782580449119,205,0
58,1782580450068,205,0
59,1782580450734,205,0
60,1782580451767,205,0
61,1782580452416,205,0
62,1782580453432,205,0
63,1782580454449,205,0
64,1782580454681,205,0
65,1782580454965,205,0
66,1782580456013,205,0
67,1782580456679,205,0
68,1782580456946,205,0
69,1782580457661,205,0
70,1782580458327,205,0
71,1782580459310,205,0
72,1782580459843,205,0
73,1782580460292,205,0
74,1782580460908,205,0
75,1782580462490,207,0
76,1782580462957,207,0
77,1782580465155,216,0
78,1782580466571,223,0
79,1782580466704,225,0
80,1782580467021,228,0
81,1782580467387,230,0
82,1782580468319,237,0
83,1782580468718,239,0
84,1782580469301,245,0
85,1782580469618,247,0
86,1782580470567,255,0
87,1782580470950,258,0
88,1782580471767,266,0
89,1782580472748,275,0
90,1782580473831,282,0
91,1782580474680,291,0
92,1782580475713,299,0
93,1782580476695,308,0
94,1782580477611,316,0
95,1782580478627,327,0
96,1782580479110,330,0
97,1782580479526,333,0
98,1782580480542,343,0
99,1782580482140,357,0
100,1782580483173,366,0
101,1782580483856,371,0
102,1782580484788,378,0
103,1782580485838,386,0
104,1782580486121,389,0
105,1782580486337,391,0
106,1782580487486,399,0
107,1782580488069,404,0
108,1782580488518,407,0
109,1782580488619,409,0
110,1782580489668,417,0
111,1782580489718,0,12288
112,1782580490400,424,0
