index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
0,1782582316496,0,0,0
1,1782582317496,0,0,0
2,1782582317763,0,0,0
3,1782582318045,0,0,0
4,1782582318445,0,0,0
5,1782582319079,0,0,0
6,1782582319461,0,0,0
7,1782582321009,0,0,0
8,1782582322092,0,0,0
9,1782582322775,0,0,0
10,1782582322975,0,0,0
11,1782582323591,0,0,0
12,1782582324007,0,0,0
13,1782582324623,0,0,0
14,1782582325006,0,0,0
15,1782582325139,0,0,0
16,1782582325572,0,0,0
17,1782582326188,0,0,0
18,1782582326621,0,0,0
19,1782582328870,0,0,0
20,1782582329702,0,0,0
21,1782582330536,0,0,0
22,1782582331434,0,0,0
23,1782582366188,0,0,0
24,1782582367021,0,0,0
25,1782582367853,0,0,0
26,1782582367920,0,0,0
27,1782582368753,0,0,0
28,1782582370968,0,0,0
29,1782582371384,0,0,2
30,1782582371717,0,0,2
31,1782582372450,0,0,2
32,1782582373116,0,0,2
33,1782582373432,0,0,2
34,1782582373782,0,0,2
35,1782582374015,0,0,2
36,1782582374231,0,0,2
37,1782582375081,0,0,2
38,1782582375763,0,0,2
39,1782582376080,0,0,2
40,1782582376763,0,0,2
41,1782582376896,0,0,2
42,1782582377246,0,0,2
43,1782582381958,0,0,2
44,1782582382275,0,0,2
45,1782582382874,0,0,2
46,1782582384190,0,0,2
47,1782582384523,0,0,2
48,1782582384822,0,0,2
49,1782582385140,0,0,2
50,1782582385405,0,0,2
51,1782582385739,0,0,2
52,1782582386005,0,0,2
53,1782582386388,0,0,2
54,1782582386454,0,0,2
55,1782582386754,0,0,2
56,1782582387104,0,0,2
57,1782582387404,0,0,2
58,1782582387753,0,0,2
59,1782582388104,0,0,2
60,1782582390768,0,0,2
61,1782582391117,0,0,2
62,1782582391300,0,0,2
63,1782582391583,0,0,2
64,1782582391901,0,0,2
65,1782582392266,0,0,2
66,1782582392549,0,0,2
67,1782582392933,0,0,2
68,1782582393982,0,0,2
69,1782582395830,0,0,2
70,1782582397280,0,0,2
71,1782582397729,0,0,2
72,1782582397994,0,0,2
73,1782582398344,0,0,2
74,1782582398678,0,0,2
75,1782582398811,0,0,2
76,1782582399144,0,0,2
77,1782582402408,0,0,2
78,1782582402758,0,0,2
79,1782582403124,0,0,2
80,1782582403474,0,0,2
81,1782582403673,0,0,2
82,1782582403956,0,0,2
83,1782582406305,0,0,2
84,1782582406621,0,0,2
85,1782582406938,0,0,2
86,1782582407270,0,0,2
87,1782582408587,0,0,2
88,1782582408887,0,0,2
89,1782582409236,0,0,2
90,1782582409536,0,0,2
91,1782582409852,0,0,2
92,1782582411267,0,0,2
93,1782582411550,0,0,2
94,1782582411834,0,0,2
