index,date,ERROR_SUM_S1,ERROR_SUM_S2,ERROR_SUM_S3
0,1782588361373,0,0,0
1,1782588363004,0,0,0
2,1782588365452,0,0,0
3,1782588374978,0,0,0
4,1782588378208,0,0,0
5,1782588378774,0,0,0
6,1782588379873,0,0,0
7,1782588384619,0,0,0
8,1782588392612,0,0,0
9,1782588394029,0,0,0
10,1782588399623,0,0,0
11,1782588400606,0,0,0
12,1782588401688,0,0,0
13,1782588421622,0,0,0
14,1782588421905,0,0,0
15,1782588422987,0,0,0
16,1782588423953,0,0,0
17,1782588424535,0,0,0
18,1782588425052,0,0,0
19,1782588429015,0,0,0
20,1782588431796,0,0,0
21,1782588432829,0,0,0
22,1782588436342,0,0,0
23,1782588436959,0,0,0
24,1782588442654,0,0,0
25,1782588443421,0,0,0
26,1782588443653,0,0,0
27,1782588444469,0,0,0
28,1782588444935,0,0,0
29,1782588446784,0,0,0
30,1782588447150,0,0,0
31,1782588448749,0,0,0
32,1782588449765,0,0,0
33,1782588450630,0,0,0
34,1782588451679,0,0,0
35,1782588454961,0,0,0
36,1782588455293,0,0,0
37,1782588455926,0,0,0
38,1782588458174,0,0,0
39,1782588459823,0,0,0
40,1782588460505,0,0,0
41,1782588462055,0,0,0
42,1782588463287,0,0,0
43,1782588464486,0,0,0
44,1782588465867,0,0,0
45,1782588466300,0,0,0
46,1782588466967,0,0,0
47,1782588468716,0,0,0
48,1782588469131,0,0,0
49,1782588470830,0,0,0
50,1782588473445,0,0,0
51,1782588479273,0,0,0
52,1782588481305,0,0,0
53,1782588483220,0,0,0
54,1782588484069,0,0,0
55,1782588485368,0,0,0
56,1782588488299,0,0,0
57,1782588489765,0,0,0
58,1782588490231,0,0,0
59,1782588492329,0,0,0
60,1782588493445,0,0,0
61,1782588494560,0,0,0
62,1782588497309,0,0,0
63,1782588503086,0,0,0
64,1782588505501,0,0,0
65,1782588507283,0,0,0
66,1782588509049,0,0,0
67,1782588510381,0,0,0
68,1782588515193,0,0,0
69,1782588516608,0,0,0
70,1782588517724,0,0,0
71,1782588518124,0,0,0
72,1782588520855,0,0,0
73,1782588520971,0,0,0
74,1782588522903,0,0,0
75,1782588525950,0,0,0
76,1782588527816,0,0,0
77,1782588528016,0,0,0
78,1782588529098,0,0,0
79,1782588529331,0,0,0
80,1782588542887,0,0,0
81,1782588543869,0,0,0
82,1782588546267,0,0,0
83,1782588546933,0,0,0
84,1782588553695,0,0,0
85,1782588555693,0,0,0
86,1782588559572,0,0,0
87,1782588562870,0,0,0
88,1782588563669,0,0,0
89,1782588568299,0,0,0
90,1782588569948,0,0,0
91,1782588570297,0,0,0
92,1782588574843,0,0,0
93,1782588579072,0,0,0
94,1782588584951,0,0,0
95,1782588587382,0,0,0
96,1782588587849,0,0,0
97,1782588588332,0,0,0
98,1782588592645,0,0,0
99,1782588595159,0,0,0
100,1782588597640,0,0,0
101,1782588599256,0,0,0
102,1782588601837,0,0,0
103,1782588613777,0,0,0
104,1782588620354,0,0,0
105,1782588621353,0,0,0
106,1782588622486,0,0,0
107,1782588625017,0,0,0
108,1782588628514,0,0,0
109,1782588638206,0,0,0
110,1782588640687,0,0,0
111,1782588644817,0,0,0
112,1782588645300,0,0,0
113,1782588646832,0,0,0
114,1782588647881,0,0,0
115,1782588650329,0,0,0
116,1782588651944,0,0,0
117,1782588656841,0,0,0
118,1782588659755,0,0,0
119,1782588661237,0,0,0
120,1782588661645,0,0,0
121,1782588662202,0,0,0
122,1782588664401,0,0,0
123,1782588666566,0,0,0
124,1782588669579,0,0,0
125,1782588671062,0,0,0
126,1782588671195,0,0,0
127,1782588677973,0,0,0
128,1782588694159,0,0,0
129,1782588695908,0,0,0
130,1782588698556,0,0,0
131,1782588699721,0,0,0
132,1782588701138,0,0,0
133,1782588701619,0,0,0
134,1782588722834,0,0,0
135,1782588724700,0,0,0
136,1782588729297,0,0,0
137,1782588732727,0,0,0
138,1782588734360,0,0,0
139,1782588736340,0,0,0
140,1782588736624,0,0,0
141,1782588737007,0,0,0
142,1782588740486,0,0,0
143,1782588742935,0,0,0
144,1782588743668,0,0,0
145,1782588743918,0,0,0
146,1782588746098,0,0,0
147,1782588746931,0,0,0
148,1782588749596,0,0,0
149,1782588749828,0,0,0
150,1782588751245,0,0,0
151,1782588752594,0,0,0
152,1782588754774,0,0,0
153,1782588755757,0,0,0
154,1782588758955,0,0,0
155,1782588763884,0,0,0
156,1782588765799,0,0,0
157,1782588766415,0,0,0
158,1782588767081,0,0,0
159,1782588768946,0,0,0
160,1782588770579,0,0,0
161,1782588778771,0,0,0
162,1782588784866,0,0,0
163,1782588791527,0,0,0
164,1782588792826,0,0,0
165,1782588796290,0,0,0
166,1782588799054,0,0,0
167,1782588799853,0,0,0
168,1782588805049,0,0,0
169,1782588808580,0,0,0
170,1782588809479,0,0,0
171,1782588814709,0,0,0
172,1782588818205,0,0,0
173,1782588826864,0,0,0
174,1782588827548,0,0,0
175,1782588828446,0,0,0
176,1782588829196,0,0,0
177,1782588834991,0,0,0
178,1782588835840,0,0,0
179,1782588840452,0,0,0
180,1782588843133,0,0,0
181,1782588844782,0,0,0
182,1782588845698,0,0,0
183,1782588846548,0,0,0
184,1782588847131,0,0,0
185,1782588856689,0,0,0
186,1782588860919,0,0,0
187,1782588861618,0,0,0
188,1782588864815,0,0,0
189,1782588868246,0,0,0
190,1782588869912,0,0,0
191,1782588870644,0,0,0
192,1782588884249,0,0,0
193,1782588884332,0,0,0
194,1782588887896,0,0,0
195,1782588888996,0,0,0
196,1782588890294,0,0,0
197,1782588892542,0,0,0
198,1782588897521,0,0,0
199,1782588900136,0,0,0
200,1782588900951,0,0,0
201,1782588901784,0,0,0
202,1782588903733,0,0,0
203,1782588911809,0,0,0
204,1782588912975,0,0,0
205,1782588920835,0,0,0
206,1782588923417,0,0,0
207,1782588932891,0,0,0
