index,date,LEFT_MOTOR_CURRENT
0,1782589765927,0
1,1782589766182,0
2,1782589766373,0
3,1782589766789,0
4,1782589767106,0
5,1782589767472,0
6,1782589767790,0
7,1782589768090,0
8,1782589768988,0
9,1782589769238,0
10,1782589771036,0
11,1782589772236,0
12,1782589772618,0
13,1782589774117,0
14,1782589775850,0
15,1782589777181,0
16,1782589777664,0
17,1782589778030,0
18,1782589778929,0
19,1782589779229,0
20,1782589781277,0
21,1782589781544,0
22,1782589781794,0
23,1782589782160,0
24,1782589782676,0
25,1782589782876,0
26,1782589783192,1
27,1782589787572,0
28,1782589787905,0
29,1782589788304,0
30,1782589788472,0
31,1782589788704,0
32,1782589789055,0
33,1782589789354,0
34,1782589791219,0
35,1782589795616,0
36,1782589796198,1535
37,1782589797181,2301
38,1782589799213,0
39,1782589799795,0
40,1782589800729,0
41,1782589801760,0
42,1782589802160,0
43,1782589802742,0
44,1782589803608,0
45,1782589804658,0
46,1782589805541,0
47,1782589805925,0
48,1782589806840,0
49,1782589808122,0
50,1782589809055,0
51,1782589811220,0
52,1782589811652,0
53,1782589812268,0
54,1782589812718,0
55,1782589812817,0
56,1782589813800,0
57,1782589814865,0
58,1782589815832,0
59,1782589816864,0
60,1782589817747,0
61,1782589818396,0
62,1782589819828,0
63,1782589819978,0
64,1782589820311,0
65,1782589821310,0
66,1782589823275,0
67,1782589823892,0
68,1782589824292,0
69,1782589825890,0
70,1782589826523,0
71,1782589826973,0
72,1782589827272,0
73,1782589827422,0
74,1782589828421,0
75,1782589828854,0
76,1782589830353,0
77,1782589831021,0
78,1782589831419,0
79,1782589832252,0
80,1782589832252,0
81,1782589833634,0
82,1782589835548,0
83,1782589836781,0
84,1782589837381,0
85,1782589838380,0
86,1782589840378,0
87,1782589841377,0
88,1782589841711,0
89,1782589841827,0
90,1782589843268,0
91,1782589844008,0
92,1782589844542,0
93,1782589845224,0
94,1782589846273,0
95,1782589847256,0
96,1782589848272,0
97,1782589849737,0
98,1782589850186,0
99,1782589850803,0
100,1782589851519,0
101,1782589852417,0
102,1782589853466,0
103,1782589853850,0
104,1782589853949,0
105,1782589855083,0
106,1782589856081,0
107,1782589856581,0
108,1782589856964,0
109,1782589858313,0
110,1782589858680,0
111,1782589858779,0
112,1782589860128,0
113,1782589861410,0
114,1782589862326,0
115,1782589863342,0
116,1782589863892,0
117,1782589937113,0
118,1782589939244,0
119,1782589940976,0
120,1782589941909,0
121,1782589942992,0
122,1782589943325,0
123,1782589943492,0
124,1782589945289,1
125,1782589945839,4
126,1782589946872,440
127,1782589947538,747
128,1782589947987,991
129,1782589948171,1123
130,1782589948487,1154
131,1782589949570,1253
132,1782589950185,1231
133,1782589951034,1248
134,1782589951501,1185
135,1782589952083,10
136,1782589952517,12
137,1782589953099,657
138,1782589954082,1214
139,1782589955364,1143
140,1782589955631,1145
141,1782589958496,1282
142,1782589958896,1282
143,1782589959811,1222
144,1782589960095,1214
145,1782589960710,1100
146,1782589961059,0
147,1782589962359,11
148,1782589963191,1105
149,1782589963624,0
150,1782589964207,0
151,1782589966222,276
152,1782589966855,1248
153,1782589967272,64261
154,1782589967538,64433
155,1782589967821,64358
156,1782589968504,0
157,1782589969552,1
158,1782589969885,2
159,1782589970019,304
160,1782589970768,785
161,1782589971202,1043
162,1782589971817,907
163,1782589972183,1116
164,1782589972683,961
165,1782589973699,6
166,1782589974132,7
167,1782589975630,931
168,1782589976714,1002
169,1782589977312,1059
170,1782589978296,0
171,1782589979345,0
172,1782589979561,0
173,1782589979861,0
174,1782589980926,0
175,1782589982891,0
176,1782589983906,0
177,1782589984523,0
178,1782589984789,0
179,1782589985755,0
180,1782589987604,0
181,1782589989019,0
182,1782589989236,0
183,1782589989486,0
184,1782589990568,0
185,1782589991501,0
186,1782589991684,0
187,1782589991817,0
188,1782589992883,0
189,1782589993849,0
190,1782589994831,0
191,1782589995831,0
192,1782589997479,0
193,1782589998046,0
194,1782589998495,0
195,1782589999111,0
196,1782590000093,0
197,1782590000776,0
198,1782590002491,0
199,1782590003058,0
200,1782590003991,0
201,1782590033182,0
202,1782590033831,0
203,1782590034547,0
204,1782590035230,0
205,1782590035963,0
206,1782590037579,0
207,1782590038028,0
208,1782590038361,0
209,1782590038944,0
210,1782590039044,0
211,1782590039460,0
212,1782590039793,0
213,1782590040393,0
214,1782590041558,0
215,1782590041808,0
216,1782590042391,0
217,1782590044175,0
218,1782590045938,0
219,1782590046254,0
220,1782590046820,0
221,1782590047120,0
222,1782590047487,0
223,1782590047803,0
224,1782590048136,0
225,1782590048936,0
226,1782590050435,0
227,1782590050784,0
228,1782590051083,0
229,1782590051600,0
230,1782590051933,0
231,1782590052251,0
232,1782590052666,0
233,1782590069401,0
234,1782590069752,0
235,1782590070068,0
236,1782590070884,0
237,1782590071201,0
238,1782590071534,0
239,1782590074164,0
240,1782590074914,0
241,1782590075529,0
242,1782590075779,0
243,1782590075979,0
244,1782590076362,0
245,1782590076629,0
246,1782590076946,0
247,1782590077229,0
248,1782590078178,0
249,1782590078644,0
250,1782590078977,0
251,1782590080809,0
252,1782590082490,0
253,1782590082791,0
254,1782590090084,0
255,1782590092433,0
256,1782590093298,0
257,1782590093664,0
258,1782590093948,0
259,1782590094264,0
260,1782590094631,0
261,1782590095230,0
262,1782590095347,0
263,1782590095746,0
264,1782590096395,0
265,1782590097844,0
266,1782590098145,0
267,1782590099278,0
268,1782590099694,0
269,1782590099942,0
270,1782590100742,0
271,1782590101059,0
272,1782590101408,0
273,1782590101707,0
274,1782590102091,0
275,1782590102607,0
276,1782590102873,0
277,1782590103223,0
278,1782590103556,0
279,1782590106471,0
280,1782590106820,0
281,1782590107153,0
282,1782590107436,0
283,1782590107903,0
284,1782590108452,0
285,1782590108585,0
286,1782590108853,0
287,1782590109252,0
288,1782590109518,0
289,1782590110001,0
290,1782590110268,0
291,1782590110585,0
292,1782590110834,0
293,1782590111499,0
294,1782590111816,0
295,1782590112083,0
296,1782590112332,0
297,1782590113481,0
298,1782590113747,0
299,1782590114082,0
300,1782590114714,0
301,1782590115514,0
302,1782590115813,0
303,1782590116196,0
304,1782590116512,0
305,1782590117429,0
306,1782590117561,0
307,1782590117944,0
308,1782590118311,0
309,1782590120043,0
310,1782590122091,0
311,1782590123290,0
312,1782590123556,0
313,1782590124821,0
314,1782590125089,0
315,1782590125721,0
