index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
0,1782589765926,0,0,0
1,1782589765927,0,0,0
2,1782589765927,0,0,2
3,1782589765927,0,0,2
4,1782589766190,0,0,2
5,1782589766607,0,0,2
6,1782589766906,0,0,2
7,1782589767289,0,0,2
8,1782589770453,0,0,2
9,1782589770836,0,0,2
10,1782589771236,0,0,2
11,1782589771652,0,0,2
12,1782589772052,0,0,2
13,1782589772352,0,0,2
14,1782589775382,0,0,2
15,1782589776065,0,0,2
16,1782589776265,0,0,2
17,1782589776481,0,0,2
18,1782589776864,0,0,2
19,1782589777181,0,0,2
20,1782589777480,0,0,2
21,1782589777781,0,0,2
22,1782589782510,0,0,2
23,1782589782810,0,0,2
24,1782589782993,0,0,2
25,1782589783342,0,0,2
26,1782589783525,0,0,2
27,1782589784941,0,0,2
28,1782589785557,0,0,2
29,1782589785807,0,0,2
30,1782589787056,0,0,2
31,1782589787306,0,0,2
32,1782589788175,0,0,2
33,1782589788606,0,0,2
34,1782589792967,0,0,2
35,1782589794699,0,0,2
36,1782589795032,0,0,2
37,1782589795416,0,0,2
38,1782589795748,0,0,2
39,1782589796914,0,0,2
40,1782589797364,0,0,2
41,1782589797913,0,0,2
42,1782589798929,0,0,2
43,1782589799996,0,0,2
44,1782589801494,0,0,2
45,1782589801876,0,0,2
46,1782589802426,0,0,2
47,1782589802876,0,0,2
48,1782589803309,0,0,2
49,1782589804358,0,0,2
50,1782589805657,0,0,2
51,1782589806624,0,0,2
52,1782589807555,0,0,2
53,1782589808804,0,0,2
54,1782589810253,0,0,2
55,1782589810936,0,0,2
56,1782589811388,0,0,2
57,1782589811952,0,0,2
58,1782589812934,0,0,2
59,1782589813983,0,0,2
60,1782589814566,0,0,2
61,1782589815049,0,0,2
62,1782589815532,0,0,2
63,1782589816582,0,0,2
64,1782589818096,0,0,2
65,1782589818513,0,0,2
66,1782589819162,0,0,2
67,1782589819545,0,0,2
68,1782589820095,0,0,2
69,1782589820445,0,0,2
70,1782589821235,0,0,2
71,1782589821443,0,0,2
72,1782589822045,0,0,2
73,1782589822977,0,0,2
74,1782589823608,0,0,2
75,1782589824026,0,0,2
76,1782589825590,0,0,2
77,1782589826239,0,0,2
78,1782589826656,0,0,2
79,1782589829504,0,0,2
80,1782589830103,0,0,2
81,1782589830503,0,0,2
82,1782589831152,0,0,2
83,1782589833434,0,0,2
84,1782589834317,0,0,2
85,1782589834850,0,0,2
86,1782589835282,0,0,2
87,1782589836665,0,0,2
88,1782589836899,0,0,2
89,1782589837098,0,0,2
90,1782589838163,0,0,2
91,1782589838529,0,0,2
92,1782589841127,0,0,2
93,1782589841993,0,0,2
94,1782589842693,0,0,2
95,1782589843758,0,0,2
96,1782589844275,0,0,2
97,1782589845990,0,0,2
98,1782589846472,0,0,2
99,1782589846655,0,0,2
100,1782589846956,0,0,2
101,1782589847572,0,0,2
102,1782589848005,0,0,2
103,1782589848571,0,0,2
104,1782589849486,0,0,2
105,1782589850503,0,0,2
106,1782589852101,0,0,2
107,1782589852568,0,0,2
108,1782589853200,0,0,2
109,1782589854266,0,0,2
110,1782589854732,0,0,2
