index,date,CELL_1,CELL_2,CELL_3,CELL_4
0,1782565809050,24.9,23.9,23.9,24
1,1782565816610,24.8,23.9,23.9,24
2,1782565821373,24.8,23.9,23.9,24
3,1782565826368,24.8,23.9,23.9,24
4,1782565836043,24.8,23.9,23.9,24
5,1782565838641,24.8,23.9,23.9,24
6,1782565853312,24.8,23.9,23.9,24.1
7,1782565975043,24.7,23.9,23.9,24.1
8,1782565979822,24.7,23.9,24,24.1
9,1782565996808,24.7,23.9,23.9,24.1
10,1782566016575,24.7,23.9,24,24.1
11,1782566019040,24.7,23.9,24,24.1
12,1782566021288,24.7,23.9,24,24.1
13,1782566023852,24.7,23.9,24,24.1
14,1782566045451,25,24.3,24,24.1
15,1782566055126,25.1,24.2,24,24.1
16,1782566057591,25.2,24.2,24,24.2
17,1782566091446,25.5,24.1,24,24.2
18,1782566094010,25.5,24.1,24,24.2
19,1782566125417,25.5,24.1,24.1,24.2
20,1782566127932,25.5,24.1,24.1,24.2
21,1782566135092,25.5,24.1,24.1,24.2
22,1782566137490,25.5,24.1,24.1,24.2
23,1782566139988,25.5,24.1,24.1,24.2
24,1782566154426,25.5,24.1,24.1,24.2
25,1782566156841,25.4,24.1,24.1,24.2
26,1782566164185,25.4,24.1,24.1,24.2
27,1782566207581,26,24.4,24.1,24.2
28,1782566212394,26.1,24.4,24.1,24.2
29,1782566222086,26.1,24.4,24.1,24.3
30,1782566260820,26.1,24.3,24.2,24.3
31,1782566263335,26.1,24.3,24.2,24.3
32,1782566265717,26.1,24.3,24.2,24.3
33,1782566268114,26.1,24.3,24.2,24.3
34,1782566270478,26.1,24.3,24.2,24.3
35,1782566275442,26.1,24.3,24.2,24.3
36,1782566292244,26,24.3,24.2,24.3
37,1782566306715,25.9,24.3,24.2,24.3
38,1782566309213,25.9,24.3,24.2,24.3
39,1782566323749,26,24.5,24.2,24.3
40,1782566330961,26.1,24.7,24.2,24.3
41,1782566359954,27.2,25.2,24.3,24.4
42,1782566362518,27.2,25.2,24.3,24.4
43,1782566386714,27.7,24.9,24.3,24.4
44,1782566389079,27.7,24.9,24.3,24.4
45,1782566403498,27.7,24.9,24.3,24.4
46,1782566424149,27.6,24.9,24.3,24.4
47,1782566428962,27.6,24.9,24.3,24.4
48,1782566441352,27.5,24.8,24.3,24.4
49,1782566451077,27.4,24.8,24.3,24.4
50,1782566482567,27.6,25.3,24.4,24.5
51,1782566485032,27.7,25.3,24.4,24.5
52,1782566487363,27.7,25.3,24.4,24.5
53,1782566499552,28.1,25.6,24.4,24.5
54,1782566519241,28.6,25.5,24.4,24.5
55,1782566533458,28.8,25.4,24.4,24.6
56,1782566543083,28.8,25.3,24.4,24.6
57,1782566545548,28.8,25.3,24.5,24.6
58,1782566547995,28.8,25.3,24.5,24.6
59,1782566591359,28.5,25.2,24.5,24.6
60,1782566608293,28.4,25.6,24.5,24.6
61,1782566610907,28.4,25.6,24.5,24.6
62,1782566632541,29.1,26.1,24.6,24.7
63,1782566634955,29.2,26.3,24.6,24.7
64,1782566649594,29.8,26.3,24.6,24.7
65,1782566671309,30.3,26.1,24.7,24.8
66,1782566676154,30.4,26.1,24.7,24.8
67,1782566678602,30.4,26,24.7,24.8
68,1782566680968,30.4,26,24.7,24.8
