index,date,ERROR_SUM_S4,ERROR_SUM_S5,ERROR_SUM_S6
0,1782588361389,0,0,0
1,1782588361988,0,0,0
2,1782588363021,0,0,0
3,1782588366452,0,0,0
4,1782588367034,0,0,0
5,1782588367367,0,0,0
6,1782588367917,0,0,0
7,1782588374462,0,0,0
8,1782588374528,0,0,0
9,1782588374995,0,0,0
10,1782588375894,0,0,0
11,1782588377426,0,0,0
12,1782588377709,0,0,0
13,1782588378791,0,0,0
14,1782588379274,0,0,0
15,1782588379807,0,0,0
16,1782588379890,0,0,0
17,1782588380523,0,0,0
18,1782588380840,0,0,0
19,1782588381656,0,0,0
20,1782588382105,0,0,0
21,1782588382654,0,0,0
22,1782588383754,0,0,0
23,1782588385219,0,0,0
24,1782588385285,0,0,0
25,1782588386102,0,0,0
26,1782588387201,0,0,0
27,1782588387800,0,0,0
28,1782588389165,0,0,0
29,1782588389848,0,0,0
30,1782588391480,0,0,0
31,1782588393229,0,0,0
32,1782588394045,0,0,0
33,1782588394827,0,0,0
34,1782588396310,0,0,0
35,1782588397575,0,0,0
36,1782588398225,0,0,0
37,1782588398858,0,0,0
38,1782588401688,0,0,0
39,1782588402488,0,0,0
40,1782588403070,0,0,0
41,1782588403920,0,0,0
42,1782588417142,0,0,0
43,1782588417592,0,0,0
44,1782588417675,0,0,0
45,1782588419324,0,0,0
46,1782588419540,0,0,0
47,1782588419873,0,0,0
48,1782588420073,0,0,0
49,1782588420289,0,0,0
50,1782588421905,0,0,0
51,1782588422188,0,0,0
52,1782588422555,0,0,0
53,1782588422988,0,0,0
54,1782588423021,0,0,0
55,1782588423969,0,0,0
56,1782588424535,0,0,0
57,1782588425502,0,0,0
58,1782588426585,0,0,0
59,1782588427417,0,0,0
60,1782588427483,0,0,0
61,1782588428099,0,0,0
62,1782588429015,0,0,0
63,1782588429448,0,0,0
64,1782588429932,0,0,0
65,1782588430498,0,0,0
66,1782588431796,0,0,0
67,1782588432362,0,0,0
68,1782588434011,0,0,0
69,1782588434294,0,0,0
70,1782588434412,0,0,0
71,1782588435027,0,0,0
72,1782588435610,0,0,0
73,1782588436260,0,0,0
74,1782588437375,0,0,0
75,1782588437858,0,0,0
76,1782588438624,0,0,0
77,1782588439173,0,0,0
78,1782588439690,0,0,0
79,1782588440589,0,0,0
80,1782588441022,0,0,0
81,1782588441222,0,0,0
82,1782588441455,0,0,0
83,1782588443437,0,0,0
84,1782588444469,0,0,0
85,1782588444952,0,0,0
86,1782588445768,0,0,0
87,1782588446318,0,0,0
88,1782588446351,0,0,0
89,1782588446801,0,0,0
90,1782588447166,0,0,0
91,1782588447617,0,0,0
92,1782588448815,0,0,0
93,1782588450648,0,0,0
94,1782588451047,0,0,0
95,1782588451781,0,0,0
96,1782588452163,0,0,0
97,1782588453395,0,0,0
98,1782588454095,0,0,0
99,1782588454544,0,0,0
100,1782588454977,0,0,0
101,1782588455310,0,0,0
102,1782588455493,0,0,0
103,1782588455943,0,0,0
104,1782588456309,0,0,0
105,1782588458024,0,0,0
106,1782588458191,0,0,0
107,1782588458507,0,0,0
108,1782588458940,0,0,0
109,1782588459023,0,0,0
110,1782588459407,0,0,0
111,1782588459473,0,0,0
112,1782588460522,0,0,0
113,1782588461038,0,0,0
114,1782588461521,0,0,0
115,1782588462055,0,0,0
116,1782588463303,0,0,0
117,1782588463303,0,0,0
118,1782588463620,0,0,0
119,1782588464069,0,0,0
120,1782588464503,0,0,0
121,1782588465435,0,0,0
122,1782588465884,0,0,0
123,1782588466317,0,0,0
124,1782588466634,0,0,0
125,1782588466984,0,0,0
126,1782588467699,0,0,0
127,1782588468366,0,0,0
128,1782588468732,0,0,0
129,1782588469131,0,0,0
130,1782588469581,0,0,0
131,1782588470397,0,0,0
132,1782588470481,0,0,0
133,1782588471180,0,0,0
134,1782588471463,0,0,0
135,1782588471913,0,0,0
136,1782588472462,0,0,0
137,1782588473029,0,0,0
138,1782588473462,0,0,0
139,1782588473811,0,0,0
140,1782588474145,0,0,0
141,1782588474478,0,0,0
142,1782588475294,0,0,0
143,1782588475643,0,0,0
144,1782588476325,0,0,0
145,1782588476642,0,0,0
146,1782588477524,0,0,0
147,1782588477891,0,0,0
148,1782588478041,0,0,0
149,1782588478590,0,0,0
150,1782588478856,0,0,0
151,1782588479273,0,0,0
152,1782588480622,0,0,0
153,1782588480922,0,0,0
154,1782588481321,0,0,0
155,1782588481605,0,0,0
156,1782588482221,0,0,0
157,1782588482903,0,0,0
158,1782588483236,0,0,0
159,1782588483619,0,0,0
160,1782588484069,0,0,0
161,1782588484885,0,0,0
162,1782588485002,0,0,0
163,1782588485368,0,0,0
164,1782588485701,0,0,0
165,1782588486135,0,0,0
166,1782588486284,0,0,0
167,1782588486633,0,0,0
168,1782588487050,0,0,0
169,1782588487516,0,0,0
170,1782588487966,0,0,0
171,1782588488315,0,0,0
172,1782588488682,0,0,0
173,1782588488998,0,0,0
174,1782588489781,0,0,0
175,1782588490247,0,0,0
176,1782588490663,0,0,0
177,1782588491330,0,0,0
178,1782588491996,0,0,0
179,1782588492345,0,0,0
180,1782588492478,0,0,0
181,1782588492795,0,0,0
182,1782588493179,0,0,0
183,1782588493445,0,0,0
184,1782588494577,0,0,0
185,1782588495060,0,0,0
186,1782588495493,0,0,0
187,1782588495959,0,0,0
188,1782588496276,0,0,0
189,1782588497091,0,0,0
190,1782588497325,0,0,0
191,1782588497841,0,0,0
192,1782588498124,0,0,0
193,1782588503103,0,0,0
194,1782588505501,0,0,0
195,1782588506117,0,0,0
196,1782588507833,0,0,0
197,1782588507999,0,0,0
198,1782588509065,0,0,0
199,1782588509581,0,0,0
200,1782588510230,0,0,0
201,1782588510397,0,0,0
202,1782588510647,0,0,0
203,1782588511064,0,0,0
204,1782588511330,0,0,0
205,1782588511912,0,0,0
206,1782588512795,0,0,0
207,1782588513428,0,0,0
208,1782588513994,0,0,0
209,1782588514594,0,0,0
210,1782588515442,0,0,0
211,1782588516443,0,0,0
212,1782588516608,0,0,0
213,1782588517741,0,0,0
214,1782588518124,0,0,0
215,1782588518757,0,0,0
216,1782588520871,0,0,0
217,1782588520988,0,0,0
218,1782588522903,0,0,0
219,1782588525084,0,0,0
220,1782588525168,0,0,0
221,1782588525484,0,0,0
222,1782588525967,0,0,0
223,1782588527550,0,0,0
224,1782588529098,0,0,0
225,1782588529348,0,0,0
226,1782588529730,0,0,0
227,1782588530130,0,0,0
228,1782588532462,0,0,0
229,1782588536076,0,0,0
230,1782588537258,0,0,0
231,1782588538390,0,0,0
232,1782588538473,0,0,0
233,1782588541339,0,0,0
234,1782588542471,0,0,0
235,1782588542903,0,0,0
236,1782588543869,0,0,0
237,1782588544735,0,0,0
238,1782588544851,0,0,0
239,1782588546067,0,0,0
240,1782588546283,0,0,0
241,1782588546950,0,0,0
242,1782588547200,0,0,0
243,1782588547899,0,0,0
244,1782588548365,0,0,0
245,1782588548748,0,0,0
246,1782588549598,0,0,0
247,1782588550214,0,0,0
248,1782588551329,0,0,0
249,1782588552995,0,0,0
250,1782588554427,0,0,0
251,1782588554744,0,0,0
252,1782588555027,0,0,0
253,1782588555693,0,0,0
254,1782588557357,0,0,0
255,1782588557874,0,0,0
256,1782588557973,0,0,0
257,1782588558540,0,0,0
258,1782588559589,0,0,0
259,1782588559905,0,0,0
260,1782588560688,0,0,0
261,1782588562220,0,0,0
262,1782588562886,0,0,0
263,1782588563669,0,0,0
264,1782588564601,0,0,0
265,1782588565835,0,0,0
266,1782588567632,0,0,0
267,1782588568315,0,0,0
268,1782588569797,0,0,0
269,1782588569948,0,0,0
270,1782588570314,0,0,0
271,1782588570763,0,0,0
272,1782588571628,0,0,0
273,1782588572228,0,0,0
274,1782588572678,0,0,0
275,1782588573261,0,0,0
276,1782588574211,0,0,0
277,1782588575326,0,0,0
278,1782588575925,0,0,0
279,1782588576409,0,0,0
280,1782588576842,0,0,0
281,1782588577474,0,0,0
282,1782588579089,0,0,0
283,1782588579489,0,0,0
284,1782588581055,0,0,0
285,1782588581687,0,0,0
286,1782588582054,0,0,0
287,1782588583586,0,0,0
288,1782588584201,0,0,0
289,1782588584469,0,0,0
290,1782588584968,0,0,0
291,1782588585418,0,0,0
292,1782588585902,0,0,0
293,1782588586800,0,0,0
294,1782588587399,0,0,0
295,1782588587849,0,0,0
296,1782588588931,0,0,0
297,1782588589331,0,0,0
298,1782588589930,0,0,0
299,1782588591512,0,0,0
300,1782588591962,0,0,0
301,1782588594193,0,0,0
302,1782588595176,0,0,0
303,1782588596176,0,0,0
304,1782588596658,0,0,0
305,1782588596708,0,0,0
306,1782588597175,0,0,0
307,1782588598706,0,0,0
308,1782588599256,0,0,0
309,1782588600805,0,0,0
310,1782588601370,0,0,0
311,1782588601853,0,0,0
312,1782588602436,0,0,0
313,1782588602953,0,0,0
314,1782588603385,0,0,0
315,1782588603918,0,0,0
316,1782588604386,0,0,0
317,1782588606482,0,0,0
318,1782588607915,0,0,0
319,1782588608098,0,0,0
320,1782588608581,0,0,0
321,1782588609064,0,0,0
322,1782588609563,1536,0,0
323,1782588610346,0,0,0
324,1782588610862,0,0,0
325,1782588611379,0,0,0
326,1782588611895,0,0,0
327,1782588613411,0,0,0
328,1782588613793,0,0,0
329,1782588614393,0,0,0
330,1782588615325,0,0,0
331,1782588615942,0,0,0
332,1782588616441,0,0,0
333,1782588617174,0,0,0
334,1782588617858,0,0,0
335,1782588618390,0,0,0
336,1782588618889,0,0,0
337,1782588619423,0,0,0
338,1782588619871,0,0,0
339,1782588620388,0,0,0
340,1782588621370,0,0,0
341,1782588622486,0,0,0
342,1782588623985,0,0,0
343,1782588625017,0,0,0
344,1782588625467,0,0,0
345,1782588626049,0,0,0
346,1782588626449,0,0,0
347,1782588627448,0,0,0
348,1782588628181,0,0,0
349,1782588628531,0,0,0
350,1782588628564,0,0,0
351,1782588629014,0,0,0
352,1782588629532,0,0,0
353,1782588630596,0,0,0
354,1782588631162,0,0,0
355,1782588631213,0,0,0
356,1782588632161,0,0,0
357,1782588632677,0,0,0
358,1782588633110,0,0,0
359,1782588634476,0,0,0
360,1782588634959,0,0,0
361,1782588635392,0,0,0
362,1782588635908,0,0,0
363,1782588636857,0,0,0
364,1782588637273,0,0,0
365,1782588637773,0,0,0
366,1782588638207,0,0,0
367,1782588638589,0,0,0
368,1782588639705,0,0,0
369,1782588640704,0,0,0
370,1782588641720,0,0,0
371,1782588642186,0,0,0
