index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
0,1782589765926,0,0,0,0
1,1782589765927,0,0,0,0
2,1782589765927,0,0,10,0
3,1782589765927,0,0,10,0
4,1782589766190,0,0,10,0
5,1782589766573,0,0,10,0
6,1782589766890,0,0,10,0
7,1782589767256,0,0,10,0
8,1782589767606,0,0,75,0
9,1782589770820,0,0,128,0
10,1782589771219,0,0,128,0
11,1782589771635,0,0,170,0
12,1782589772019,0,0,170,0
13,1782589772335,0,0,170,0
14,1782589775349,0,0,204,0
15,1782589775649,0,0,232,0
16,1782589776049,0,0,232,0
17,1782589776249,0,0,232,0
18,1782589776481,0,0,232,0
19,1782589776881,0,0,232,0
20,1782589777181,0,0,232,0
21,1782589777430,0,0,232,0
22,1782589777781,0,0,255,0
23,1782589782493,0,0,289,0
24,1782589782777,0,0,289,0
25,1782589782993,0,0,289,0
26,1782589783309,0,0,289,0
27,1782589783525,0,0,301,0
28,1782589784908,0,0,301,0
29,1782589785241,0,0,301,0
30,1782589785541,0,0,311,0
31,1782589785790,0,0,311,0
32,1782589787023,0,0,311,0
33,1782589787306,0,0,311,0
34,1782589787739,0,0,319,0
35,1782589788175,0,0,319,0
36,1782589788588,0,0,319,0
37,1782589788938,0,0,319,0
38,1782589789155,0,0,319,0
39,1782589792951,0,0,330,0
40,1782589794999,0,0,334,0
41,1782589795383,0,0,334,0
42,1782589795715,0,0,338,0
43,1782589797331,0,0,338,0
44,1782589798896,0,0,341,0
45,1782589799962,0,0,347,0
46,1782589801460,0,0,351,0
47,1782589801860,0,0,351,0
48,1782589802876,0,0,351,0
49,1782589803775,0,0,353,0
50,1782589804341,0,0,353,0
51,1782589804809,0,0,353,0
52,1782589805641,0,0,355,0
53,1782589806606,0,0,355,0
54,1782589806990,0,0,355,0
55,1782589807539,0,0,356,0
56,1782589808771,0,0,356,0
57,1782589810239,0,0,356,0
58,1782589810936,0,0,356,0
59,1782589811936,0,0,356,0
60,1782589812401,0,0,356,0
61,1782589812917,0,0,356,0
62,1782589813950,0,0,356,0
63,1782589814566,0,0,356,0
64,1782589815017,0,0,356,0
65,1782589815483,0,0,356,0
66,1782589816547,0,0,356,0
67,1782589818063,0,0,356,0
68,1782589818496,0,0,356,0
69,1782589819128,0,0,356,0
70,1782589819529,0,0,356,0
71,1782589820079,0,0,356,0
72,1782589820411,0,0,356,0
73,1782589821235,0,0,356,0
74,1782589821410,0,0,356,0
75,1782589822027,0,0,356,0
76,1782589822943,0,0,356,0
77,1782589823992,0,0,356,0
78,1782589825574,0,0,356,0
79,1782589826623,0,0,356,0
80,1782589828621,0,0,356,0
81,1782589829471,0,0,356,0
82,1782589830087,0,0,356,0
83,1782589830470,0,0,356,0
84,1782589831135,0,0,356,0
85,1782589831536,0,0,356,0
86,1782589833400,0,0,356,0
87,1782589834299,0,0,356,0
88,1782589835249,0,0,356,0
89,1782589836214,0,0,356,0
90,1782589836648,0,0,356,0
91,1782589836881,0,0,356,0
92,1782589837081,0,0,356,0
93,1782589837513,0,0,356,0
94,1782589838146,0,0,356,0
95,1782589838496,0,0,356,0
96,1782589840078,0,0,356,0
97,1782589841961,0,0,356,0
98,1782589842693,0,0,356,0
99,1782589843741,0,0,356,0
100,1782589844141,0,0,356,0
101,1782589844258,0,0,356,0
102,1782589845390,0,0,356,0
103,1782589845956,0,0,356,0
104,1782589846606,0,0,356,0
105,1782589846956,0,0,356,0
106,1782589847539,0,0,356,0
107,1782589847955,0,0,356,0
108,1782589849471,0,0,356,0
109,1782589849936,0,0,356,0
110,1782589850503,0,0,356,0
111,1782589850935,0,0,356,0
112,1782589852534,0,0,356,0
113,1782589853167,0,0,356,0
114,1782589854266,0,0,356,0
115,1782589854715,0,0,356,0
116,1782589855182,0,0,356,0
117,1782589855815,0,0,356,0
118,1782589856198,0,0,356,0
119,1782589856715,0,0,356,0
120,1782589857064,0,0,356,0
121,1782589858013,0,0,356,0
122,1782589858880,0,0,356,0
123,1782589859879,0,0,356,0
124,1782589862044,0,0,356,0
125,1782589863042,0,0,356,0
126,1782589863491,0,0,356,0
127,1782589936881,0,0,315,0
128,1782589937213,0,0,315,0
129,1782589938112,0,0,321,0
130,1782589938363,0,0,321,0
131,1782589938978,0,0,321,0
132,1782589939411,0,0,321,0
133,1782589939994,0,0,326,0
134,1782589941643,0,0,326,0
135,1782589944341,0,0,334,0
136,1782589944990,0,0,334,0
137,1782589945955,0,0,336,0
138,1782589946572,0,0,336,0
139,1782589946988,0,0,336,0
140,1782589947654,0,0,336,0
141,1782589948288,0,0,338,0
142,1782589949237,0,0,338,0
143,1782589949886,0,0,341,0
144,1782589950302,0,0,341,0
145,1782589950501,0,0,341,0
146,1782589951235,0,0,341,0
147,1782589952234,0,0,345,0
148,1782589953765,0,0,349,0
149,1782589954815,0,0,349,0
150,1782589955231,0,0,349,0
151,1782589955481,0,0,349,0
152,1782589955747,0,0,349,0
153,1782589956346,0,0,351,0
154,1782589956797,0,0,351,0
155,1782589957679,0,0,354,0
156,1782589958595,0,0,354,0
157,1782589959545,0,0,354,0
158,1782589959993,0,0,357,0
159,1782589960193,0,0,357,0
160,1782589960793,0,0,357,0
161,1782589962125,0,0,360,0
162,1782589962658,0,0,360,0
163,1782589962924,0,0,360,0
164,1782589963324,0,0,360,0
165,1782589964356,0,0,362,0
166,1782589965939,0,0,364,0
