index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
0,1782589765926,0,0,0
1,1782589765926,0,0,0
2,1782589765927,0,0,0
3,1782589765927,0,0,110
4,1782589765928,0,0,110
5,1782589766191,0,0,110
6,1782589766607,0,0,110
7,1782589766923,0,0,110
8,1782589767305,0,0,110
9,1782589770470,0,0,110
10,1782589770853,0,0,110
11,1782589771236,0,0,110
12,1782589771353,0,0,110
13,1782589771669,0,0,110
14,1782589772087,0,0,110
15,1782589772370,0,0,110
16,1782589774999,0,0,110
17,1782589775383,0,0,110
18,1782589775716,0,0,110
19,1782589776082,0,0,110
20,1782589776298,0,0,110
21,1782589776548,0,0,110
22,1782589776897,0,0,110
23,1782589777181,0,0,110
24,1782589777497,0,0,110
25,1782589782510,0,0,110
26,1782589782810,0,0,110
27,1782589783360,0,0,110
28,1782589783559,1,0,110
29,1782589784975,1,0,110
30,1782589785274,1,0,110
31,1782589785574,0,0,110
32,1782589785824,0,0,110
33,1782589786673,0,0,110
34,1782589787056,0,0,110
35,1782589787339,0,0,110
36,1782589788638,0,0,110
37,1782589789237,0,0,110
38,1782589792984,0,0,110
39,1782589794416,0,0,110
40,1782589794716,0,0,110
41,1782589795066,0,0,110
42,1782589795449,0,0,110
43,1782589795765,1,0,110
44,1782589796947,1,0,110
45,1782589797364,1,0,110
46,1782589798946,1,0,110
47,1782589799529,3,21,110
48,1782589801510,3,21,110
49,1782589801894,3,21,110
50,1782589802443,3,21,110
51,1782589802910,3,21,110
52,1782589803343,3,21,110
53,1782589805690,3,21,110
54,1782589806656,3,21,110
55,1782589808854,3,21,110
56,1782589810253,3,21,110
57,1782589810969,3,21,110
58,1782589811987,3,21,110
59,1782589812951,3,21,110
60,1782589813551,3,21,110
61,1782589814599,3,21,110
62,1782589815049,3,21,110
63,1782589815149,3,21,110
64,1782589815548,3,21,110
65,1782589816582,3,21,110
66,1782589818096,3,21,110
67,1782589819179,3,21,110
68,1782589819562,3,21,110
69,1782589820111,3,21,110
70,1782589820461,3,21,110
71,1782589821238,3,21,110
72,1782589821460,3,21,110
73,1782589822077,3,21,110
74,1782589822993,3,21,110
75,1782589823642,3,21,110
76,1782589824059,3,21,110
77,1782589825207,3,21,110
78,1782589825624,3,21,110
79,1782589826239,3,21,110
80,1782589826689,3,21,110
81,1782589828138,3,21,110
82,1782589829504,3,21,110
83,1782589830120,3,21,110
84,1782589830521,3,21,110
85,1782589831169,3,21,110
86,1782589832951,3,21,110
87,1782589833985,3,21,110
88,1782589834333,3,21,110
89,1782589834884,3,21,110
90,1782589835299,3,21,110
91,1782589836265,3,21,110
92,1782589836665,3,21,110
93,1782589836932,3,21,110
94,1782589837114,3,21,110
95,1782589838179,3,21,110
96,1782589840145,3,21,110
97,1782589841160,3,21,110
98,1782589842011,3,21,110
99,1782589842726,3,21,110
100,1782589843791,3,21,110
101,1782589844308,3,21,110
102,1782589844957,3,21,110
103,1782589846041,3,21,110
104,1782589846656,3,21,110
105,1782589846989,3,21,110
106,1782589847589,3,21,110
107,1782589848039,3,21,110
108,1782589848604,3,21,110
109,1782589849504,3,21,110
110,1782589850536,3,21,110
111,1782589852151,3,21,110
112,1782589853200,3,21,110
113,1782589854266,3,21,110
114,1782589854750,3,21,110
115,1782589855832,3,21,110
116,1782589856231,3,21,110
117,1782589856315,3,21,110
118,1782589856764,3,21,110
119,1782589857630,3,21,110
120,1782589858097,3,21,110
121,1782589858930,3,21,110
122,1782589859928,3,21,110
123,1782589862127,3,21,110
124,1782589863125,3,21,110
125,1782589863509,3,21,110
126,1782589864690,3,21,110
127,1782589936480,0,0,110
