index,date,CELL1,CELL2,CELL3,CELL4
0,1782590513161,50,37,37,36
1,1782590516592,50,37,37,36
2,1782590523853,50,37,37,36
3,1782590527932,50,37,37,36
4,1782590528632,50,37,37,36
5,1782590529814,50,37,37,36
6,1782590544602,50,37,37,36
7,1782590546816,50,37,37,36
8,1782590549565,50,37,37,36
9,1782590555225,50,37,37,36
10,1782590560405,50,37,37,36
11,1782591033445,50,38,37,36
12,1782591043154,50,38,37,36
13,1782591044070,50,38,37,36
14,1782591061188,50,38,38,36
15,1782591339688,50,38,37,36
16,1782591350745,51,38,38,36
17,1782591352893,51,38,38,36
18,1782591355026,51,38,38,36
19,1782591369613,51,38,38,36
20,1782591371711,51,38,38,36
21,1782591402502,51,38,38,36
22,1782592190072,50,38,38,37
23,1782592191321,50,38,38,37
24,1782592194701,50,38,38,37
25,1782592198133,50,38,38,37
26,1782592212405,50,38,38,37
