index,date,DESIRED_YAW,MAX_YAW
0,1782589765926,0,0
1,1782589765926,0,0
2,1782589765927,0,0
3,1782589765927,0,0
4,1782589765928,0,0
5,1782589766623,0,0
6,1782589766956,0,0
7,1782589767339,0,0
8,1782589770503,0,0
9,1782589770886,0,0
10,1782589771270,0,0
11,1782589771369,0,0
12,1782589771702,0,0
13,1782589772087,0,0
14,1782589772418,0,0
15,1782589775033,0,0
16,1782589775432,0,0
17,1782589775765,0,0
18,1782589776115,0,0
19,1782589776298,0,0
20,1782589776565,0,0
21,1782589777214,0,0
22,1782589777531,0,0
23,1782589783043,0,0
24,1782589783360,0,0
25,1782589783575,0,0
26,1782589784042,0,0
27,1782589785008,0,0
28,1782589785291,0,0
29,1782589785625,0,0
30,1782589785840,0,0
31,1782589786706,0,0
32,1782589787072,0,0
33,1782589787372,0,0
34,1782589788639,0,0
35,1782589792668,0,0
36,1782589793017,0,0
37,1782589794416,0,0
38,1782589794733,0,0
39,1782589795082,0,0
40,1782589795482,0,0
41,1782589795782,0,0
42,1782589795882,0,0
43,1782589796981,0,0
44,1782589797397,0,0
45,1782589797996,0,0
46,1782589798513,0,0
47,1782589799198,0,0
48,1782589799563,0,0
49,1782589801510,0,0
50,1782589801927,0,0
51,1782589802460,0,0
52,1782589802943,0,0
53,1782589803026,0,0
54,1782589803375,0,0
55,1782589804442,0,0
56,1782589805690,0,0
57,1782589806673,0,0
58,1782589807589,0,0
59,1782589808888,0,0
60,1782589810987,0,0
61,1782589812002,0,0
62,1782589812985,0,0
63,1782589812985,0,0
64,1782589813567,0,0
65,1782589814617,0,0
66,1782589815066,0,0
67,1782589815165,0,0
68,1782589815582,0,0
69,1782589816598,0,0
70,1782589818113,0,0
71,1782589819179,0,0
72,1782589819595,0,0
73,1782589820144,0,0
74,1782589821238,0,0
75,1782589822127,0,0
76,1782589822293,0,0
77,1782589823026,0,0
78,1782589823658,0,0
79,1782589824109,0,0
80,1782589825241,0,0
81,1782589825657,0,0
82,1782589826273,0,0
83,1782589826724,0,0
84,1782589828156,0,0
85,1782589829154,0,0
86,1782589829554,0,0
87,1782589830153,0,0
88,1782589830521,0,0
89,1782589831202,0,0
90,1782589832985,0,0
91,1782589834051,0,0
92,1782589834366,0,0
93,1782589834933,0,0
94,1782589835316,0,0
95,1782589835898,0,0
96,1782589836281,0,0
97,1782589836947,0,0
98,1782589837163,0,0
99,1782589837780,0,0
100,1782589838213,0,0
101,1782589839112,0,0
102,1782589839679,0,0
103,1782589841178,0,0
104,1782589842742,0,0
105,1782589843325,0,0
106,1782589843808,0,0
107,1782589844324,0,0
108,1782589844974,0,0
109,1782589846074,0,0
110,1782589846689,0,0
111,1782589847006,0,0
112,1782589847605,0,0
113,1782589848621,0,0
114,1782589848871,0,0
115,1782589849538,0,0
116,1782589850553,0,0
117,1782589852168,0,0
118,1782589853234,0,0
119,1782589854799,0,0
