index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
0,1782666859017,0,0
1,1782666859018,0,0
2,1782666859018,0,0
3,1782666859116,0,0
4,1782666859451,0,0
5,1782666859832,0,0
6,1782666861581,0,0
7,1782666865049,0,0
8,1782666865383,0,0
9,1782666865764,0,0
10,1782666866047,0,0
11,1782666866580,0,0
12,1782666866931,0,0
13,1782666867281,0,0
14,1782666867532,0,0
15,1782666868732,0,0
16,1782666868882,0,0
17,1782666869182,0,0
18,1782666869615,0,0
19,1782666869882,0,0
20,1782666871231,0,0
21,1782666871865,0,0
22,1782666872215,0,0
23,1782666872548,0,0
24,1782666873466,0,0
25,1782666873549,0,0
26,1782666873915,0,0
27,1782666874198,0,0
28,1782666874583,0,0
29,1782666878082,0,0
30,1782666879800,0,0
31,1782666880181,0,0
32,1782666880582,0,0
33,1782666880798,0,0
34,1782666881047,0,0
35,1782666881332,0,0
36,1782666881965,0,0
37,1782666882299,0,0
38,1782666883465,0,0
39,1782666884948,0,0
40,1782666885265,0,0
41,1782666885615,0,0
42,1782666886099,0,0
43,1782666886498,0,0
44,1782666886799,0,0
45,1782666887132,0,0
46,1782666887381,0,0
47,1782666887665,0,0
48,1782666888049,0,0
49,1782666888216,0,0
50,1782666888849,0,0
51,1782666889199,0,0
52,1782666891748,0,0
53,1782666892115,0,0
54,1782666892448,0,0
55,1782666892833,0,0
56,1782666893066,0,0
57,1782666893816,0,0
58,1782666894465,0,0
59,1782666894749,0,0
60,1782666895082,0,0
61,1782666895365,0,0
62,1782666897615,0,0
63,1782666899965,0,0
64,1782666902032,0,0
65,1782666902383,0,0
66,1782666902732,0,0
67,1782666902933,0,0
68,1782666903448,0,0
69,1782666903934,0,0
70,1782666907416,0,0
71,1782666907682,0,0
72,1782666908548,0,0
73,1782666908882,0,0
74,1782666909249,0,0
75,1782666909532,0,0
76,1782666909932,0,0
77,1782666910182,0,0
78,1782666910299,0,0
79,1782666910598,0,0
80,1782666911265,0,0
81,1782666911582,0,0
82,1782666912832,0,0
83,1782666913066,0,0
84,1782666913365,0,0
85,1782666916615,0,0
86,1782666916967,0,0
87,1782666917250,0,0
88,1782666917634,0,0
89,1782666918399,0,0
90,1782666919282,0,0
91,1782666919666,0,0
92,1782666919851,0,0
93,1782666925383,0,0
94,1782666926800,0,0
95,1782666927166,0,0
96,1782666928883,0,0
97,1782666929149,0,0
98,1782666929566,0,0
99,1782666929799,0,0
100,1782666930949,0,0
101,1782666931183,0,0
102,1782666931533,0,0
103,1782666931866,0,0
104,1782666932183,0,0
105,1782666932349,0,0
106,1782666933284,0,0
107,1782666933650,0,0
108,1782666933983,0,0
109,1782666934216,0,0
110,1782666934550,0,0
111,1782666934866,0,0
112,1782666935366,0,0
113,1782666935700,0,0
114,1782666936018,0,0
115,1782666936316,0,0
116,1782666936582,0,0
117,1782666936884,0,0
118,1782666937233,0,0
119,1782666937383,0,0
120,1782666937683,0,0
121,1782666938017,0,0
122,1782666938382,0,0
123,1782666941249,0,0
124,1782666941549,0,0
125,1782666941950,0,0
126,1782666942150,0,0
127,1782666942701,0,0
128,1782666943000,0,0
129,1782666943333,0,0
130,1782666943700,0,0
131,1782666943949,0,0
132,1782666944299,0,0
133,1782666944583,0,0
134,1782666947449,0,0
135,1782666947733,0,0
136,1782666949716,0,0
137,1782666949983,0,0
138,1782666950266,0,0
139,1782666950549,0,0
140,1782666950883,0,0
141,1782666952117,0,0
142,1782666952367,0,0
143,1782666952667,0,0
144,1782666954184,0,0
145,1782666955267,0,0
146,1782666955617,0,0
147,1782666955949,0,0
148,1782666956285,0,0
149,1782666956617,0,0
150,1782666956883,0,0
151,1782666957366,0,0
152,1782666957766,0,0
153,1782666958083,0,0
154,1782666965683,0,0
155,1782666965950,0,0
156,1782666966350,0,0
157,1782666966868,0,0
158,1782666967199,0,0
159,1782666967484,0,0
160,1782666967786,0,0
161,1782666968185,0,0
162,1782666976885,0,0
163,1782666981036,0,0
164,1782666981370,0,0
165,1782666981551,0,0
166,1782666982217,0,0
167,1782666982601,0,0
168,1782666984336,0,0
169,1782666986100,0,0
170,1782666987584,0,0
171,1782666988285,0,0
172,1782666988534,0,0
173,1782666988866,0,0
174,1782666989333,0,0
175,1782666989667,0,0
176,1782666989985,0,0
177,1782666990334,0,0
178,1782666990651,0,0
179,1782666996800,0,0
180,1782666997067,0,0
181,1782666997351,0,0
182,1782666998871,0,0
183,1782666998967,0,0
184,1782666999367,0,0
185,1782666999600,0,0
186,1782666999969,0,0
187,1782667000184,0,0
188,1782667000517,0,0
189,1782667000851,0,0
190,1782667001169,0,0
191,1782667001885,0,0
192,1782667002234,0,0
193,1782667002535,0,0
194,1782667002902,0,0
195,1782667003818,0,0
196,1782667004051,0,0
197,1782667009636,0,0
198,1782667009901,0,0
199,1782667010270,0,0
200,1782667010584,0,0
201,1782667011150,0,0
202,1782667011484,0,0
203,1782667012084,0,0
204,1782667433975,0,0
205,1782667434676,0,0
206,1782667435475,0,0
207,1782667435575,0,0
208,1782667436374,0,0
209,1782667437356,0,0
210,1782667438173,0,0
211,1782667438941,0,0
212,1782667439073,0,0
213,1782667439840,0,0
214,1782667440723,0,0
215,1782667442540,0,0
216,1782667442757,0,0
217,1782667443575,0,0
218,1782667444158,0,0
219,1782667444523,0,0
220,1782667444924,0,0
221,1782667445209,0,0
222,1782667445359,0,0
223,1782667445640,0,0
224,1782667445957,0,0
225,1782667446356,0,0
226,1782667446624,0,0
227,1782667448126,0,0
228,1782667449258,0,0
229,1782667449574,0,0
230,1782667449975,0,0
231,1782667450273,0,0
232,1782667450724,0,0
233,1782667451058,0,0
234,1782667451360,0,0
235,1782667451757,0,0
236,1782667452091,0,0
237,1782667452907,0,0
238,1782667453175,0,0
239,1782667453441,0,0
240,1782667453857,0,0
241,1782667455608,0,0
242,1782667455824,0,0
243,1782667456174,0,0
244,1782667456774,0,0
245,1782667457074,0,0
246,1782667457774,0,0
247,1782667458141,0,0
248,1782667458407,0,0
249,1782667458741,0,0
250,1782667459124,0,0
251,1782667460224,0,0
252,1782667460458,0,0
253,1782667460807,0,0
254,1782667461124,0,0
255,1782667461457,0,0
256,1782667475025,0,0
257,1782667475724,0,0
258,1782667476441,0,0
259,1782667477174,0,0
260,1782667477307,0,0
261,1782667477992,0,0
262,1782667478174,0,0
263,1782667478508,0,0
264,1782667484374,0,0
265,1782667484626,0,0
266,1782667485041,0,0
267,1782667485275,0,0
268,1782667485774,0,0
269,1782667486208,0,0
270,1782667486542,0,0
271,1782667486874,0,0
272,1782667489724,0,0
273,1782667490041,0,0
274,1782667491542,0,0
275,1782667491874,0,0
276,1782667492224,0,0
277,1782667492575,0,0
278,1782667492774,0,0
279,1782667492957,0,0
280,1782667493358,0,0
281,1782667493608,0,0
282,1782667494008,0,0
283,1782667495758,0,0
284,1782667500442,0,0
285,1782667501308,0,0
286,1782667502508,0,0
287,1782667502559,0,0
288,1782667502941,0,0
289,1782667503258,0,0
290,1782667503641,0,0
291,1782667505042,0,0
292,1782667505374,0,0
293,1782667509476,0,0
294,1782667510308,0,0
