index,date,Comentários
0,1782667966799,Aceleração sem Controles 250% Rafael: início
1,1782668067602,Aceleração sem Controles 250% Rafael: fim
2,1782668206503,Aceleração sem Controles 250% Rafael: início v2
3,1782668239654,Aceleração sem Controles 250% Rafael: fim v2
4,1782668283988,Aceleração sem Controles 250% Rafael: início v3
5,1782668335622,Aceleração sem Controles 250% Rafael: início v3
6,1782668466757,Aceleração sem Controles 250% Rafael: início v4
7,1782668496241,Aceleração sem Controles 250% Rafael: fim v4
8,1782668895830,Aceleração sem Controles 250% Rafael: início v5
9,1782668924398,Aceleração sem Controles 250% Rafael:fim v5
10,1782669038382,Aceleração sem Controles 250% Rafael: início v6
11,1782669085100,Aceleração sem Controles 250% Rafael: fim v6
12,1782669506590,Aceleração sem Controles 250% Rafael: início v7
13,1782669522706,Aceleração sem Controles 250% Rafael: fim v7
14,1782669633558,Aceleração sem Controles 250% Rafael: início v8
15,1782669682912,Aceleração sem Controles 250% Rafael: fim v8
16,1782670022531,Aceleração sem Controles 250% Rafael: início v9
17,1782670043181,Aceleração sem Controles 250% Rafael: fim v9
18,1782670207884,Aceleração com CA 100% Rafael: início v1
19,1782670274317,Aceleração com CA 100% Rafael: fim v1
20,1782670372069,Aceleração com CA 100% Rafael: início v2
21,1782670403287,Aceleração com CA 100% Rafael: fim v2
22,1782672531969,Aceleração sem CA 200%: Rafael início V1
23,1782672553436,Aceleração sem CA 200%: Rafael fim V1
24,1782672635020,Aceleração sem CA 200%: Rafael início V2
25,1782672646305,Aceleração sem CA 200%: Rafael fim V2
26,1782672780389,Aceleração sem CA 150%: Rafael início V1
27,1782672800623,Aceleração sem CA 150%: Rafael fim V1
28,1782672901691,Aceleração sem CA 150%: Rafael início V2
29,1782672920625,Aceleração sem CA 150%: Rafael fim V2
30,1782673009260,Aceleração sem CA 100%: Rafael início V1
31,1782673044326,Aceleração sem CA 100%: Rafael fim V1
32,1782673145578,Aceleração sem CA 100%: Rafael início V2
33,1782673155445,Aceleração sem CA 100%: Rafael fim V2
