index,date,STACK_4,STACK_5,STACK_6
0,1782666869332,13.3,13.34,13.37
1,1782666889948,13.3,13.34,13.37
2,1782666891000,13.3,13.34,13.37
3,1782666892765,13.3,13.34,13.37
4,1782666896565,13.3,13.34,13.37
5,1782666899131,13.3,13.34,13.37
6,1782666901749,13.3,13.34,13.37
7,1782666903332,13.3,13.34,13.37
8,1782666903867,13.3,13.34,13.37
9,1782666906750,13.3,13.34,13.37
10,1782666909015,13.3,13.34,13.37
11,1782666909915,13.3,13.34,13.37
12,1782666912166,13.3,13.34,13.37
13,1782666912982,13.3,13.34,13.37
14,1782666916999,13.3,13.34,13.37
15,1782666920432,13.3,13.34,13.37
16,1782666921632,13.3,13.34,13.37
17,1782666925999,13.3,13.34,13.37
18,1782666926249,13.3,13.34,13.37
19,1782666930833,13.3,13.34,13.37
20,1782666935099,13.3,13.34,13.37
21,1782666935949,13.3,13.34,13.37
22,1782666936232,13.3,13.34,13.37
23,1782666939317,13.3,13.34,13.37
24,1782666945166,13.3,13.34,13.37
25,1782666952217,13.3,13.34,13.37
26,1782666954749,13.3,13.34,13.37
27,1782666955100,13.3,13.34,13.37
28,1782666965466,13.3,13.34,13.37
29,1782666967900,13.3,13.34,13.37
30,1782666968467,13.3,13.34,13.37
31,1782666970500,13.3,13.34,13.37
32,1782666972734,13.3,13.34,13.37
33,1782666975750,13.3,13.34,13.37
34,1782666977186,13.3,13.34,13.37
35,1782666980417,13.3,13.34,13.37
36,1782666981250,13.3,13.34,13.37
37,1782666985933,13.3,13.34,13.37
38,1782666994285,13.3,13.34,13.37
39,1782667000300,13.3,13.34,13.37
40,1782667003250,13.3,13.34,13.37
41,1782667009417,13.3,13.34,13.37
42,1782667444673,13.31,13.34,13.37
43,1782667444792,13.31,13.34,13.37
44,1782667445109,13.3,13.31,13.36
45,1782667449240,13.31,13.33,13.37
46,1782667450591,13.31,13.33,13.37
47,1782667461041,13.31,13.33,13.37
48,1782667463541,13.3,13.33,13.37
49,1782667478425,13.31,13.33,13.37
50,1782667481074,13.31,13.34,13.37
51,1782667481974,13.31,13.34,13.37
52,1782667483607,13.31,13.34,13.37
53,1782667484342,13.31,13.34,13.37
54,1782667487108,13.31,13.34,13.37
55,1782667488891,13.31,13.34,13.37
56,1782667490375,13.31,13.34,13.37
57,1782667491391,13.31,13.34,13.37
58,1782667496895,13.3,13.32,13.37
59,1782667502758,13.3,13.32,13.37
60,1782667503624,13.3,13.32,13.37
61,1782667506892,13.3,13.32,13.37
62,1782667510241,13.3,13.32,13.37
63,1782667515574,13.3,13.32,13.37
64,1782667516224,13.3,13.32,13.37
65,1782667519058,13.3,13.32,13.37
66,1782667522741,13.3,13.32,13.37
67,1782667524942,13.3,13.32,13.37
68,1782667525341,13.3,13.32,13.37
69,1782667530109,13.25,13.21,13.32
70,1782667532391,13.28,13.3,13.35
71,1782667538893,13.22,13.13,13.29
72,1782667542960,13.01,12.69,13.12
73,1782667552959,13.16,13.11,13.22
74,1782667556875,13.26,13.28,13.31
75,1782667562125,13.24,13.25,13.29
76,1782667563609,13.24,13.25,13.29
77,1782667567261,13.26,13.3,13.32
78,1782667571243,13.27,13.3,13.32
79,1782667704445,13.29,13.32,13.34
80,1782667706445,13.29,13.32,13.34
81,1782667707011,13.29,13.32,13.34
82,1782667707694,13.29,13.32,13.34
83,1782667712378,13.29,13.32,13.34
84,1782667716444,13.29,13.32,13.34
85,1782667716628,13.29,13.32,13.34
86,1782667724578,13.29,13.32,13.34
87,1782667730929,13.29,13.32,13.34
88,1782667735312,13.29,13.32,13.34
89,1782667735928,13.29,13.32,13.34
