index,date,ADDR_CELL_TEMP_MAX,ADDR_STACK_TEMP_MAX,MAX_TEMPERATURE
0,1782674146192,501,3,0.1
1,1782674147359,501,3,0.1
2,1782674148926,501,3,0.1
3,1782674154576,501,3,0.1
4,1782674155292,501,3,0.1
5,1782674158143,501,3,0.1
6,1782674161092,501,3,0.1
7,1782674163059,501,3,0.1
8,1782674163160,501,3,0.1
9,1782674166112,501,3,0.1
10,1782674168959,501,3,0.1
11,1782674169059,501,3,0.1
12,1782674177093,501,3,0.1
13,1782676987387,505,3,0.1
14,1782676993151,505,3,0.1
15,1782676994985,505,3,0.1
16,1782676996935,505,3,0.1
17,1782677001819,505,3,0.1
18,1782677009653,505,3,0.1
19,1782677011252,505,3,0.1
20,1782677014369,505,3,0.1
21,1782677016385,505,3,0.1
22,1782677017569,505,3,0.1
23,1782677021102,505,3,0.1
24,1782677022519,505,3,0.1
25,1782677024819,505,3,0.1
26,1782677026302,505,3,0.1
0,1782674146192,501,3,0.1
1,1782674147359,501,3,0.1
2,1782674148926,501,3,0.1
3,1782674154576,501,3,0.1
4,1782674155292,501,3,0.1
5,1782674158143,501,3,0.1
6,1782674161092,501,3,0.1
7,1782674163059,501,3,0.1
8,1782674163160,501,3,0.1
9,1782674166112,501,3,0.1
10,1782674168959,501,3,0.1
11,1782674169059,501,3,0.1
12,1782674177093,501,3,0.1
