timestamp,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,AIR_MINUS,AIR_PLUS,GLV_VOLTAGE,SHUNT_CURRENT,MAX_CELL_VOLTAGE,MIN_CELL_VOLTAGE,MAX_CELL_TEMP,TRACTIVE_VOLTAGE,GNSS_TIMESTAMP,LATITUDE,LONGITUDE,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L,SPEED_FL,SPEED_FR,SPEED_RL,SPEED_RR,RPM_L_MOTOR,TORQUE_L_MOTOR,POWER_L_MOTOR,LEFT_MOTOR_CURRENT,RPM_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,RIGHT_MOTOR_CURRENT,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,BMS_ERRORMASK,BMS_ERROR_LOG1,BMS_ERROR_LOG2,BMS_ERROR_LOG3,BMS_ERROR_LOG4,BMS_ERROR_LOG5,ERROR_SUM_S1,ERROR_SUM_S2,ERROR_SUM_S3,ERROR_SUM_S4,ERROR_SUM_S5,BMS_MODE,ADDR_CELL_VOLT_MIN,ADDR_STACK_VOLT_MIN,ADDR_MIN_VOLTAGE,ADDR_CELL_VOLT_MAX,ADDR_STACK_VOLT_MAX,ADDR_MAX_VOLTAGE,ADDR_CELL_TEMP_MAX,ADDR_STACK_TEMP_MAX,ADDR_MAX_TEMPERATURE,DESIRED_YAW,MAX_YAW,ECU_MODE,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2,DISTANCE_P_ODOM,DISTANCE_T_ODOM,SET_POINT_LONGITUDINAL,SET_POINT_LATERAL,KP,TI,SLIP,RIGHT_MOTOR_TEMPERATURE,LEFT_MOTOR_TEMPERATURE,STACK_1_CELL_1_VOLTAGE,STACK_1_CELL_2_VOLTAGE,STACK_1_CELL_3_VOLTAGE,STACK_1_CELL_4_VOLTAGE,STACK_2_CELL_1_VOLTAGE,STACK_2_CELL_2_VOLTAGE,STACK_2_CELL_3_VOLTAGE,STACK_2_CELL_4_VOLTAGE,STACK_3_CELL_1_VOLTAGE,STACK_3_CELL_2_VOLTAGE,STACK_3_CELL_3_VOLTAGE,STACK_3_CELL_4_VOLTAGE,STACK_4_CELL_1_VOLTAGE,STACK_4_CELL_2_VOLTAGE,STACK_4_CELL_3_VOLTAGE,STACK_4_CELL_4_VOLTAGE,STACK_5_CELL_1_VOLTAGE,STACK_5_CELL_2_VOLTAGE,STACK_5_CELL_3_VOLTAGE,STACK_5_CELL_4_VOLTAGE,STACK_6_CELL_1_VOLTAGE,STACK_6_CELL_2_VOLTAGE,STACK_6_CELL_3_VOLTAGE,STACK_6_CELL_4_VOLTAGE,STACK_1_CELL_1_TEMPERATURE,STACK_1_CELL_2_TEMPERATURE,STACK_1_CELL_3_TEMPERATURE,STACK_1_CELL_4_TEMPERATURE,STACK_2_CELL_1_TEMPERATURE,STACK_2_CELL_2_TEMPERATURE,STACK_2_CELL_3_TEMPERATURE,STACK_2_CELL_4_TEMPERATURE,STACK_3_CELL_1_TEMPERATURE,STACK_3_CELL_2_TEMPERATURE,STACK_3_CELL_3_TEMPERATURE,STACK_3_CELL_4_TEMPERATURE,STACK_4_CELL_1_TEMPERATURE,STACK_4_CELL_2_TEMPERATURE,STACK_4_CELL_3_TEMPERATURE,STACK_4_CELL_4_TEMPERATURE,STACK_5_CELL_1_TEMPERATURE,STACK_5_CELL_2_TEMPERATURE,STACK_5_CELL_3_TEMPERATURE,STACK_5_CELL_4_TEMPERATURE,STACK_6_CELL_1_TEMPERATURE,STACK_6_CELL_2_TEMPERATURE,STACK_6_CELL_3_TEMPERATURE,STACK_6_CELL_4_TEMPERATURE,t,HODOMETRO
1782675407262,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.19,3.26,3.26,3.26,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7407847,7278.814847222425
1782675407279,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.19,3.26,3.26,3.26,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7407864,7278.814847222425
1782675407312,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.19,3.26,3.26,3.26,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7407897,7278.814847222425
1782675407328,1.01,0.02,0.02,-0.56,0.2099999999999999,0.07,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.19,3.26,3.26,3.26,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7407913,7278.814847222425
1782675407345,1.01,0.02,0.02,-0.56,0.2099999999999999,0.07,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.19,3.26,3.26,3.26,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7407930,7278.814847222425
1782675407361,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.19,3.26,3.26,3.26,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7407946,7278.814847222425
1782675407411,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.19,3.26,3.26,3.26,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7407996,7278.814847222425
1782675407428,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.25,3.28,3.28,3.28,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7408013,7278.814847222425
1782675407445,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.25,3.28,3.28,3.28,3.28,3.27,3.29,3.31,3.27,3.27,3.26,3.27,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7408030,7278.814847222425
1782675407462,1.01,0.02,0.02,-0.56,0.2099999999999999,0.0,1.0,1.0,14.82,178.0,0.000333,0.000321,4.42,78.37,17826643893.0,-19.8646335,-43.9725951,0.0,-41.87,0.0,0.0,0.0,0.0,213.018,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.1,0.0,0.0,2.0,0.0,5.0,383.0,0,0.0,0.0,0.0,0.0,0.0,36.76,46.71,3.26,3.23,3.26,3.26,3.25,3.28,3.28,3.28,3.29,3.29,3.31,3.32,3.28,3.28,3.28,3.28,3.26,3.28,3.27,3.3,3.29,3.33,3.23,3.29,33.0,29.9,29.6,30.5,39.8,31.8,32.5,33.0,44.2,33.6,33.1,33.3,34.0,32.2,30.6,30.2,35.5,32.6,36.3,31.8,31.0,31.4,34.7,35.2,7408047,7278.814847222425
