index,date,Igual a,Fora da Faixa,Dentro da Faixa,Maior que,Menor que
0,1782668006033,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 71.950000
1,1782668188969,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.130000
2,1782668188970,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.000000
3,1782668286304,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.130000
4,1782668286304,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.000000
5,1782668503673,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 70.630000
6,1782668504591,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.410000
7,1782669043416,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.130000
8,1782669043416,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.000000
9,1782669050365,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 2.420000
10,1782669050366,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 69.340000
11,1782669510522,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 70.790000
12,1782669729542,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.130000
13,1782669729543,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.000000
14,1782670030847,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 70.620000
15,1782670867144,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.130000
16,1782670867145,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.000000
17,1782670917427,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.130000
18,1782670917428,,,,,TRACTIVE_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.000000
19,1782670955677,,,,,MIN_CELL_VOLTAGE de ACCUMULATOR_PARAMS atingiu 0.130000
