index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
0,1765218499694,482,22,0,262,0,0,0,0
1,1765218499793,996,179,2,1268,0,0,0,0
2,1765218500127,683,333,3,1363,0,0,0,0
3,1765218500410,517,514,3,1417,0,0,0,0
4,1765218500527,44,652,0,1179,0,0,0,0
5,1765218500844,37,697,0,1203,0,0,0,0
6,1765218501244,329,530,2,950,0,0,0,0
7,1765218501576,368,569,2,1039,0,0,0,0
8,1765218501677,506,651,4,1058,0,0,0,0
9,1765218501960,514,619,4,1037,0,0,0,0
10,1765218502243,522,593,4,1032,0,0,0,0
11,1765218502360,556,550,4,1071,0,0,0,0
12,1765218502676,564,551,4,1078,0,0,0,0
13,1765218503410,619,571,4,1108,0,0,0,0
14,1765218503543,677,584,5,1109,0,0,0,0
15,1765218503827,691,570,5,1087,0,0,0,0
16,1765218504126,705,571,5,1075,0,0,0,0
17,1765218504227,727,483,4,1021,0,0,0,0
18,1765218504509,728,458,4,1009,0,0,0,0
19,1765218504960,687,385,3,991,0,0,0,0
20,1765218505243,677,417,3,1038,0,0,0,0
21,1765218505643,630,441,3,1003,0,0,0,0
22,1765218505944,618,421,3,986,0,0,0,0
23,1765218506060,559,430,3,1022,0,0,0,0
24,1765218506343,547,454,3,1041,0,0,0,0
25,1765218506676,536,470,3,1043,0,0,0,0
26,1765218506793,484,460,3,995,0,0,0,0
27,1765218507077,471,438,2,972,0,0,0,0
28,1765218507510,0,0,0,0,0,0,0,0
29,1765218507809,0,0,0,0,0,0,0,0
30,1765218507926,0,0,0,0,0,0,0,0
31,1765218508260,0,0,0,0,0,0,0,0
32,1765218508661,0,0,0,0,0,0,0,0
33,1765218508943,0,0,0,0,0,0,0,0
34,1765218509377,0,0,0,0,0,0,0,0
35,1765218509660,0,0,0,0,0,0,0,0
36,1765218510110,0,0,0,0,0,0,0,0
37,1765218510393,0,0,0,0,0,0,0,0
38,1765218510511,0,0,0,0,0,0,0,0
39,1765218510826,0,0,0,0,0,0,0,0
40,1765218511212,0,0,0,0,0,0,0,0
41,1765218511543,0,0,0,0,0,0,0,0
42,1765218511960,0,0,0,0,0,0,0,0
43,1765218512243,0,0,0,0,0,0,0,0
44,1765218512343,0,0,0,0,0,0,0,0
45,1765218512661,0,0,0,0,0,0,0,0
46,1765218512945,0,0,0,0,0,0,0,0
47,1765218513077,0,0,0,0,0,0,0,0
48,1765218513394,0,0,0,0,0,0,0,0
49,1765218513809,0,0,0,0,0,0,0,0
50,1765218514129,0,0,0,0,0,0,0,0
51,1765218514244,0,0,0,0,0,0,0,0
52,1765218514527,0,0,0,0,0,0,0,0
53,1765218514976,0,0,0,0,0,0,0,0
54,1765218515310,0,0,0,0,0,0,0,0
55,1765218515427,0,0,0,0,0,0,0,0
56,1765218515710,0,0,0,0,0,0,0,0
57,1765218516043,0,0,0,0,0,0,0,0
58,1765218516144,0,0,0,0,0,0,0,0
59,1765218516429,0,0,0,0,0,0,0,0
60,1765218516895,0,0,0,0,0,0,0,0
61,1765218517176,0,0,0,0,0,0,0,0
62,1765218517294,0,0,0,0,0,0,0,0
63,1765218517577,0,0,0,0,0,0,0,0
64,1765218517894,0,0,0,0,0,0,0,0
65,1765218518010,0,0,0,0,0,0,0,0
66,1765218518293,0,0,0,0,0,0,0,0
67,1765218518761,0,0,0,0,0,0,0,0
68,1765218519043,0,0,0,0,0,0,0,0
69,1765218519160,0,0,0,0,0,0,0,0
70,1765218519494,0,0,0,0,0,0,0,0
71,1765218520260,0,0,0,0,0,0,0,0
72,1765218520377,0,0,0,2,0,0,0,0
73,1765218520943,0,1,0,1,0,0,0,0
74,1765218521810,0,0,0,0,0,0,0,0
75,1765218522310,0,0,0,0,0,0,0,0
76,1765218522609,166,0,0,9328,0,0,0,0
77,1765218523043,57,4,0,1,0,0,0,0
78,1765218523327,41,4,0,1,0,0,0,0
79,1765218523460,846,0,0,503,0,0,0,0
80,1765218523793,1845,7,0,799,0,0,0,0
81,1765218524209,888,65,0,827,0,0,0,0
82,1765218524493,1219,49,0,1065,0,0,0,0
83,1765218524926,431,340,1,1164,0,0,0,0
84,1765218525226,330,460,2,1198,0,0,0,0
85,1765218525343,19,783,0,1229,0,0,0,0
86,1765218525693,30,822,0,1234,0,0,0,0
87,1765218526094,230,898,2,1370,0,0,0,0
88,1765218526411,264,916,3,1387,0,0,0,0
89,1765218526559,354,649,3,1009,0,0,0,0
90,1765218526843,365,582,2,970,0,0,0,0
91,1765218527277,152,226,0,11,0,0,0,0
92,1765218527610,125,188,0,26,0,0,0,0
93,1765218527759,49,140,0,41,0,0,0,0
94,1765218528043,40,120,0,41,0,0,0,0
95,1765218528493,1985,30,0,790,0,0,0,0
96,1765218528776,1795,36,0,1,0,0,0,0
97,1765218529243,1152,26,1,997,0,0,0,0
98,1765218529527,924,256,3,1158,0,0,0,0
99,1765218529661,292,667,2,1068,0,0,0,0
100,1765218529960,208,445,1,1137,0,0,0,0
101,1765218530360,179,807,1,1352,0,0,0,0
102,1765218530644,240,824,2,1330,0,0,0,0
103,1765218531111,0,0,0,0,0,0,0,0
104,1765218531394,0,0,0,0,0,0,0,0
105,1765218531511,0,0,0,0,0,0,0,0
106,1765218531827,0,0,0,0,0,0,0,0
107,1765218532228,0,0,0,0,0,0,0,0
108,1765218532543,0,0,0,0,0,0,0,0
109,1765218532960,0,0,0,0,0,0,0,0
110,1765218533277,0,0,0,0,0,0,0,0
111,1765218533343,0,0,0,0,0,0,0,0
112,1765218533661,0,0,0,0,0,0,0,0
113,1765218533945,0,0,0,0,0,0,0,0
114,1765218534078,0,0,0,0,0,0,0,0
115,1765218534411,0,0,0,0,0,0,0,0
116,1765218534811,0,0,0,0,0,0,0,0
117,1765218535111,0,0,0,0,0,0,0,0
118,1765218535245,0,0,0,0,0,0,0,0
119,1765218535528,0,0,0,0,0,0,0,0
120,1765218535995,0,0,0,0,0,0,0,0
121,1765218536261,0,0,0,0,0,0,0,0
