index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
0,1765220698549,5,-9,1,0,0,0,0,0
1,1765220698648,5,-8,0,0,0,0,0,0
2,1765220698848,5,-8,-2,0,0,0,0,0
3,1765220698932,6,-10,1,0,0,0,0,0
4,1765220699198,7,-9,0,0,0,0,0,0
5,1765220699282,6,-11,-1,0,0,0,0,0
6,1765220699483,5,-9,-2,0,0,0,0,0
7,1765220699565,5,-7,-1,0,0,0,0,0
8,1765220699848,5,-8,-2,0,0,0,0,0
9,1765220699915,7,-9,-1,0,0,0,0,0
10,1765220700115,6,-9,1,0,0,0,0,0
11,1765220700199,7,-9,0,0,0,0,0,0
12,1765220700449,5,-9,0,0,0,0,0,0
13,1765220700549,6,-8,0,0,0,0,0,0
14,1765220700765,4,-9,0,0,0,0,0,0
15,1765220700832,7,-9,-1,0,0,0,0,0
16,1765220701148,5,-10,0,0,0,0,0,0
17,1765220701232,4,-8,-1,0,0,0,0,0
18,1765220701432,7,-9,-1,0,0,0,0,0
19,1765220701565,6,-10,1,0,0,0,0,0
20,1765220701749,6,-10,0,0,0,0,0,0
21,1765220701898,5,-9,0,0,0,0,0,0
22,1765220702049,5,-9,2,0,0,0,0,0
23,1765220702248,5,-9,1,0,0,0,0,0
24,1765220702349,5,-9,1,0,0,0,0,0
25,1765220702598,4,-8,0,0,0,0,0,0
26,1765220702682,6,-10,-1,0,0,0,0,0
27,1765220702898,7,-9,1,0,0,0,0,0
28,1765220702998,6,-8,0,0,0,0,0,0
29,1765220703232,6,-9,0,0,0,0,0,0
30,1765220703365,6,-9,0,0,0,0,0,0
31,1765220703531,6,-10,0,0,0,0,0,0
32,1765220703698,4,-11,-2,0,0,0,0,0
33,1765220703815,7,-8,0,0,0,0,0,0
34,1765220703848,4,-9,-2,0,0,0,0,0
35,1765220704065,6,-9,1,0,0,0,0,0
36,1765220704148,3,-8,0,0,0,0,0,0
37,1765220704382,6,-9,1,0,0,0,0,0
38,1765220704482,6,-8,-1,0,0,0,0,0
39,1765220704699,3,-9,0,0,0,0,0,0
40,1765220704831,6,-8,1,0,0,0,0,0
41,1765220704998,6,-9,1,0,0,0,0,0
42,1765220705183,3,-9,-1,0,0,0,0,0
43,1765220705316,5,-9,-1,0,0,0,0,0
44,1765220705515,5,-9,0,0,0,0,0,0
45,1765220705614,5,-8,0,0,0,0,0,0
46,1765220705849,6,-9,0,0,0,0,0,0
47,1765220705931,5,-7,0,0,0,0,0,0
48,1765220706165,7,-10,0,0,0,0,0,0
49,1765220706282,7,-8,0,0,0,0,0,0
50,1765220706464,5,-8,-2,0,0,0,0,0
51,1765220706665,6,-8,-2,0,0,0,0,0
52,1765220706799,14,-8,-1,0,0,0,0,0
53,1765220707015,3,-13,2,0,0,0,0,0
54,1765220707082,8,-7,-2,0,0,0,0,0
55,1765220707330,7,-7,-1,0,0,0,0,0
56,1765220707349,4,-10,-2,0,0,0,0,0
57,1765220707448,6,-8,1,0,0,0,0,0
58,1765220707648,6,-8,0,0,0,0,0,0
59,1765220707781,5,-8,-1,0,0,0,0,0
60,1765220707948,5,-9,0,0,0,0,0,0
61,1765220708131,6,-9,0,0,0,0,0,0
62,1765220708265,5,-9,0,0,0,0,0,0
63,1765220708499,6,-10,-1,0,0,0,0,0
64,1765220708565,5,-8,-1,0,0,0,0,0
65,1765220708831,5,-10,-1,0,0,0,0,0
66,1765220708898,5,-7,0,0,0,0,0,0
67,1765220709115,3,-9,0,0,0,0,0,0
68,1765220709232,5,-9,-1,0,0,0,0,0
69,1765220709415,5,-9,-2,0,0,0,0,0
70,1765220709448,5,-8,-3,0,0,0,0,0
71,1765220709615,5,-10,1,0,0,0,0,0
72,1765220709748,5,-8,1,0,0,0,0,0
73,1765220709948,4,-9,1,0,0,0,0,0
74,1765220710031,5,-9,0,0,0,0,0,0
75,1765220710298,6,-9,-1,0,0,0,0,0
76,1765220710382,6,-10,0,0,0,0,0,0
