index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1765220698765,0,0,0,0,0,0,0,0
1,1765220699116,0,0,0,0,0,0,0,0
2,1765220699398,0,0,0,0,0,0,0,0
3,1765220699765,0,0,0,0,0,0,0,0
4,1765220700031,0,0,0,0,0,0,0,0
5,1765220700332,0,0,0,0,0,0,0,0
6,1765220700382,0,0,0,0,0,0,0,0
7,1765220700681,0,0,0,0,0,0,0,0
8,1765220700964,0,0,0,0,0,0,0,0
9,1765220701332,0,0,0,0,0,0,0,0
10,1765220701598,0,0,0,0,0,0,0,0
11,1765220701915,0,0,0,0,0,0,0,0
12,1765220702197,0,0,0,0,0,0,0,0
13,1765220702515,0,0,0,0,0,0,0,0
14,1765220702798,0,0,0,0,0,0,0,0
15,1765220703081,0,0,0,0,0,0,0,0
16,1765220703399,0,0,0,0,0,0,0,0
17,1765220703682,0,0,0,0,0,0,0,0
18,1765220703982,0,0,0,0,0,0,0,0
19,1765220704282,0,0,0,0,0,0,0,0
20,1765220704598,0,0,0,0,0,0,0,0
21,1765220704865,0,0,0,0,0,0,0,0
22,1765220705149,0,0,0,0,0,0,0,0
23,1765220705448,0,0,0,0,0,0,0,0
24,1765220705732,0,0,0,0,0,0,0,0
25,1765220706065,0,0,0,0,0,0,0,0
26,1765220706349,0,0,0,0,0,0,0,0
27,1765220706615,0,0,0,0,0,0,0,0
28,1765220706648,0,0,0,0,0,0,0,0
29,1765220706932,0,0,0,0,0,0,0,0
30,1765220707215,0,0,0,0,0,0,0,0
31,1765220707531,0,0,0,0,0,0,0,0
32,1765220707815,0,0,0,0,0,0,0,0
33,1765220708116,0,0,0,0,0,0,0,0
34,1765220708398,0,0,0,0,0,0,0,0
35,1765220708698,0,0,0,0,0,0,0,0
36,1765220709015,0,0,0,0,0,0,0,0
37,1765220709298,0,0,0,0,0,0,0,0
38,1765220709597,0,0,0,0,0,0,0,0
39,1765220709881,0,0,0,0,0,0,0,0
40,1765220710198,0,0,0,0,0,0,0,0
41,1765220710482,0,0,0,0,0,0,0,0
42,1765220710764,0,0,0,0,0,0,0,0
43,1765220711081,0,0,0,0,0,0,0,0
44,1765220711365,0,0,0,0,0,0,0,0
45,1765220711682,0,0,0,0,0,0,0,0
46,1765220711965,0,0,0,0,0,0,0,0
47,1765220712249,0,0,0,0,0,0,0,0
48,1765220712265,0,0,0,0,0,0,0,0
49,1765220712549,0,0,0,0,0,0,0,0
50,1765220712816,0,0,0,0,0,0,0,0
51,1765220713132,0,0,0,0,0,0,0,0
52,1765220713431,0,0,0,0,0,0,0,0
53,1765220713748,0,0,0,0,0,0,0,0
