index,date,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
0,1765223565728,-379,7068,-2094,0,0,0,0,0
1,1765223565961,-1221,8560,-3740,0,0,0,0,0
2,1765223566111,220,5443,-3064,0,0,0,0,0
3,1765223566260,-1608,9429,-4977,0,0,0,0,0
4,1765223566444,-434,7967,-832,0,0,0,0,0
5,1765223566728,-366,8834,-589,0,0,0,0,0
6,1765223566844,-678,7789,-1085,0,0,0,0,0
7,1765223567162,-1549,8922,-926,0,0,0,0,0
8,1765223567244,-2476,8698,-878,0,0,0,0,0
9,1765223567461,-2729,6476,-985,0,0,0,0,0
10,1765223567626,-3110,8312,-1434,0,0,0,0,0
11,1765223567860,-2380,7817,-970,0,0,0,0,0
12,1765223567943,-3386,7772,-1607,0,0,0,0,0
13,1765223568160,-3359,8259,-1391,0,0,0,0,0
14,1765223568260,-3041,7016,-1142,0,0,0,0,0
15,1765223568511,-2844,7819,-1468,0,0,0,0,0
16,1765223568628,-2818,8456,-872,0,0,0,0,0
17,1765223568860,-2791,8795,-1121,0,0,0,0,0
18,1765223569010,-2201,8597,-1796,0,0,0,0,0
19,1765223569277,-1816,6806,-1013,0,0,0,0,0
20,1765223569343,-1826,7417,-1363,0,0,0,0,0
21,1765223569644,-1942,8519,-1240,0,0,0,0,0
22,1765223569743,-1541,8994,-985,0,0,0,0,0
23,1765223570026,-1199,7826,-1064,0,0,0,0,0
24,1765223570361,-861,7474,-285,0,0,0,0,0
25,1765223570411,-1448,8178,-2058,0,0,0,0,0
26,1765223570661,-464,8010,-112,0,0,0,0,0
27,1765223570876,-84,7618,-2472,0,0,0,0,0
28,1765223571077,-653,7988,-304,0,0,0,0,0
29,1765223571227,-1688,8131,926,0,0,0,0,0
30,1765223571427,641,7881,-1274,0,0,0,0,0
31,1765223571461,-1355,9149,2700,0,0,0,0,0
32,1765223571745,-2086,7386,530,0,0,0,0,0
33,1765223571828,418,7979,1048,0,0,0,0,0
34,1765223572060,-1348,8372,1358,0,0,0,0,0
35,1765223572076,-871,8278,1594,0,0,0,0,0
36,1765223572210,-664,8162,1527,0,0,0,0,0
37,1765223572493,-974,8778,1604,0,0,0,0,0
38,1765223572576,-872,8103,1290,0,0,0,0,0
39,1765223572895,-1028,8045,1356,0,0,0,0,0
40,1765223572943,-698,7702,1192,0,0,0,0,0
41,1765223573260,-772,8454,1221,0,0,0,0,0
42,1765223573477,-996,8201,1288,0,0,0,0,0
43,1765223573660,-796,7148,964,0,0,0,0,0
44,1765223573862,-1103,9009,1358,0,0,0,0,0
45,1765223574043,-598,7845,478,0,0,0,0,0
46,1765223574311,-552,7808,1118,0,0,0,0,0
47,1765223574378,-519,7930,690,0,0,0,0,0
48,1765223574694,-397,8596,776,0,0,0,0,0
49,1765223574761,-686,7072,1230,0,0,0,0,0
50,1765223575078,-270,7712,2007,0,0,0,0,0
51,1765223575461,478,8654,684,0,0,0,0,0
52,1765223575593,636,8860,157,0,0,0,0,0
53,1765223575793,116,9424,428,0,0,0,0,0
54,1765223575893,1108,8986,-67,0,0,0,0,0
55,1765223576028,1846,8741,748,0,0,0,0,0
56,1765223576193,1084,7897,288,0,0,0,0,0
57,1765223576643,2556,7890,-120,0,0,0,0,0
58,1765223576877,1682,7244,-701,0,0,0,0,0
59,1765223576961,3410,9400,35,0,0,0,0,0
60,1765223577276,2968,8057,-51,0,0,0,0,0
61,1765223577428,4268,8244,155,0,0,0,0,0
62,1765223577609,3003,9474,-250,0,0,0,0,0
63,1765223577760,2142,6865,-1397,0,0,0,0,0
64,1765223577993,2220,6516,-1108,0,0,0,0,0
65,1765223578310,2633,8090,-880,0,0,0,0,0
66,1765223578426,2290,7503,-748,0,0,0,0,0
67,1765223578592,2512,9370,-864,0,0,0,0,0
68,1765223578727,1528,5763,-518,0,0,0,0,0
69,1765223578994,1834,6799,-851,0,0,0,0,0
70,1765223579127,3421,7118,-1430,0,0,0,0,0
71,1765223579275,4656,8050,-422,0,0,0,0,0
72,1765223579427,3228,8474,-1436,0,0,0,0,0
73,1765223579644,4264,9225,-1586,0,0,0,0,0
74,1765223579894,3480,8097,-1646,0,0,0,0,0
75,1765223580143,4456,9554,-1819,0,0,0,0,0
76,1765223580226,4427,8059,-1936,0,0,0,0,0
77,1765223580277,4826,7238,-2575,0,0,0,0,0
78,1765223580510,4684,8151,-2282,0,0,0,0,0
79,1765223580660,4146,7444,-2132,0,0,0,0,0
80,1765223580860,3273,6198,-1962,0,0,0,0,0
81,1765223580945,4963,8339,-94,0,0,0,0,0
82,1765223581026,4703,9068,-628,0,0,0,0,0
83,1765223581260,3195,7011,-622,0,0,0,0,0
84,1765223581711,-563,7107,-566,0,0,0,0,0
85,1765223581875,-1966,9684,-541,0,0,0,0,0
86,1765223582010,-2329,8791,-1032,0,0,0,0,0
87,1765223582194,-3711,8695,-400,0,0,0,0,0
88,1765223582427,-5037,8132,-280,0,0,0,0,0
89,1765223582627,-5765,6334,-225,0,0,0,0,0
90,1765223582726,-4730,8080,-669,0,0,0,0,0
91,1765223582810,-4337,8029,1514,0,0,0,0,0
92,1765223582993,-2006,9016,828,0,0,0,0,0
93,1765223583227,-1254,7325,-1646,0,0,0,0,0
94,1765223583494,1848,8391,-6400,0,0,0,0,0
95,1765223583577,2708,8020,-5067,0,0,0,0,0
96,1765223583810,6529,8477,-1872,0,0,0,0,0
97,1765223583944,6528,9066,-1390,0,0,0,0,0
98,1765223584177,3640,7370,-1828,0,0,0,0,0
99,1765223584277,3989,8936,-1382,0,0,0,0,0
100,1765223584510,3660,8996,-1960,0,0,0,0,0
101,1765223584625,3683,7562,-2247,0,0,0,0,0
102,1765223584960,4689,8600,-1867,0,0,0,0,0
103,1765223585061,3900,9499,-2114,0,0,0,0,0
104,1765223585260,2860,7274,-1604,0,0,0,0,0
105,1765223585294,2300,7695,-1811,0,0,0,0,0
106,1765223585393,2569,9102,-1166,0,0,0,0,0
107,1765223585676,3119,7868,426,0,0,0,0,0
108,1765223585792,3644,8026,-968,0,0,0,0,0
109,1765223586061,4431,8682,38,0,0,0,0,0
110,1765223586144,5468,10715,-524,0,0,0,0,0
111,1765223586361,4090,9319,-312,0,0,0,0,0
112,1765223586577,4432,6919,-754,0,0,0,0,0
113,1765223586810,4097,10366,-938,0,0,0,0,0
114,1765223586960,4642,8309,-482,0,0,0,0,0
115,1765223587110,6053,8583,-128,0,0,0,0,0
116,1765223587210,3969,8564,-1239,0,0,0,0,0
117,1765223587293,3768,8435,-1450,0,0,0,0,0
118,1765223587544,4263,7576,-412,0,0,0,0,0
119,1765223587710,3900,7258,-1749,0,0,0,0,0
120,1765223587910,4074,9186,-2055,0,0,0,0,0
121,1765223588012,3720,6196,-636,0,0,0,0,0
122,1765223588277,4792,7874,-865,0,0,0,0,0
123,1765223588460,2009,6465,-613,0,0,0,0,0
