index,date,MODE_ID,TORQUE_GAIN_ID,ODOM_DISTANCE_P,ODOM_DISTANCE_T,1,2,3,4
0,1765223565593,1,10,2224,0,0,0,0,0
1,1765223566043,1,10,2231,0,0,0,0,0
2,1765223566343,1,10,2231,0,0,0,0,0
3,1765223566476,1,10,2231,0,0,0,0,0
4,1765223566826,1,10,2231,0,0,0,0,0
5,1765223567228,1,10,2232,0,0,0,0,0
6,1765223567560,1,10,2233,0,0,0,0,0
7,1765223567678,1,10,2233,0,0,0,0,0
8,1765223567960,1,10,2235,0,0,0,0,0
9,1765223568377,1,10,2252,0,0,0,0,0
10,1765223568678,1,10,2253,0,0,0,0,0
11,1765223569076,1,10,2257,0,0,0,0,0
12,1765223569376,1,10,2258,0,0,0,0,0
13,1765223569743,1,10,2259,0,0,0,0,0
14,1765223570077,1,10,2260,0,0,0,0,0
15,1765223570193,1,10,2260,0,0,0,0,0
16,1765223570461,1,10,2260,0,0,0,0,0
17,1765223570775,1,10,2260,0,0,0,0,0
18,1765223570876,1,10,2260,0,0,0,0,0
19,1765223571160,1,10,2260,0,0,0,0,0
20,1765223571577,1,10,2262,0,0,0,0,0
21,1765223571877,1,10,2262,0,0,0,0,0
22,1765223572277,1,10,2267,0,0,0,0,0
23,1765223572593,1,10,2269,0,0,0,0,0
24,1765223572710,1,10,2278,0,0,0,0,0
25,1765223572976,1,10,2280,0,0,0,0,0
26,1765223573426,1,10,2294,0,0,0,0,0
27,1765223573727,1,10,2297,0,0,0,0,0
28,1765223574146,1,10,2319,0,0,0,0,0
29,1765223574411,1,10,2323,0,0,0,0,0
30,1765223574827,1,10,2350,0,0,0,0,0
31,1765223575127,1,10,2355,0,0,0,0,0
32,1765223575242,1,10,2376,0,0,0,0,0
33,1765223575528,1,10,2382,0,0,0,0,0
34,1765223575961,1,10,2417,0,0,0,0,0
35,1765223576260,1,10,2423,0,0,0,0,0
36,1765223576677,1,10,2453,0,0,0,0,0
37,1765223576945,1,10,2459,0,0,0,0,0
38,1765223577394,1,10,2496,0,0,0,0,0
39,1765223577677,1,10,2502,0,0,0,0,0
40,1765223577793,1,10,2526,0,0,0,0,0
41,1765223578095,1,10,2532,0,0,0,0,0
42,1765223578510,1,10,2568,0,0,0,0,0
43,1765223578795,1,10,2574,0,0,0,0,0
44,1765223579208,1,10,2592,0,0,0,0,0
45,1765223579493,1,10,2595,0,0,0,0,0
46,1765223579944,1,10,2603,0,0,0,0,0
47,1765223580210,1,10,2603,0,0,0,0,0
48,1765223580344,1,10,2608,0,0,0,0,0
49,1765223580660,1,10,2614,0,0,0,0,0
50,1765223581060,1,10,2644,0,0,0,0,0
51,1765223581362,1,10,2650,0,0,0,0,0
52,1765223581794,1,10,2687,0,0,0,0,0
53,1765223582061,1,10,2693,0,0,0,0,0
54,1765223582177,1,10,2719,0,0,0,0,0
55,1765223582511,1,10,2726,0,0,0,0,0
56,1765223582894,1,10,2766,0,0,0,0,0
57,1765223583209,1,10,2774,0,0,0,0,0
58,1765223583627,1,10,2774,0,0,0,0,0
59,1765223583910,1,10,2774,0,0,0,0,0
60,1765223584328,1,10,2775,0,0,0,0,0
61,1765223584612,1,10,2775,0,0,0,0,0
62,1765223584726,1,10,2777,0,0,0,0,0
63,1765223585044,1,10,2777,0,0,0,0,0
64,1765223585445,1,10,2790,0,0,0,0,0
65,1765223585758,1,10,2796,0,0,0,0,0
