index,date,SPEED_AVERAGE,STEERING_WHEEL,THROTTLE,BRAKE,1,2,3,4
0,1765227022621,0,0,847,0,0,0,0,0
1,1765227023026,0,0,847,0,0,0,0,0
2,1765227023314,0,0,847,0,0,0,0,0
3,1765227023439,0,0,847,0,0,0,0,0
4,1765227023771,0,0,847,0,0,0,0,0
5,1765227024181,0,0,847,0,0,0,0,0
6,1765227024522,0,0,1000,0,0,0,0,0
7,1765227024647,0,0,846,0,0,0,0,0
8,1765227024929,0,0,1000,0,0,0,0,0
9,1765227025389,0,0,335,0,0,0,0,0
10,1765227025671,0,0,322,0,0,0,0,0
11,1765227026121,0,0,0,0,0,0,0,0
12,1765227026556,0,0,0,0,0,0,0,0
13,1765227026839,0,0,0,0,0,0,0,0
14,1765227027314,0,0,0,0,0,0,0,0
15,1765227027597,0,0,0,0,0,0,0,0
16,1765227027780,0,0,0,0,0,0,0,0
17,1765227028089,0,0,0,0,0,0,0,0
18,1765227028264,0,0,0,0,0,0,0,0
19,1765227028556,0,0,0,0,0,0,0,0
20,1765227028996,0,0,0,0,0,0,0,0
21,1765227029279,0,0,0,0,0,0,0,0
22,1765227029731,0,0,158,0,0,0,0,0
23,1765227030223,0,0,0,0,0,0,0,0
24,1765227030506,0,0,0,0,0,0,0,0
25,1765227030936,0,0,0,0,0,0,0,0
26,1765227031211,0,0,0,0,0,0,0,0
27,1765227031355,0,0,0,0,0,0,0,0
28,1765227031689,0,0,0,0,0,0,0,0
29,1765227032096,0,0,0,0,0,0,0,0
30,1765227032371,0,0,0,0,0,0,0,0
31,1765227032821,0,0,0,0,0,0,0,0
32,1765227033096,0,0,0,0,0,0,0,0
33,1765227033213,0,0,0,0,0,0,0,0
34,1765227033564,0,0,0,0,0,0,0,0
35,1765227033955,0,0,0,0,0,0,0,0
36,1765227034287,0,0,0,0,0,0,0,0
37,1765227034405,0,0,0,0,0,0,0,0
38,1765227034678,0,0,0,0,0,0,0,0
39,1765227035129,0,0,0,0,0,0,0,0
40,1765227035420,0,0,0,0,0,0,0,0
41,1765227035829,0,0,0,0,0,0,0,0
42,1765227036146,0,0,0,0,0,0,0,0
43,1765227036274,0,0,0,0,0,0,0,0
44,1765227036545,0,0,0,0,0,0,0,0
45,1765227037018,0,0,0,0,0,0,0,0
46,1765227037303,0,0,0,0,0,0,0,0
47,1765227037746,0,0,0,0,0,0,0,0
48,1765227038037,0,0,0,0,0,0,0,0
49,1765227038154,0,0,0,0,0,0,0,0
50,1765227038470,0,0,0,0,0,0,0,0
51,1765227038904,0,0,0,0,0,0,0,0
52,1765227039195,0,0,0,0,0,0,0,0
53,1765227039637,0,0,0,0,0,0,0,0
54,1765227039904,0,0,0,0,0,0,0,0
55,1765227040021,0,0,0,0,0,0,0,0
56,1765227040362,0,0,0,0,0,0,0,0
57,1765227040770,0,0,0,0,0,0,0,0
58,1765227041079,0,0,0,0,0,0,0,0
59,1765227041495,0,0,0,0,0,0,0,0
60,1765227041807,0,0,0,0,0,0,0,0
61,1765227041902,0,0,0,0,0,0,0,0
62,1765227042245,0,0,0,0,0,0,0,0
63,1765227042645,0,0,0,0,0,0,0,0
64,1765227042949,0,0,0,0,0,0,0,0
65,1765227043369,0,0,0,0,0,0,0,0
66,1765227043725,0,0,0,0,0,0,0,0
67,1765227043836,0,0,0,0,0,0,0,0
68,1765227044111,0,0,0,0,0,0,0,0
69,1765227044513,0,0,0,0,0,0,0,0
70,1765227044820,0,0,0,0,0,0,0,0
71,1765227045202,0,0,0,0,0,0,0,0
72,1765227045542,0,0,0,0,0,0,0,0
73,1765227045653,0,0,0,0,0,0,0,0
74,1765227045935,0,0,0,0,0,0,0,0
75,1765227046353,0,0,0,0,0,0,0,0
76,1765227046643,0,0,0,0,0,0,0,0
77,1765227047103,0,0,0,0,0,0,0,0
78,1765227047403,0,0,0,0,0,0,0,0
79,1765227047519,0,0,0,0,0,0,0,0
80,1765227047810,0,0,0,0,0,0,0,0
81,1765227048227,0,0,0,0,0,0,0,0
82,1765227048513,0,0,0,0,0,0,0,0
83,1765227048961,0,0,0,0,0,0,0,0
84,1765227049253,0,0,0,0,0,0,0,0
85,1765227049370,0,0,0,0,0,0,0,0
86,1765227049702,0,0,0,0,0,0,0,0
87,1765227050103,0,0,0,0,0,0,0,0
88,1765227050427,0,0,0,0,0,0,0,0
89,1765227050845,0,0,0,0,0,0,0,0
90,1765227051119,0,0,0,0,0,0,0,0
91,1765227051252,0,0,0,0,0,0,0,0
92,1765227051578,0,0,0,0,0,0,0,0
93,1765227051968,0,0,0,0,0,0,0,0
94,1765227052311,0,0,0,0,0,0,0,0
95,1765227052437,0,0,0,0,0,0,0,0
96,1765227052725,0,0,0,0,0,0,0,0
97,1765227053027,0,0,0,0,0,0,0,0
98,1765227053151,0,0,0,0,0,0,0,0
99,1765227053425,0,0,0,0,0,0,0,0
100,1765227053860,0,0,0,0,0,0,0,0
101,1765227054193,0,0,0,0,0,0,0,0
102,1765227054320,0,0,0,0,0,0,0,0
103,1765227054593,0,0,0,0,0,0,0,0
104,1765227055052,0,0,0,0,0,0,0,0
105,1765227055326,0,0,0,0,0,0,0,0
106,1765227055820,0,0,0,0,0,0,0,0
107,1765227056243,0,0,0,0,0,0,0,0
108,1765227056553,0,0,0,0,0,0,0,0
109,1765227056977,0,0,0,0,0,0,0,0
110,1765227057269,0,0,0,0,0,0,0,0
111,1765227057427,0,0,0,0,0,0,0,0
112,1765227057754,0,0,0,0,0,0,0,0
113,1765227058193,0,0,0,0,0,0,0,0
114,1765227058528,0,0,0,0,0,0,0,0
115,1765227058659,0,0,0,0,0,0,0,0
116,1765227058948,0,0,0,0,0,0,0,0
117,1765227059435,0,0,0,0,0,0,0,0
118,1765227059892,0,0,0,0,0,0,0,0
119,1765227060176,0,0,0,0,0,0,0,0
120,1765227060633,0,0,0,0,0,0,0,0
121,1765227060929,0,0,0,0,0,0,0,0
122,1765227061076,0,0,0,0,0,0,0,0
123,1765227061409,0,0,0,0,0,0,0,0
124,1765227061568,0,0,0,0,0,0,0,0
125,1765227061858,0,0,0,0,0,0,0,0
126,1765227062342,0,0,0,0,0,0,0,0
127,1765227062626,0,0,0,0,0,0,0,0
128,1765227063109,0,0,0,1,0,0,0,0
129,1765227063553,0,0,0,1,0,0,0,0
130,1765227063849,0,0,0,1,0,0,0,0
131,1765227064000,0,0,0,1,0,0,0,0
132,1765227064342,0,0,0,1,0,0,0,0
133,1765227066020,0,0,0,1,0,0,0,0
134,1765227066021,0,0,0,1,0,0,0,0
135,1765227066021,0,0,0,1,0,0,0,0
136,1765227066021,0,0,0,1,0,0,0,0
137,1765227066021,0,0,0,1,0,0,0,0
138,1765227066273,0,0,0,1,0,0,0,0
139,1765227066682,0,0,0,1,0,0,0,0
140,1765227067141,0,0,0,1,0,0,0,0
141,1765227067407,0,0,0,1,0,0,0,0
142,1765227067857,0,0,0,1,0,0,0,0
143,1765227068132,0,0,0,1,0,0,0,0
144,1765227068592,0,0,0,1,0,0,0,0
145,1765227068992,0,0,0,1,0,0,0,0
146,1765227069282,0,0,0,1,0,0,0,0
147,1765227069707,0,0,0,1,0,0,0,0
148,1765227069999,0,0,0,1,0,0,0,0
149,1765227070449,0,0,0,1,0,0,0,0
