index,date,ALTITUDE,GROUND_SPEED,FIX
0,1780260522837,65277,0,0
1,1780260523036,65270,0,0
2,1780260525552,65278,0,0
3,1780260526136,65275,0,0
4,1780260526302,65278,0,0
5,1780260526586,65274,0,0
6,1780260526803,65278,0,0
7,1780260528202,65289,0,0
8,1780260530886,65278,0,0
9,1780260531502,65274,0,0
10,1780260531869,65276,0,0
11,1780260532319,65282,0,0
12,1780260532852,65280,0,0
13,1780260533152,65278,0,0
14,1780260534053,65291,0,0
15,1780260534835,65282,0,0
16,1780260535502,65280,0,0
17,1780260536153,65284,0,0
18,1780260536203,65278,0,0
19,1780260536368,65280,0,0
20,1780260537685,65284,0,0
21,1780260538136,65293,0,0
22,1780260538552,65289,0,0
23,1780260539868,65297,0,0
24,1780260540369,65293,0,0
25,1780260540618,65293,0,0
26,1780260540951,65286,0,0
27,1780260541235,65294,0,0
28,1780260541570,65289,0,0
29,1780260543136,65284,0,0
30,1780260545518,65295,0,0
31,1780260546586,65299,0,0
32,1780260546802,65297,0,0
33,1780260547252,65298,0,0
34,1780260547419,65299,0,0
35,1780260547535,65293,0,0
36,1780260548869,65312,0,0
37,1780260549268,65297,0,0
38,1780260549486,65314,0,0
39,1780260549804,65304,0,0
40,1780260550102,65300,0,0
41,1780260551136,65304,0,0
42,1780260552319,65317,0,0
43,1780260552402,65300,0,0
44,1780260552535,65311,0,0
45,1780260553851,65319,0,0
46,1780260553984,65299,0,0
47,1780260555453,65311,0,0
48,1780260555619,65305,0,0
49,1780260558568,65309,0,0
50,1780260558835,65302,0,0
51,1780260558918,65311,0,0
52,1780260559220,65326,0,0
53,1780260559469,65311,0,0
54,1780260559636,65313,0,0
55,1780260559952,65317,0,0
56,1780260560118,65315,0,0
57,1780260560451,65311,0,0
58,1780260560818,65305,0,0
59,1780260560901,65322,0,0
60,1780260561401,65319,0,0
61,1780260561650,65307,0,0
62,1780260561984,65324,0,0
63,1780260563218,65324,0,0
64,1780260564117,65328,0,0
65,1780260564951,65315,0,0
66,1780260565067,65324,0,0
67,1780260565502,65330,0,0
68,1780260566167,65324,0,0
69,1780260566417,65317,0,0
70,1780260566651,65330,0,0
71,1780260569067,65334,0,0
72,1780260569517,65315,0,0
73,1780260570300,65322,0,0
74,1780260570467,65319,0,0
75,1780260571083,65330,0,0
76,1780260571500,65334,0,0
77,1780260572251,65319,0,0
78,1780260573367,65328,0,0
79,1780260574218,65324,0,0
80,1780260575135,65322,0,0
81,1780260575333,65328,0,0
82,1780260575500,65326,0,0
83,1780260575918,65326,0,0
84,1780260577651,65332,0,0
85,1780260578134,65324,0,0
86,1780260578752,65334,0,0
87,1780260578801,65322,0,0
88,1780260578883,65334,0,0
89,1780260579001,65332,0,0
90,1780260579333,65332,0,0
91,1780260579917,65332,0,0
92,1780260580451,65328,0,0
93,1780260581066,65336,0,0
94,1780260582518,65332,0,0
95,1780260583166,65337,0,0
96,1780260583467,65334,0,0
97,1780260584249,65337,0,0
98,1780260584816,65337,0,0
99,1780260585400,65332,0,0
100,1780260585566,65332,0,0
101,1780260586549,65334,0,0
102,1780260586966,65337,0,0
103,1780260588083,65337,0,0
104,1780260589232,65337,0,0
105,1780260590383,65328,0,0
106,1780260590850,65337,0,0
107,1780260591250,65334,0,0
108,1780260592117,65330,0,0
109,1780260592332,65334,0,0
110,1780260593233,65328,0,0
111,1780260593483,65334,0,0
112,1780260594266,65332,0,0
113,1780260595216,65328,0,0
114,1780260595299,65337,0,0
115,1780260596116,65344,0,0
116,1780260596282,65327,0,0
117,1780260597283,65338,0,0
118,1780260597899,65341,0,0
119,1780260598266,65337,0,0
120,1780260599952,65332,0,0
121,1780260601532,65335,0,0
122,1780260601732,65336,0,0
123,1780260601815,65334,0,0
124,1780260601849,65334,0,0
125,1780260602348,65324,0,0
126,1780260603215,65334,0,0
127,1780260603432,65334,0,0
128,1780260603515,65335,0,0
129,1780260604366,65337,0,0
130,1780260605082,65339,0,0
131,1780260605316,65336,0,0
132,1780260605482,65339,0,0
133,1780260606633,65329,0,0
134,1780260606799,65335,0,0
135,1780260607048,65339,0,0
136,1780260607099,65335,0,0
137,1780260607964,65337,0,0
138,1780260608299,65341,0,0
139,1780260609083,65340,0,0
140,1780260609532,65335,0,0
141,1780260609851,65336,0,0
142,1780260610717,65337,0,0
143,1780260612165,65337,0,0
144,1780260612748,65340,0,0
145,1780260614232,65340,0,0
146,1780260614883,65350,0,0
147,1780260616698,65338,0,0
148,1780260616948,65335,0,0
149,1780260617198,65340,0,0
150,1780260618431,65333,0,0
151,1780260619131,65335,0,0
152,1780260621531,65342,0,0
153,1780260621813,65337,0,0
154,1780260623097,65345,0,0
155,1780260623215,65339,0,0
156,1780260624048,65338,0,0
157,1780260624248,65348,0,0
