index,date,GYRO_X,GYRO_Y,GYRO_Z
0,1780259510892,-436,-5034,7189
1,1780259512195,5311,0,0
2,1780259512329,4956,-5423,4496
3,1780259512396,5048,-6860,5675
4,1780259513762,-3,-4968,6640
5,1780259513963,6594,0,414
6,1780259514013,-154,-5154,6586
7,1780259514179,6602,0,0
8,1780259514429,-108,-5134,6572
9,1780259515380,-184,-5127,6608
10,1780259516949,-136,-5131,6568
11,1780259518279,-122,-5099,6607
12,1780259518646,-122,-5098,6581
13,1780259520246,-130,-5124,6565
14,1780259523096,-135,-5104,6608
15,1780259523230,-126,-5084,6584
16,1780259523429,-128,-5099,6610
17,1780259524163,-132,-5099,6632
18,1780259525412,-142,-5083,6553
19,1780259525579,-161,-5090,6643
20,1780259527849,-132,-5131,6608
21,1780259528212,-155,-5105,6642
22,1780259528462,-98,-5103,6599
23,1780259529463,-160,-5132,6646
24,1780259530080,-117,-5096,6623
25,1780259531096,-109,-5107,6602
26,1780259532295,-1,-5120,6571
27,1780259532429,-292,-5070,6625
28,1780259532912,-162,-5069,6565
29,1780259607190,312,-5555,6249
30,1780259609041,323,-5527,6130
31,1780259611091,308,-5570,6230
32,1780259611207,294,-5565,6241
33,1780259611707,300,-5566,6219
34,1780259613074,288,-5545,6217
35,1780259613308,287,-5563,6224
36,1780259613557,344,-5553,6183
37,1780259614425,323,-5558,6222
38,1780259614575,328,-5578,6223
39,1780259615042,411,-5576,6173
40,1780259616673,333,-5548,6220
41,1780259617274,315,-5535,6211
42,1780259617357,302,-5576,6226
43,1780259617890,325,-5580,6218
44,1780259618324,310,-5544,6249
45,1780259618440,357,-5572,6202
46,1780259619491,338,-5550,6204
47,1780259627209,288,-5580,6235
48,1780259628139,352,-5563,6212
49,1780259628456,311,-5538,6207
50,1780259629740,319,-5572,6230
51,1780259631272,323,-5570,6212
52,1780259631806,298,-5554,6224
53,1780259631924,361,-5560,6279
54,1780259632872,316,-5532,6207
55,1780259632923,312,-5560,6230
56,1780259633006,300,-5570,6256
57,1780259634274,343,-5536,6202
58,1780259634889,310,-5570,6233
59,1780259635339,316,-5536,6207
60,1780259635472,321,-5546,6196
61,1780259635790,326,-5571,6242
62,1780259637140,317,-5566,6222
63,1780259637707,313,-5566,6217
64,1780259638089,330,-5565,6240
65,1780259639772,297,-5604,6255
66,1780259640022,370,-5554,6162
67,1780259640272,334,-5550,6226
68,1780259640439,325,-5593,6221
69,1780259640605,330,-5539,6265
70,1780259641338,331,-5560,6212
71,1780259641472,299,-5570,6229
72,1780259641556,328,-5565,6235
73,1780259642255,288,-5531,6225
74,1780259642339,305,-5539,6250
75,1780259642705,300,-5546,6214
76,1780259644689,281,-5478,6247
77,1780259644722,372,-5555,6231
78,1780259644889,309,-5578,6225
79,1780259645106,297,-5533,6180
80,1780259646039,270,-5544,6196
81,1780259646740,329,-5564,6196
82,1780259647038,309,-5601,6206
83,1780259648355,318,-5566,6246
84,1780259649173,310,-5563,6234
85,1780259650539,308,-5554,6222
86,1780259650704,304,-5565,6207
87,1780259650954,323,-5578,6230
88,1780259651205,333,-5549,6233
89,1780259651371,295,-5591,6241
90,1780259652521,305,-5560,6230
91,1780259652638,319,-5555,6220
92,1780259653221,312,-5548,6226
93,1780259653588,304,-5574,6234
94,1780259653755,310,-5553,6226
95,1780259654537,328,-5558,6214
96,1780259655072,353,-5582,6217
97,1780259655540,316,-5564,6224
98,1780259656154,266,-5534,6249
99,1780259657020,325,-5565,6225
100,1780259657137,316,-5550,6210
101,1780259657471,312,-5544,6222
102,1780259657554,318,-5582,6221
103,1780259659538,334,-5533,6150
104,1780259659872,304,-5590,6212
105,1780259659938,295,-5530,6231
106,1780259660271,338,-5585,6261
107,1780259661054,312,-5549,6250
108,1780259661471,282,-5631,6267
109,1780259662504,320,-5555,6212
110,1780259663622,322,-5602,6202
111,1780259663789,288,-5526,6254
112,1780259664403,304,-5563,6264
113,1780259664520,334,-5535,6139
114,1780259664853,276,-5555,6274
115,1780259665021,288,-5586,6330
116,1780259665921,303,-5554,6270
117,1780259666587,325,-5556,6220
118,1780259667403,317,-5558,6244
119,1780259667737,328,-5559,6203
120,1780259668320,304,-5559,6249
121,1780259668520,320,-5558,6221
122,1780259670004,279,-5534,6210
123,1780259671037,312,-5552,6223
124,1780259671704,348,-5571,6220
125,1780259673020,307,-5548,6241
126,1780259673104,314,-5543,6196
127,1780259673720,304,-5562,6256
128,1780259673887,332,-5556,6200
129,1780259673970,318,-5588,6232
130,1780259675338,310,-5570,6191
131,1780259676361,338,-5551,6228
132,1780259676769,314,-5558,6242
133,1780259677222,321,-5564,6232
134,1780259677470,318,-5553,6229
135,1780259678087,6222,0,0
136,1780259678220,314,-5538,6206
137,1780259678487,306,-5598,6235
138,1780259678653,6215,0,0
139,1780259678987,322,-5598,6217
140,1780259679521,337,-5570,6234
141,1780259679639,325,-5556,6231
142,1780259680187,316,-5550,6214
143,1780259680636,322,-5549,6264
144,1780259681154,300,-5551,6230
145,1780259681653,302,-5559,6248
146,1780259682569,317,-5564,6235
147,1780259683788,291,-5568,6226
148,1780259685319,312,-5540,6226
149,1780259686720,349,-5574,6217
150,1780259687786,293,-5562,6228
151,1780259688203,320,-5573,6238
152,1780259688736,322,-5556,6217
153,1780259689069,312,-5569,6220
154,1780259689521,286,-5554,6242
155,1780259691053,311,-5552,6245
156,1780259691136,315,-5564,6224
