index,date,CELL_1,CELL_2,CELL_3,CELL_4
0,1780259519562,252,250,247,250
1,1780259522432,253,250,247,250
2,1780259613791,255,250,247,250
3,1780259639239,254,251,247,250
4,1780259660021,254,250,247,250
5,1780259669470,254,251,247,250
6,1780259706902,253,250,247,250
7,1780259708468,253,250,247,250
8,1780259713918,253,250,247,250
9,1780259744832,253,250,247,250
10,1780259747850,253,250,247,250
11,1780259750782,253,250,247,250
12,1780259753498,252,250,247,250
13,1780259767515,252,250,247,250
14,1780259791982,252,250,247,250
15,1780259797113,252,250,247,250
16,1780259815496,252,250,247,250
17,1780259843895,252,250,247,250
18,1780259862826,252,250,247,250
19,1780259866093,252,250,247,250
