index,date,CELL_1,CELL_2,CELL_3,CELL_4
0,1780260974013,247,245,244,245
1,1780261075855,259,246,246,245
2,1780261080588,259,246,246,245
3,1780261104770,265,246,248,246
4,1780261152818,281,248,251,248
5,1780261157767,281,248,251,248
6,1780261162869,281,248,251,248
7,1780261164400,281,248,251,248
8,1780261178418,281,248,251,248
9,1780261196615,283,249,253,249
10,1780261615458,270,253,253,255
11,1780261638842,268,254,253,256
12,1780261665857,267,254,253,256
13,1780261742234,265,254,253,256
14,1780261869477,262,254,252,255
15,1780261893442,262,254,252,255
16,1780262108580,264,255,254,256
17,1780262158110,264,255,254,256
18,1780262282471,261,255,253,256
19,1780262696079,263,257,255,258
20,1780262706062,263,257,255,258
21,1780262726030,263,257,255,258
22,1780262734478,263,257,255,258
23,1780262766892,263,257,255,258
24,1780262782575,263,257,255,258
25,1780262792141,263,257,255,258
26,1780262819975,262,257,255,258
27,1780262854288,262,257,255,258
28,1780262869604,262,257,255,258
