index,date,FRONT_LEFT,FRONT_RIGHT,REAR_LEFT,REAR_RIGHT
0,1780262700579,0,0,0,0
1,1780262701479,0,0,0,0
2,1780262701646,0,0,2,0
3,1780262704412,0,0,0,0
4,1780262704731,0,0,0,0
5,1780262707131,0,0,0,0
6,1780262709313,0,0,0,0
7,1780262713687,0,0,0,0
8,1780262713687,0,0,0,0
9,1780262713687,0,0,0,4
10,1780262713687,0,0,0,4
11,1780262714345,0,0,0,4
12,1780262715496,0,0,0,4
13,1780262719211,0,0,0,4
14,1780262720578,0,0,0,5
15,1780262721862,0,0,0,5
16,1780262723512,0,0,0,5
17,1780262725230,0,0,2,5
18,1780262726645,0,0,2,5
19,1780262727878,0,0,2,5
20,1780262729028,0,0,2,5
21,1780262729445,0,0,2,5
22,1780262730761,0,0,2,5
23,1780262736044,4,0,2,5
24,1780262737646,6,0,2,5
25,1780262738394,6,0,2,5
26,1780262738678,6,0,2,5
27,1780262739960,6,0,2,5
28,1780262741860,6,0,2,5
29,1780262742311,6,0,2,5
30,1780262742477,6,0,2,5
31,1780262746360,6,0,0,5
32,1780262747144,6,0,0,5
33,1780262747260,6,0,0,5
34,1780262748127,6,0,0,5
35,1780262755642,6,0,2,5
36,1780262756744,19,0,2,5
37,1780262757076,19,0,0,5
38,1780262758360,19,0,0,5
39,1780262759795,19,0,0,5
40,1780262760710,19,0,0,5
41,1780262762146,19,0,192,0
42,1780262763426,19,0,192,0
43,1780262763643,19,0,192,0
44,1780262765043,19,0,192,0
45,1780262766193,19,0,192,0
46,1780262766275,19,0,192,0
47,1780262771142,19,0,192,0
48,1780262773860,19,0,192,0
49,1780262774775,19,0,192,0
50,1780262774942,19,0,192,0
51,1780262774975,19,0,192,0
52,1780262776958,19,0,192,0
53,1780262777860,19,0,192,0
54,1780262778409,19,0,192,0
55,1780262779142,19,0,192,0
56,1780262779642,19,0,192,0
57,1780262779808,19,0,192,0
58,1780262780309,19,0,192,0
59,1780262780842,19,0,192,0
60,1780262781008,19,0,192,0
61,1780262782242,19,0,192,0
62,1780262782691,19,0,192,0
63,1780262784709,19,0,192,0
64,1780262787142,19,0,194,0
65,1780262787308,19,0,192,0
66,1780262788875,19,0,192,0
67,1780262789008,19,0,192,0
68,1780262789824,19,0,192,0
69,1780262790241,19,0,192,0
70,1780262793458,19,0,192,0
71,1780262796425,19,0,192,0
72,1780262797957,19,0,192,0
73,1780262798125,19,0,192,0
74,1780262798361,19,0,192,0
75,1780262798490,19,0,192,0
76,1780262800807,19,0,192,0
77,1780262801091,19,0,192,0
78,1780262802907,19,0,192,0
79,1780262802990,19,0,192,0
80,1780262803857,19,0,192,0
81,1780262804975,19,0,192,0
82,1780262807723,19,0,192,0
83,1780262808424,19,0,192,0
84,1780262808590,19,0,192,0
85,1780262810857,19,0,192,0
86,1780262811189,19,0,192,0
87,1780262812424,19,0,192,0
88,1780262812672,19,0,192,0
89,1780262814239,19,0,192,0
90,1780262815074,19,0,192,0
91,1780262816024,19,0,192,0
92,1780262816440,19,0,192,0
93,1780262816590,19,0,192,0
94,1780262817256,19,0,192,0
95,1780262818373,19,0,192,0
96,1780262819575,19,0,192,0
97,1780262820139,19,0,192,0
98,1780262820440,19,0,192,0
99,1780262820641,19,0,192,0
100,1780262821539,19,0,192,0
101,1780262822456,19,0,192,0
102,1780262822989,19,0,192,0
103,1780262823974,19,0,192,0
104,1780262824357,19,0,192,0
105,1780262826489,19,0,192,0
106,1780262827740,19,0,192,0
107,1780262828272,19,0,192,0
108,1780262829006,19,0,192,0
109,1780262831824,19,0,192,0
110,1780262832057,19,0,192,0
111,1780262838339,19,0,192,0
112,1780262854288,19,0,192,0
113,1780262854288,19,0,192,0
114,1780262854288,19,0,192,0
115,1780262854304,19,0,192,0
116,1780262854504,19,0,192,0
117,1780262854870,19,0,192,0
118,1780262855203,19,0,192,0
119,1780262855937,19,0,192,0
120,1780262856187,19,0,192,0
121,1780262857521,19,0,192,0
122,1780262859856,19,0,192,0
123,1780262864937,19,0,192,0
124,1780262867371,19,0,192,0
125,1780262868687,19,0,192,0
126,1780262872319,19,0,0,0
127,1780262875324,19,0,0,0
128,1780262875569,19,0,0,0
129,1780262876603,19,0,0,0
130,1780262878503,19,0,0,0
131,1780262881070,0,0,0,0
132,1780262881320,19,0,0,0
133,1780262881803,19,0,0,0
134,1780262884852,19,0,0,4
135,1780262886102,19,0,0,4
136,1780262887369,19,0,0,5
137,1780262888537,19,0,0,5
138,1780262889152,19,0,0,5
139,1780262889470,19,0,0,5
140,1780262890719,19,0,2,5
141,1780262894051,19,0,2,5
142,1780262896235,19,0,192,0
143,1780262899251,19,0,192,0
144,1780262900985,19,0,192,0
145,1780262901235,19,0,192,0
146,1780262903751,19,0,192,0
147,1780262904285,19,0,192,0
148,1780262911784,19,0,192,0
149,1780262912034,19,0,192,0
150,1780262914717,19,0,192,0
151,1780262916167,19,0,192,0
152,1780262917034,19,0,194,0
153,1780262917318,19,0,192,0
154,1780262917434,19,0,192,0
155,1780262918301,19,0,192,0
156,1780262920116,19,0,192,0
157,1780262920667,19,0,192,0
158,1780262921400,19,0,192,0
159,1780262922185,19,0,192,0
160,1780262922767,19,0,192,0
161,1780262923633,19,0,192,0
162,1780262926233,19,0,192,0
163,1780262927183,19,0,192,0
164,1780262927635,19,0,192,0
165,1780262928084,19,0,192,0
166,1780262932900,19,0,192,0
167,1780262932983,19,0,192,0
168,1780262934766,19,0,192,0
169,1780262936666,19,0,192,0
170,1780262940533,0,0,192,0
171,1780262941832,0,0,0,0
172,1780262942582,0,0,2,0
173,1780262943400,0,0,0,0
174,1780262945583,0,0,0,0
175,1780262948366,0,0,0,0
176,1780262948582,0,0,0,0
177,1780262949732,0,0,0,0
178,1780262953832,0,0,0,0
179,1780262956316,0,0,0,5
180,1780262965164,0,0,2,5
181,1780262970080,0,0,2,5
182,1780262970331,0,0,2,5
183,1780262970699,0,0,2,5
184,1780262972381,0,0,2,5
185,1780262972598,0,0,2,5
186,1780262973381,0,0,2,5
187,1780262976732,0,0,0,5
188,1780262977815,0,0,0,5
189,1780262978181,0,5,0,0
190,1780262981731,0,0,0,5
191,1780262982264,0,0,0,5
192,1780262983866,0,0,0,5
193,1780262984447,0,0,0,5
194,1780262992732,0,0,0,5
195,1780262992863,0,0,0,5
196,1780262994465,0,0,0,5
197,1780262996446,0,0,0,5
198,1780262997646,0,0,0,5
199,1780262998513,0,0,0,5
200,1780262999413,0,0,0,5
201,1780263001030,0,0,0,5
202,1780263001529,0,0,0,5
203,1780263005512,0,0,192,0
204,1780263008348,0,0,192,0
205,1780263008763,0,0,192,0
206,1780263009132,0,0,192,0
207,1780263009712,0,0,192,0
208,1780263009879,0,0,192,0
209,1780263010663,0,0,192,0
210,1780263010795,0,0,192,0
211,1780263011630,0,0,192,0
212,1780263014447,0,0,192,0
213,1780263017832,0,0,192,0
214,1780263018613,0,0,192,0
215,1780263021079,0,0,192,0
216,1780263021695,0,0,192,0
217,1780263022930,0,0,192,0
218,1780263024429,0,0,192,0
219,1780263025446,0,0,192,0
220,1780263025928,0,0,192,0
221,1780263029844,0,0,192,0
222,1780263030045,0,0,192,0
223,1780263032560,0,0,192,0
224,1780263033011,0,0,192,0
225,1780263035529,192,0,0,0
226,1780263037044,0,0,192,0
227,1780263037178,0,0,192,0
228,1780263037262,0,0,192,0
229,1780263038611,0,0,192,0
230,1780263038694,0,0,192,0
231,1780263040544,0,0,192,0
232,1780263041177,0,0,192,0
233,1780263041661,0,0,192,0
234,1780263042528,0,0,192,0
235,1780263042812,0,0,192,0
236,1780263042944,0,0,192,0
237,1780263045377,0,0,192,0
238,1780263047443,0,0,192,0
239,1780263047510,192,0,0,0
240,1780263049709,0,0,192,0
241,1780263051876,0,0,192,0
242,1780263053427,0,0,192,0
243,1780263053459,0,0,192,0
244,1780263053861,0,0,192,0
245,1780263056026,0,0,192,0
246,1780263057810,0,0,192,0
247,1780263058628,0,0,192,0
248,1780263058794,0,0,192,0
249,1780263064192,0,0,0,0
250,1780263064276,0,0,0,0
