index,date,GYRO_X,GYRO_Y,GYRO_Z
0,1780263079307,-195,-5069,6617
1,1780263079307,-206,-5077,6619
2,1780263079307,-210,-5055,6602
3,1780263079307,-206,-5056,6601
4,1780263079307,-211,-5053,6615
5,1780263079307,-200,-5058,6610
6,1780263079307,-198,-5050,6577
7,1780263079307,-143,-5133,6566
8,1780263079324,-107,-5135,6519
9,1780263080274,-204,-5071,6608
10,1780263081291,-408,-5052,6698
11,1780263081457,-522,-4962,6658
12,1780263081590,-3117,-2370,7584
13,1780263082208,-2382,-4392,7530
14,1780263083674,-2788,-5170,6938
15,1780263085090,-2066,-3750,7489
16,1780263085990,-2079,-6890,5706
17,1780263087291,-950,-5332,9057
18,1780263087940,376,-5065,3294
19,1780263088141,13804,0,319
20,1780263088607,442,-5122,4424
21,1780263089390,-1737,-7168,6482
22,1780263089924,7720,-10791,6434
23,1780263090524,5820,-8678,4229
24,1780263091007,6585,-6809,5774
25,1780263092508,-509,-5473,6256
26,1780263092673,-257,-5493,6142
27,1780263092874,-478,-5475,6326
28,1780263093007,-440,-5442,6306
29,1780263093291,-435,-5418,6307
30,1780263093874,-405,-5418,6278
31,1780263094073,-383,-5434,6302
32,1780263095773,-304,-5504,6276
33,1780263095840,-240,-5611,6396
34,1780263098190,-363,-5231,6365
35,1780263099140,-389,-5332,6248
36,1780263100973,-390,-5535,6189
37,1780263101256,6282,0,355
38,1780263101906,-399,-5406,6320
39,1780263103290,-405,-5460,6332
40,1780263103939,-428,-5467,6403
41,1780263105840,-420,-5441,6311
42,1780263106123,-402,-5454,6310
43,1780263106906,-409,-5448,6306
44,1780263107039,-437,-5407,6314
45,1780263108239,-502,-5440,6248
46,1780263108439,-404,-5436,6334
47,1780263109022,-420,-5446,6322
48,1780263111207,-451,-5446,6339
49,1780263111290,-441,-5403,6313
50,1780263112440,-366,-5448,6261
51,1780263112723,-402,-5429,6261
52,1780263113673,-402,-5432,6309
53,1780263113923,-420,-5436,6326
54,1780263114089,-428,-5424,6335
55,1780263114590,-430,-5414,6314
56,1780263115039,-436,-5432,6293
57,1780263116723,6306,0,0
58,1780263119624,-440,-5437,6298
59,1780263120573,-416,-5418,6312
60,1780263120689,-438,-5411,6305
61,1780263121222,-417,-5429,6322
62,1780263121839,-422,-5406,6295
63,1780263121889,-434,-5430,6315
64,1780263122623,-408,-5402,6306
65,1780263122923,-365,-5347,6319
66,1780263123156,-434,-5384,6318
67,1780263123905,-479,-5484,6320
68,1780263124355,-397,-5420,6334
69,1780263124856,6309,0,0
70,1780263125472,-420,-5433,6274
71,1780263125606,-444,-5412,6357
72,1780263126375,-457,-5389,6283
73,1780263126704,-420,-5404,6305
74,1780263128521,-449,-5436,6340
75,1780263129221,-439,-5389,6311
76,1780263129755,-428,-5424,6311
77,1780263130871,-412,-5401,6303
78,1780263131488,-418,-5404,6313
79,1780263132321,-469,-5416,6323
80,1780263133522,-405,-5440,6324
81,1780263133972,-402,-5425,6322
82,1780263134223,-463,-5424,6306
83,1780263135406,-420,-5434,6306
84,1780263136489,-425,-5433,6312
85,1780263137021,-434,-5398,6296
86,1780263137105,-427,-5447,6324
87,1780263137938,-417,-5430,6317
88,1780263138087,-412,-5433,6306
89,1780263138171,-438,-5412,6290
90,1780263138638,-413,-5427,6330
91,1780263138870,-430,-5433,6304
92,1780263139537,-423,-5414,6291
93,1780263140438,-414,-5426,6303
94,1780263141222,-439,-5422,6258
95,1780263141938,-455,-5479,6322
96,1780263142954,-436,-5384,6322
97,1780263143087,-429,-5478,6305
98,1780263143287,-396,-5414,6330
99,1780263143338,-404,-5436,6314
100,1780263144121,-401,-5425,6290
101,1780263149270,-417,-5432,6302
102,1780263150637,-470,-5430,6320
103,1780263153320,-500,-5427,6253
104,1780263153470,-394,-5430,6294
105,1780263154804,-430,-5402,6317
106,1780263159787,-412,-5425,6297
107,1780263160536,-407,-5428,6298
108,1780263161237,-419,-5444,6322
109,1780263161687,-438,-5434,6299
110,1780263161721,-352,-5462,6286
111,1780263162053,-490,-5395,6315
112,1780263162104,-422,-5453,6300
113,1780263162136,-382,-5446,6297
114,1780263162220,-405,-5411,6314
115,1780263162353,-396,-5438,6288
116,1780263162970,-422,-5420,6306
117,1780263163753,-408,-5415,6323
118,1780263164320,-404,-5459,6266
119,1780263164536,-434,-5386,6352
120,1780263164953,-404,-5460,6303
121,1780263168120,-423,-5440,6306
122,1780263168320,-436,-5432,6306
123,1780263168485,6322,0,110
124,1780263170019,-420,-5452,6318
125,1780263171386,-436,-5448,6277
126,1780263171952,-424,-5431,6288
127,1780263172619,-421,-5372,6279
128,1780263173936,-428,-5394,6323
